iter,exp_value,best_result,iter_time
0,586.8008422851562,"""011010000000000000111000001101101010111100110011110011011011010111110100000001010111010110011100000011001011000101101010110111001011010100101100000010""",16.467247009277344
1,580.9219970703125,"""011010000000000000111000001101101010111011001100001100100100101000001011111111010111010110011100001100110100111010010101001001000111010100101100000010""",16.465420722961426
2,574.4042358398438,"""111010000000000000111000001101101010111011001100001100100100101000001011111111010111010110011100001100110100111010010010110110111011010100101100000011""",16.464420318603516
3,567.16015625,"""111010000011111111000111110010010101000100111100001100100100101000001011111100101000101001011100001011001011000101101101001001001011010100101100000011""",16.461886644363403
4,559.217041015625,"""111010000011111111000111110010010101001011000011110011011011010111110100000011010111010110100011110100110100111010010010110110110100101011010011111101""",16.472557067871094
5,550.6820068359375,"""011010000011111111000111110010010101001011000011110011011011010111110100000011010111010110100011110100110100111010010011001001001011010100101100000010""",16.460310220718384
6,541.587158203125,"""111011111100000000111000001101101010110100111100001100100100101000001011111100101000101001011100001011001011000101101101001001001011010100101100000001""",16.45898675918579
7,531.3367919921875,"""011011111100000000111000001101101010110100111100001100100100101000001011111101010111010110100011110100110100111010010001001001001011010100101100000010""",16.462334871292114
8,519.9751586914062,"""111011111100000000111000001101101010110100111100001100100100101000001011111101010111010110100011110100110100111010010001001001001011010100101100000001""",16.465799808502197
9,508.01922607421875,"""011011111100000000111000001101101010110100111100001100100100101000001011111101010111010110100011110100110100111010010010110110110100101011010011111110""",16.473074197769165
10,498.12957763671875,"""011100000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010011111110""",16.461437225341797
11,491.0232849121094,"""011100000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010011111110""",16.476001977920532
12,485.0977478027344,"""111100000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000001""",16.465457439422607
13,477.9830627441406,"""111100000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000001""",16.469917058944702
14,469.57757568359375,"""111111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111101""",16.467311143875122
15,462.1654357910156,"""111111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111101""",16.46384310722351
16,456.80224609375,"""011111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111010""",16.469822645187378
17,452.49139404296875,"""011111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111010""",16.467878818511963
18,445.4856262207031,"""011000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000110""",16.4788978099823
19,439.94158935546875,"""011000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000110""",16.46276044845581
20,434.8554992675781,"""011000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000110""",16.46433997154236
21,430.7048645019531,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.467211961746216
22,427.5262451171875,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.46215844154358
23,423.0810852050781,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.461834192276
24,420.459716796875,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.47006916999817
25,419.92193603515625,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.465683221817017
26,417.7762145996094,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.45912003517151
27,415.7406005859375,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.461116075515747
28,414.5704040527344,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.465731859207153
29,413.8003845214844,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.46492624282837
30,412.881591796875,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.47277331352234
31,412.37615966796875,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.466224908828735
32,412.2746887207031,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.46613097190857
33,411.91802978515625,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.466305017471313
34,411.5710754394531,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.471760272979736
35,411.36029052734375,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.461994647979736
36,411.2873229980469,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.46427273750305
37,411.314453125,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.465418338775635
38,411.2962951660156,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.46369957923889
39,411.19866943359375,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.46903109550476
40,411.19775390625,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.46892023086548
41,411.3114013671875,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.463932752609253
42,411.30731201171875,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.470805644989014
43,411.2412109375,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.463464975357056
44,411.259765625,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.46510338783264
45,411.27728271484375,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.463308811187744
46,411.3146057128906,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.4670250415802
47,411.3814697265625,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.463422060012817
48,411.4664001464844,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.461460828781128
49,411.57537841796875,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.463908433914185
50,411.71856689453125,"""111000000011111111000111110010010101001011000011110011011011010111110100001101010111010110100011110100110100111010010010110110110100101011010010000111""",16.464478492736816
51,411.8078308105469,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.468831539154053
52,411.77740478515625,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.462159633636475
53,411.68048095703125,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.46240758895874
54,411.5260925292969,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.474445581436157
55,411.3114013671875,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.464382648468018
56,411.1773376464844,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.46170449256897
57,411.1351318359375,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.465511560440063
58,411.1630554199219,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.45755910873413
59,411.2557067871094,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.459715843200684
60,411.4012451171875,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.458575963974
61,411.5733337402344,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.475096464157104
62,411.7187194824219,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.46477246284485
63,411.79949951171875,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.461591958999634
64,411.73114013671875,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.46182632446289
65,411.63470458984375,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.46037483215332
66,411.5525207519531,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.461196422576904
67,411.512451171875,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.460041046142578
68,411.47003173828125,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.460585355758667
69,411.449951171875,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.456895112991333
70,411.4237060546875,"""000111111100000000111000001101101010110100111100001100100100101000001011110010101000101001011100001011001011000101101101001001001011010100101101111000""",16.460649967193604
