iter,exp_value,best_result,iter_time
0,605.9660034179688,"""100000011000011110010001111010100111111001111000000101111001100100011101000001101100111101101101010000111101001011000111010101101011100110110011101011""",16.465288400650024
1,599.3806762695312,"""100000011000011101101110000101011000000110000111111010000110011011100010111110010011000010010010101111011101001011000111010101101011100110110011101011""",16.467071771621704
2,591.553466796875,"""100000011000011101101110000101011000000110000111111010000110011011100010111110010011000010010010101111010010110100111000101001101011100110110011101011""",16.45787739753723
3,582.618896484375,"""100000011000011100010001111010100111111001111000000101111001100100011010000001110011000010010010101111010010110100111000101010010100011001001100010101""",16.46314239501953
4,573.4993896484375,"""001111100111100011101110000101011000111001111000000101111001100100011010000001110011000010010010101111010010110100111000110101010100011001001100010100""",16.467408180236816
5,565.5786743164062,"""001111100111100011101110000101011000111001111000000101111001100100011010000001110011000010010010101111010001001011000111001010101011100110110011100100""",16.465785026550293
6,558.6724853515625,"""110000011000011100101110000101011000111001111011111010000110011011100101111110001100111101101101010000101110110100111000110101010100011001001100010100""",16.465226650238037
7,551.078125,"""110000011000011100101110000101011000111001111011111010000110011011100101111110001100111101101101010000101110110100111001110101010100011001001100010100""",16.457181692123413
8,542.229248046875,"""001111100111100011010001111010100111000110000100000101111001100100011010000001110011000010010010101111010001001011000111001010101011100110110011100100""",16.461939334869385
9,533.61376953125,"""001111100111100011010001111010100111000110000100000101111001100100011010000001110011000010010010101111010001001011000110001010101011100110110011100100""",16.46536874771118
10,526.0321044921875,"""001111100111111100101110000101011000111001111011111010000110011011100101111110001100111101101101010000101110110100111000001010101011100110110011100100""",16.45838165283203
11,519.0706787109375,"""001111100111111100101110000101011000111001111011111010000110011011100101111110001100111101101101010000101110110100111000010101010100011001001100011010""",16.46488070487976
12,512.4331665039062,"""101111100111111100101110000101011000111001111011111010000110011011100101111110001100111101101101010000101110110100111000010101010100011001001100011011""",16.458500623703003
13,506.0792236328125,"""001111100111111100101110000101011000111001111011111010000110011011100101110001110011000010010010101111010001001011000111101010101011100110110011100100""",16.462088584899902
14,500.51788330078125,"""001111100111111100101110000101011000111001111011111010000110011011100101110001110011000010010010101111010001001011000111101010101011100110110011100100""",16.457281827926636
15,495.68902587890625,"""001111100111111100101110000101011000111001111011111010000110011011100101110001110011000010010010101111010001001011000111101010101011100110110011100100""",16.46579909324646
