iter,exp_value,best_result,iter_time
0,139.0654,"""001011100011110001110001011110001100""",9.48130989074707
1,138.9617,"""010010111100010000010111001110010010""",9.390575408935547
2,138.6283,"""010010110010111110000010110111111010""",9.65727686882019
3,138.89000000000001,"""010000011000010110110011001100100101""",9.597934246063232
4,138.2294,"""100111001110111110101000110001100110""",9.382431983947754
5,138.0687,"""101101100100010010111101001110110000""",9.578876256942749
6,137.8812,"""100100110001101010111110001011100100""",9.407602310180664
7,137.6237,"""110001110001001010000000000111001101""",9.673401117324829
8,137.865,"""110011110100000011110100100010100101""",9.58373737335205
9,137.3264,"""110011001110011101011101100101100000""",9.40047001838684
10,136.811,"""110011001100000101011100001101011001""",9.627887964248657
11,136.4044,"""101100110011111010100101000001100101""",9.522841691970825
12,136.34,"""101111111100001111110000011100011001""",9.65721321105957
13,136.3463,"""100100101001010110100011010001011101""",9.662852764129639
14,135.715,"""001011111100001111110100100001000010""",9.374488353729248
15,135.73430000000002,"""101111111001000110010100000011111100""",9.61702585220337
16,135.2801,"""001110001110110101011010010111111110""",9.351743936538696
17,135.2107,"""101110000011101010100101101001011111""",9.623436689376831
18,135.23520000000002,"""000100001110101111110100010100100010""",9.666725158691406
19,134.61790000000002,"""101110001110101010101011001001010001""",9.460976123809814
20,134.7122,"""000001110001010101010010111100011001""",9.650829315185547
21,134.598,"""000100100100000000000011111100101001""",9.488059997558594
22,133.8111,"""100100100001000010010011111100011100""",9.592746019363403
23,134.0127,"""000100100001000101010010111110101000""",9.612335681915283
24,133.6159,"""001110000011101111100001010110000010""",9.444034576416016
25,133.0352,"""010001010100010111110001010110101001""",9.5798659324646
26,132.8586,"""100001110110100111110110100001100101""",9.36732816696167
27,132.49890000000002,"""000100101001000101100111101001100101""",9.584282159805298
28,132.55780000000001,"""000001110110100110100111111110101000""",9.575128078460693
29,132.3109,"""000001110110111010000111111110011010""",9.39384937286377
30,132.6139,"""000001111110110111001011001001010111""",9.590500831604004
31,132.5466,"""000001111110110111001001100110011001""",9.509214878082275
32,132.7919,"""001011010110101110110110011111110011""",9.570559978485107
33,132.3597,"""000000111001000010011000111110011000""",9.564213275909424
34,132.196,"""100111111110110000111010101000001100""",9.403790473937988
35,131.94580000000002,"""100000111001000010000000011101111011""",9.601781129837036
36,132.1385,"""001010010011100001101110110111110011""",9.40139627456665
37,132.0685,"""000000111001000000111010110100101010""",9.57447624206543
38,131.5523,"""101010010011101101001100110011111110""",9.56726884841919
39,131.34390000000002,"""100111111011100010000000011100000010""",9.365658521652222
40,131.458,"""111101000011001100110101010110000011""",9.550548076629639
41,131.0087,"""110000111001010010000000000111110001""",9.413133382797241
42,131.3021,"""100101101011100101101010011101011000""",9.651900291442871
43,130.6962,"""100101101100011001100000000011010110""",9.574851989746094
44,130.8256,"""010000111110100011011111001000011111""",9.426020860671997
45,130.51160000000002,"""111000000100011001100011110110011011""",9.592808961868286
46,130.6776,"""000111111110100011011110011101011011""",9.367745876312256
47,130.81640000000002,"""001111000001011100011101100010010100""",9.64019775390625
48,130.4066,"""011000000011001100110110101101011011""",9.563539981842041
49,129.8435,"""111010010100001100101000110011001111""",9.411516189575195
50,129.1916,"""011010010100011000000001100010111110""",9.59095048904419
51,128.7906,"""100111111110110010101110101001111110""",9.412175178527832
52,128.1404,"""100101000011001001011101100110011011""",9.558162450790405
53,127.6858,"""000101001001100111110110100011001101""",9.556371450424194
54,127.0459,"""000101101011100010110110101001010101""",9.455881357192993
55,127.1495,"""000100101110110111100001111100011001""",9.595989465713501
56,127.2039,"""100100011001100010110110100111011010""",9.341676473617554
57,126.9042,"""000101101011100010110110101001010101""",9.497435569763184
58,127.1316,"""100100100100011101000111000010000111""",9.52429461479187
59,127.2065,"""100100100100011101000111011100000011""",9.327329635620117
60,127.1375,"""111010010001001000011110000011100110""",9.537544012069702
61,126.9516,"""001110011100110111011101010110111000""",9.429015398025513
62,126.78800000000001,"""110001100011001001100001110110011011""",9.572615146636963
63,126.4111,"""011000111011100011001011010110010000""",9.549302816390991
64,126.5972,"""111111011001100011000110111101101011""",9.337106704711914
65,126.4598,"""100111000100011100111000010011010101""",9.60425877571106
66,126.50240000000001,"""000001100011011010100100110111000001""",9.432297229766846
67,126.87960000000001,"""011001010110001100110100010111000010""",9.509873867034912
68,127.22500000000001,"""000110100001001001101101000010100100""",9.596977710723877
69,126.23840000000001,"""010001111110100101111000000011111101""",9.311574220657349
70,126.00450000000001,"""010101011100100110011110101001001100""",9.493067502975464
71,125.8289,"""111011010100001100000110101001001111""",9.37044644355774
