iter,exp_value,best_result,iter_time
0,74.6725,"""0110011010100010""",1.9493649005889893
1,74.0377,"""0110011010100011""",1.9089701175689697
2,72.97370000000001,"""0110010000001010""",1.8988990783691406
3,72.9728,"""0001111110001000""",1.8927767276763916
4,71.53790000000001,"""1001111110100111""",1.9047355651855469
5,71.1538,"""0001101111110101""",1.895578384399414
6,70.0265,"""1001011010001010""",1.9003582000732422
7,69.9642,"""1001011010001010""",1.9042091369628906
8,70.4706,"""1001110010100110""",1.8974909782409668
9,69.5296,"""1011010001110101""",2.0861151218414307
10,69.86760000000001,"""0001110011110000""",1.9317102432250977
11,69.1696,"""0001110100100001""",1.9168267250061035
12,68.9897,"""0001011100100110""",1.930809497833252
13,69.4002,"""0001101001011011""",1.8956825733184814
14,69.2559,"""1011000001110000""",1.9032177925109863
15,68.8861,"""1001101100001101""",1.9117109775543213
16,68.6858,"""1100111100001111""",1.8962831497192383
17,68.8028,"""1011101100001110""",1.8989408016204834
18,68.428,"""1011101100001011""",1.9035446643829346
19,69.1189,"""1011101100001010""",2.0914411544799805
20,68.2907,"""1100111100001011""",1.9106061458587646
21,68.33120000000001,"""1001000001011100""",1.9839811325073242
22,68.3615,"""1100111100001011""",1.913536548614502
23,67.82690000000001,"""1110111010001011""",1.910740613937378
24,69.2547,"""1001000100001111""",1.90472412109375
25,68.0841,"""1110111010001010""",1.9039702415466309
26,68.3766,"""1001000100001110""",1.9146275520324707
27,68.2174,"""1011101111011010""",1.906919240951538
28,68.2316,"""1110010010001010""",1.917567253112793
29,67.303,"""0100010110100111""",2.0870680809020996
30,66.7943,"""1001101001011101""",1.9005341529846191
31,66.5194,"""0011001011110001""",1.9484407901763916
32,66.32560000000001,"""0001101000100110""",1.9163031578063965
33,65.8916,"""1100101010001100""",1.9374821186065674
34,66.0186,"""0001111110100010""",1.9440135955810547
35,65.3702,"""0011010101110010""",1.896458387374878
36,65.6806,"""0011111000100110""",1.8994429111480713
37,65.24640000000001,"""1100000001011101""",1.905663251876831
38,64.9169,"""0100001101110011""",1.9272434711456299
39,64.7319,"""1110101111011011""",2.102391004562378
40,65.1333,"""1100001010001100""",1.9262027740478516
41,64.86670000000001,"""1011110010001011""",1.9429230690002441
42,64.7127,"""1110000001011101""",1.916640281677246
43,62.900800000000004,"""1100001001011101""",1.9229459762573242
44,60.908300000000004,"""1100001001011111""",1.9066991806030273
45,58.5292,"""1011101001011111""",1.8984122276306152
46,56.808600000000006,"""1011101001011111""",1.922624111175537
47,55.3429,"""1011000001011111""",1.905585765838623
48,54.6008,"""1001101001011110""",1.9361252784729004
49,54.744800000000005,"""0100111110100001""",2.1250340938568115
50,54.8601,"""1100010010001100""",1.914679765701294
51,54.046400000000006,"""0110111110100010""",1.9395387172698975
52,53.263200000000005,"""0100010110100001""",1.9561762809753418
53,52.6785,"""0110111110100000""",1.9124476909637451
54,52.3958,"""1110000001011111""",1.9068772792816162
55,51.9288,"""0001111110100011""",1.9152729511260986
56,51.273700000000005,"""0001111110100011""",1.8890950679779053
57,51.6329,"""0100010110100111""",1.9075772762298584
58,51.06,"""1011000001011111""",1.9150807857513428
59,50.8295,"""1110000001011111""",2.100464105606079
60,51.2612,"""0001010110100111""",1.924018383026123
61,51.287,"""0100111101110000""",1.9170126914978027
62,51.430800000000005,"""1100101001011011""",1.916886806488037
63,50.949000000000005,"""0110111101110010""",1.922175645828247
64,50.8448,"""1100010001011101""",1.910705804824829
65,50.9934,"""0100010101110111""",1.9093317985534668
66,50.6942,"""1100010001011110""",1.8956012725830078
67,50.708400000000005,"""1110101001011010""",1.9037950038909912
68,51.8588,"""0100000101110100""",1.89239501953125
69,52.1144,"""0110110110100110""",2.0871191024780273
70,52.3752,"""0110001110100011""",1.9156405925750732
71,50.802600000000005,"""1110110010001101""",1.9164190292358398
72,50.912400000000005,"""0100011110100001""",1.9121198654174805
73,51.1285,"""0110100101110101""",1.8976294994354248
74,51.038000000000004,"""1100110001011100""",1.8991267681121826
75,51.2046,"""0100100110100100""",1.911919116973877
76,50.7601,"""0110100101110111""",1.9046194553375244
77,51.5611,"""0100011101110001""",1.9156742095947266
78,50.616600000000005,"""1110011001011011""",1.899876594543457
79,50.8237,"""1110011010001011""",2.152902364730835
80,51.0343,"""1110110001011111""",1.8964564800262451
81,50.7171,"""0100011110100011""",1.9213168621063232
82,51.1488,"""1110110001011111""",1.9199104309082031
83,51.194500000000005,"""1110100010001110""",1.901798963546753
84,51.3415,"""1011001010001011""",1.9028210639953613
85,51.1055,"""1100001001011011""",1.9225184917449951
86,51.668,"""1100001010001011""",1.903846025466919
87,51.111900000000006,"""1110001010001010""",1.8946568965911865
88,51.5899,"""0100100101110100""",1.9035518169403076
89,51.379200000000004,"""1100001010001011""",2.071376323699951
90,51.775400000000005,"""0011110110100110""",1.8941755294799805
91,52.9288,"""0001110110100110""",1.91776442527771
92,55.148300000000006,"""0001100110100100""",1.906780481338501
93,52.2335,"""0011011101110011""",1.9359102249145508
94,52.3994,"""0100100110100110""",1.9197049140930176
95,51.7119,"""0100100110100110""",1.9015552997589111
96,52.2316,"""1011100001011100""",1.9005794525146484
97,52.7061,"""1100011010001011""",1.9208061695098877
98,51.2554,"""1001001001011001""",1.9119935035705566
99,51.540400000000005,"""1100011001011001""",2.076738119125366
