iter,exp_value,best_result,iter_time
0,138.51500000000001,"""001101111110000101010111110100010001""",5.414981365203857
1,137.9176,"""010010110010101000010110000001011101""",5.438659906387329
2,136.9596,"""100111010100110001010111100001011101""",5.399377107620239
3,136.1038,"""101000000110100001010111100001011100""",5.59128475189209
4,134.6835,"""010111111001011110101000011110111010""",5.397827625274658
5,133.6782,"""011101010011110101010000011110101011""",5.601853847503662
6,132.94480000000001,"""010111111001011111111010110100011010""",5.401828050613403
7,132.5798,"""101111111001011101000101011110101001""",5.4251062870025635
8,132.18810000000002,"""110111111001100100011101011110101001""",5.604856729507446
9,131.5483,"""000011111001100011100010100001010110""",5.451233148574829
10,131.1806,"""101001010011001110111101001110111010""",5.441991806030273
11,130.7778,"""011100000110011010001111000100010001""",5.471421241760254
12,130.61530000000002,"""000011100001100011101000011011101100""",5.426340103149414
13,130.6694,"""101001111001100011101010010001011110""",5.6142425537109375
14,130.3435,"""000011010011001001000000111011101100""",5.415218114852905
15,130.03050000000002,"""001001000001001001000000110001011111""",5.690716743469238
16,129.5764,"""011100010100011100010101101110100001""",5.434385299682617
17,129.4159,"""101001000001001001000000111011101101""",5.411550998687744
18,129.02960000000002,"""101001000001001001000000111011101101""",5.602631330490112
19,128.5859,"""010110000110110110111111000100001010""",5.421515226364136
20,128.4891,"""111100101100011100010101101110111000""",5.446640968322754
21,128.35750000000002,"""011001111001001001000000000001011111""",5.413971900939941
22,128.2005,"""111001111001000011101010101001011110""",5.424768447875977
23,128.3608,"""010011011001000011101010101001011110""",5.614525318145752
24,128.5669,"""110011011001000011101010101011101101""",5.491846561431885
25,128.7935,"""011001110110111100010101011110100001""",5.6072752475738525
26,128.5487,"""110011011100010100010101001100010011""",5.443035840988159
27,128.4103,"""000110001011101011101010101011101100""",5.392238616943359
28,128.6818,"""101100100001000001000000010011110100""",5.6208720207214355
29,128.4322,"""000110001001000001000000010011101100""",5.411689043045044
30,128.3825,"""000110001001000001000000001011101100""",5.415410041809082
31,128.24530000000001,"""000110001001011111011001011110111000""",5.517117261886597
32,128.4538,"""101100100011110101110011110100001010""",5.40059494972229
33,128.3367,"""101100100011110101110011101100001010""",5.587724685668945
34,128.32680000000002,"""001100010011011110111111101100010011""",5.474946737289429
35,128.17340000000002,"""111001000110001011101001001100010010""",5.628256559371948
36,128.0492,"""011001000110001011101010110011101101""",5.434510231018066
37,128.0976,"""101100010011011110111100011001000110""",5.427738666534424
38,127.8811,"""101101000110001010001100011001101100""",5.67110538482666
39,127.8495,"""101100010011011110111100010011000111""",5.393909692764282
40,127.85140000000001,"""101100010011011110111100010011000111""",5.401673316955566
41,127.7488,"""100110111001011111011001001100111011""",5.4683709144592285
42,127.81660000000001,"""101100010011110101110010111001101100""",5.447584390640259
43,128.0449,"""111001000110100000100111101100100001""",5.582413673400879
44,128.2623,"""001100010011110101110011100110010011""",5.472026109695435
45,128.32920000000001,"""101100010011110101110010111001101100""",5.57263445854187
46,128.1885,"""100110111001011010001100011001110100""",5.397710084915161
47,127.9722,"""101100010011110000100110100001110100""",5.452427387237549
48,128.0629,"""100110111001011010001100000001110100""",5.582715034484863
49,128.0161,"""111001000100001111011001010100100001""",5.389646053314209
50,127.8981,"""100110111001011010001100000001110111""",5.394261598587036
51,127.59530000000001,"""111001000110100101110011110100100001""",5.470733165740967
52,127.63180000000001,"""101100010011110000100110100001110100""",5.421770334243774
53,127.3306,"""000110111001011010001100001011000100""",5.573465347290039
54,127.02720000000001,"""000110111001011011100101011110001000""",5.405116319656372
55,126.8579,"""000110111011110001001111111110001000""",5.577935457229614
56,126.5725,"""100110111011110001001111110100111011""",5.38126015663147
57,126.51700000000001,"""101100010011110001001111110100111011""",5.37764048576355
58,126.3177,"""000110111110100100011010101011000100""",5.595787048339844
59,125.63770000000001,"""111001000001011011100100000001101110""",5.430314779281616
60,125.1727,"""100110111110100101111111110100111011""",5.385707855224609
61,124.8523,"""110011101100001111010101010011011101""",5.452074766159058
62,124.6474,"""010011101100001111010101011110010001""",5.383313179016113
63,124.4499,"""001100010100001111010101010011000100""",5.600085258483887
64,123.96400000000001,"""110011101011111011100101001011011101""",5.372073173522949
65,123.7894,"""111001111011010100011010111001101110""",5.595572233200073
66,123.748,"""101100101011010110001100011110001000""",5.3792009353637695
67,123.6217,"""101100101011010110001100011110001000""",5.468072891235352
68,123.3691,"""101100101011011011011001000110001000""",5.632972240447998
69,123.3266,"""010011010100100000100110111001110111""",5.374760150909424
70,123.308,"""011001111110001010001100010011000100""",5.372535228729248
71,123.4688,"""110011010100101001111111101100111011""",5.406567573547363
72,123.39150000000001,"""001100101011010110001100000110010001""",5.375828504562378
73,123.3994,"""010011010001111100100110110100100011""",5.565480947494507
74,123.4167,"""001101000001111100100110111001110110""",5.421091556549072
75,123.1979,"""010010110001111100100110101100100011""",5.634025812149048
76,123.57430000000001,"""111000011011010110001100010011000101""",5.408849000930786
77,123.08200000000001,"""000111100100101001110011100001101111""",5.3526291847229
78,123.35040000000001,"""111000011011010110011001001011000101""",5.597914934158325
79,123.20110000000001,"""000111100100011100110011100001101111""",5.4231648445129395
80,123.0672,"""111001111011100011001100000110001001""",5.392149209976196
81,122.92970000000001,"""000110000100011100110011110100100011""",5.412086248397827
82,122.79820000000001,"""100111010001001111111100001011011100""",5.404047012329102
83,123.1863,"""101101111011100101011010100001101101""",5.570381164550781
84,123.0475,"""101101111011100101010110100001101101""",5.462384939193726
85,123.2805,"""010010001110110000000011110100100011""",5.554704666137695
86,123.43950000000001,"""101100100100011010101001011110010000""",5.4430131912231445
87,123.50540000000001,"""101100100100011010101001000110010000""",5.41214919090271
88,123.62780000000001,"""101100100100011010101001000110010001""",5.615387439727783
89,123.5006,"""110011011011100101010110111001110100""",5.467274188995361
90,123.31710000000001,"""001100100100011010101001010011011101""",5.5448713302612305
91,123.095,"""010011011011100101010110101100111011""",5.411133766174316
92,122.91560000000001,"""110011011011100101010110111001101101""",5.473322153091431
93,122.515,"""111001110001001111111100000110001001""",5.6120288372039795
94,122.4698,"""011000001011100101010110110100110001""",5.475927352905273
95,122.1932,"""101101011110110000000011101100110000""",5.581187963485718
96,122.2068,"""101101011110110110011001011110001000""",5.5687642097473145
97,122.01620000000001,"""101101010100011010101001011110001000""",5.404260635375977
98,122.15610000000001,"""001101010100011100110011111001101111""",5.690863132476807
99,122.05380000000001,"""000111010001001001100110100001100100""",5.4209935665130615
