iter,exp_value,best_result,iter_time
0,211.49810000000002,"""1001011000111110001000011001010101001001100010111011""",15.694580793380737
1,211.5462,"""1001100100111001110010100100100110111110001011001001""",15.559800624847412
2,211.27960000000002,"""0110011110110000001001011000011101000110110111010101""",15.653863906860352
3,210.79850000000002,"""0100101000110001001000010101001110101100011110010011""",15.547685861587524
4,211.20870000000002,"""1100000010111001100101010101010101010100111011010000""",15.495307683944702
5,210.7613,"""1110010010000001110101010101010110101101110110011110""",15.630782842636108
6,210.8819,"""0110101101110111011111000000010110101101101010011111""",15.544354438781738
7,210.4863,"""0110101101111110011110011100101001010010100011101010""",15.48787236213684
8,210.4206,"""0100111000100110011110011111001000000101011100011100""",15.636377096176147
9,209.8445,"""0011000111100001100010010110110100000110110011011010""",15.449706792831421
10,210.0642,"""0100111000010110011111111100001011110101001111001111""",15.605981588363647
11,209.9505,"""1100011010101001100000000100100110100000011010010001""",15.52280855178833
12,210.0214,"""0110010010110110011110011011100100000100001001010101""",15.61555290222168
13,209.8351,"""0011101101001000110101111111001110100000011010011001""",15.500815153121948
14,208.8967,"""1001101100101001110101000011011001011100110001110011""",15.499812364578247
15,209.0369,"""0001100101011011010101001011110011111010110001100011""",15.651614904403687
16,209.1429,"""1101010010110100101010001111110011110110011001111110""",15.515034198760986
17,208.7263,"""1011001100110000001111001010110000000101100101010001""",15.487750768661499
18,207.26610000000002,"""1010101110100011010101000011011110100000110010100110""",15.627427577972412
19,207.0282,"""0011110000101111110000110111111100001110100100011110""",15.551245927810669
20,206.6125,"""1101010000101011110111101001111000110110100110010100""",15.684796571731567
21,205.7777,"""1111111010000100010011011000101101111001010000100110""",15.568895816802979
22,205.3655,"""1110110011111100100110110111111000110100011000001011""",15.6222505569458
23,205.98000000000002,"""0110110011001101000001100011001001011110011110111011""",15.559910535812378
24,206.30710000000002,"""0111000101111010001010101111110010101000011101001001""",15.472187280654907
25,206.37910000000002,"""0010111001100100010100110101101110000010111001101001""",15.633224725723267
26,206.5196,"""1100010010101111110100100001110111111001011110100110""",15.478264093399048
27,206.1733,"""0000110011111100001000011110111101001010010011011001""",15.460663318634033
28,206.5235,"""0000110011111111011100111101000011011111010010101001""",15.627955436706543
29,206.6267,"""1111000101001011011010001110111101111001011001000011""",15.488457202911377
30,206.5541,"""0001000101010110111001101101010011101011010001101100""",15.65673542022705
31,206.27020000000002,"""0111100110011000001011011111001010111010000010111100""",15.514869451522827
32,206.3427,"""1000110011001100011000100001011011001011010001010110""",15.642507553100586
33,206.7388,"""0110010011001101011011011011111001011110000110000001""",15.510819911956787
34,206.109,"""0110110001111111111100111111001011000101111101101001""",15.409541130065918
35,206.7475,"""0000110000011001011100111011011010010010110001011001""",15.654573917388916
36,206.9145,"""0111011001100111100101011011111101011111011001011011""",15.502019166946411
37,206.762,"""1111011010110111111110001110010110000111110011110001""",15.471001148223877
38,206.54590000000002,"""1101111011000011100001101110011001011100011111110110""",15.64304494857788
39,206.6285,"""1111011001010110110011001011010101001100000110000110""",15.45125126838684
40,205.6114,"""0000100110011010100100111110000001100111100101001001""",15.636155605316162
41,206.5506,"""0111010000111011100101011011000111010010110000000100""",15.500022649765015
42,206.2527,"""0100100110011101000001010001100011001010111110111110""",15.713339567184448
43,206.2564,"""0001110011001000010100000100010111001000000110001110""",15.545607328414917
44,207.0988,"""1000101111000101010011011000001111101001001001100001""",15.544018745422363
