run_id,method,N,depth,seed,theta_path,iter_csv
bc740443,tr_correct_sampling,52,1,0,bench_out_52/theta_bc740443.pt,bench_out_52/iter_bc740443.csv
e58d0051,tr_efficient,52,1,0,bench_out_52/theta_e58d0051.pt,bench_out_52/iter_e58d0051.csv
5a8c1563,tr_correct_sampling,52,1,1,bench_out_52/theta_5a8c1563.pt,bench_out_52/iter_5a8c1563.csv
cf041101,tr_efficient,52,1,1,bench_out_52/theta_cf041101.pt,bench_out_52/iter_cf041101.csv
35268bd7,tr_correct_sampling,52,1,2,bench_out_52/theta_35268bd7.pt,bench_out_52/iter_35268bd7.csv
5533e5fd,tr_efficient,52,1,2,bench_out_52/theta_5533e5fd.pt,bench_out_52/iter_5533e5fd.csv
e3d128bf,tr_correct_sampling,52,3,0,bench_out_52/theta_e3d128bf.pt,bench_out_52/iter_e3d128bf.csv
cd724fd8,tr_efficient,52,3,0,bench_out_52/theta_cd724fd8.pt,bench_out_52/iter_cd724fd8.csv
3a287b99,tr_correct_sampling,52,3,1,bench_out_52/theta_3a287b99.pt,bench_out_52/iter_3a287b99.csv
b1c6281b,tr_efficient,52,3,1,bench_out_52/theta_b1c6281b.pt,bench_out_52/iter_b1c6281b.csv
a27ef849,tr_correct_sampling,52,3,2,bench_out_52/theta_a27ef849.pt,bench_out_52/iter_a27ef849.csv
3d08496c,tr_efficient,52,3,2,bench_out_52/theta_3d08496c.pt,bench_out_52/iter_3d08496c.csv
d8b48d89,tr_correct_sampling,52,5,0,bench_out_52/theta_d8b48d89.pt,bench_out_52/iter_d8b48d89.csv
491fddd2,tr_efficient,52,5,0,bench_out_52/theta_491fddd2.pt,bench_out_52/iter_491fddd2.csv
821feb76,tr_correct_sampling,52,5,1,bench_out_52/theta_821feb76.pt,bench_out_52/iter_821feb76.csv
e01f4625,tr_efficient,52,5,1,bench_out_52/theta_e01f4625.pt,bench_out_52/iter_e01f4625.csv
fa58fda5,tr_correct_sampling,52,5,2,bench_out_52/theta_fa58fda5.pt,bench_out_52/iter_fa58fda5.csv
b14babfd,tr_efficient,52,5,2,bench_out_52/theta_b14babfd.pt,bench_out_52/iter_b14babfd.csv
