iter,exp_value,best_result,iter_time
0,212.0265,"""1001110100101101011011110000011101000101101111011100""",19.334569931030273
1,211.67180000000002,"""1001110100010010100111110010100111101111000101110111""",19.41324543952942
2,211.90900000000002,"""1001110100101101011110001110111000011110111000100010""",19.240862131118774
3,211.6155,"""0001101010101101011000001101011000010000111010001101""",19.308175086975098
4,211.48940000000002,"""0001011111111000001110101000100111101111000101111010""",19.310885906219482
5,211.709,"""1001011101000101011011110110100110001111101111110101""",19.43104124069214
6,212.0626,"""1000100000011101100110110001000100111011111001101010""",19.285218477249146
7,211.7449,"""0000100000011010100111100100000000000000010110010101""",19.236440420150757
8,212.13830000000002,"""0001011001010010100100001110100100011101000011010010""",19.301700115203857
9,211.6784,"""1001011010100110001110101000100100001111101111110101""",19.298187255859375
10,211.83360000000002,"""0001110011111101100010110001000111101111000111010001""",19.271944284439087
11,211.535,"""1000100000000111101110100100001100100000010100101010""",19.401278257369995
12,211.50920000000002,"""0001110001111000001110100100001100100100010100100001""",19.200552463531494
13,212.28320000000002,"""0000100111110111100101011000100100100100010100100000""",19.231659173965454
14,211.5825,"""1000100001111000001111100100000000000000010110001000""",19.25541377067566
15,211.54350000000002,"""0001011001011111100101101011101101000101101111011000""",19.450538635253906
16,211.19760000000002,"""0001011001011111101000010011101101000101101100100010""",19.387112855911255
17,211.85090000000002,"""1001011110000111110001010100110001101011101111110101""",19.25969123840332
18,211.57510000000002,"""0001011111111100110010001011110011011111101011011101""",19.292645931243896
19,211.3948,"""1001011001011111101000011011111011010100010010000111""",19.395582675933838
20,211.8331,"""1000100100111101011011110001110100111100110110001100""",19.433846473693848
21,211.7465,"""1100100001111000001111100100001100100100001010111101""",19.500636100769043
22,211.983,"""1000100000011111100101011110100110001010100000010010""",19.418692588806152
23,212.0732,"""0110100000000011001101110100000100111100110110000111""",19.327481269836426
24,211.42430000000002,"""0001110100101101011010010101100100111111101011011111""",19.383501768112183
25,211.6913,"""1011011110000111110000001011101101000101101111110001""",19.550617694854736
26,211.7126,"""0110100000000011001011100101011000000001110100100001""",19.32646656036377
27,211.6635,"""0110100000000011001011100101011000000001111010100101""",19.214171171188354
28,211.5308,"""1001011110000111110001010111011011110111101111110101""",19.38028311729431
29,211.53910000000002,"""0110100000000111101110110001010101010101000000001011""",19.36259627342224
30,211.98530000000002,"""0000011111110111100101101011101111010101000000000000""",19.371469974517822
31,211.6842,"""1110111010101001100001110011001110100010111011011110""",19.47477078437805
32,211.63920000000002,"""1110100110101001100111011110100110001111000110100010""",19.278886318206787
33,211.63600000000002,"""0110100000001000011010010111001011000011001001110111""",19.358444690704346
34,211.73430000000002,"""1110100110101001100111011110100110001110111001111001""",19.327672004699707
35,211.55280000000002,"""1110100110101001100111011110100110001110111001111110""",19.46220111846924
36,211.6619,"""1100111111110011001001110100010010111010010011110101""",19.33627486228943
37,211.71810000000002,"""0111010010101101011010110000001110010110001100100101""",19.40615224838257
38,211.5216,"""1010001110000111110001010111011011110000111001111001""",19.435248136520386
39,211.6827,"""1100001101111000001111000010000111110101000011000011""",19.282490015029907
40,211.67090000000002,"""0110100111010010100101100100001100100101101100000001""",19.402162790298462
41,212.0514,"""1011100000001000011010011010100110001011111011001101""",19.44160008430481
42,211.3921,"""1100001010100010110111100100001100100000010101000000""",19.353647470474243
43,211.3925,"""1110100010000111110000111111011011000000010110001000""",19.328617572784424
44,211.1449,"""1100001100100111110000111110100110001110100000001000""",19.394899129867554
45,211.2252,"""1100001101111000001111000000000100101011011001100001""",19.486002445220947
46,211.06400000000002,"""0100001100111010001001000110001101000101101101000100""",19.452637434005737
47,211.2726,"""0011001010100010110111100100000000001010111100100101""",19.29742121696472
48,211.48260000000002,"""1000011110000111110001001001010000100000010101111111""",19.417630434036255
49,211.18710000000002,"""1011010010101101011010100100000100101100000110010100""",19.381620168685913
50,211.59390000000002,"""0110101101010101011010011011110010111001110101000001""",19.435238361358643
51,210.95940000000002,"""1001001010100110001011010111001011000001010011011110""",19.525216341018677
52,211.2974,"""0100001010100010110111100100000000001010111100100110""",19.308021306991577
53,211.5114,"""1110100000001101000011100100000000001010111111100010""",19.30597496032715
54,210.9325,"""1111100000000111101001001110101110010101101101100010""",19.241109371185303
55,210.9677,"""1001011001101111100110101000110011011010010011110101""",19.486176013946533
56,210.9345,"""0111100001111000001111000001000111110100000100110101""",19.42207407951355
57,211.23250000000002,"""0100001010100010110000001101100100001110110101100110""",19.447762727737427
58,210.9102,"""1111100000001000011010010100000100101100000101011110""",19.412076711654663
59,211.13660000000002,"""0101100000011111100101001101100001101010010110000110""",19.331268787384033
60,211.055,"""1110100110101101000111101100110000101101101011011110""",19.440089464187622
61,211.2775,"""1110111010101001110110011110101110010001000111010000""",19.459246397018433
62,211.6056,"""1110100000001101000011100010100100101100100000010010""",19.258331060409546
63,211.3562,"""0110111011111010111101000101001110001110100000010000""",19.2511305809021
64,211.4298,"""1110100010111101011010011011110011011011101011011110""",19.27625322341919
65,211.5496,"""0110000100101101011010011011110010111000111001110101""",19.477079391479492
66,211.4778,"""0110100110101001110110100101011011010011111011000001""",19.37223720550537
67,211.4606,"""1100011111110111100101100101001110001110100000010101""",19.318933725357056
68,211.43370000000002,"""1101001010100010100101100100001101000110001010111011""",19.291578769683838
69,211.6065,"""1111100000001000011010001011111011010101000100100010""",19.382596731185913
70,210.8915,"""1110100000000011011010010101110111101101000111011100""",19.32688546180725
71,211.2595,"""1110100000100111110000111110111000011010010011111010""",19.537879467010498
72,211.2742,"""1111100000000011011010011011110011011010010011111011""",19.43222212791443
73,211.3288,"""0101001010100010100110001101110001101010010010010110""",19.29834222793579
74,211.1215,"""1110100000001100011001010111001000010101000111000110""",19.38042163848877
75,211.11860000000001,"""0111100100101101011010010100000100101010111011011101""",19.507237672805786
76,211.1707,"""0111100111100001110000111110100110010101101101000100""",19.410836458206177
77,210.918,"""1111100000000011011100011011111011010101000100100010""",19.25469136238098
78,211.02620000000002,"""0111100111100001110000111110100110010101101101101100""",19.3861403465271
79,210.9916,"""1101001010110111110001001011111111110010010101000100""",19.40371537208557
80,211.2142,"""1111100000000011011100010100000100101100000101111100""",19.359153747558594
81,211.40370000000001,"""1101001101001000001111000001011000010010010101000100""",19.50692129135132
82,210.8004,"""1111100000000111101000110001011001110100000101011101""",19.33033061027527
83,211.23760000000001,"""1111100000011111101001000110100010000001010000000010""",19.47402310371399
84,211.4331,"""0111100000000111100101101010001110100001011111101101""",19.358432292938232
85,211.52100000000002,"""1110110101001101011010010100000000001011111010111111""",19.60648250579834
86,211.0813,"""0111100000000111100101001101100001101011101000010101""",19.355628728866577
87,211.12220000000002,"""1010110101001000001101001110101010100001010000000100""",19.26884627342224
88,211.1716,"""1111100000000011011001000001011000010010010101000100""",19.367119550704956
89,210.8976,"""1101001010110101001111110001010101011110101100001011""",19.36060357093811
