iter,exp_value,best_result,iter_time
0,27.575619775229505,null,6.8037800788879395
1,27.21253301690123,"{""step"": 0, ""energy"": 27.575619775229505}",5.431164503097534
2,26.866212113152862,"{""step"": 1, ""energy"": 27.21253301690123}",6.0296080112457275
3,26.52273815314743,"{""step"": 2, ""energy"": 26.866212113152862}",6.554286241531372
4,26.17335360988863,"{""step"": 3, ""energy"": 26.52273815314743}",5.459445476531982
5,25.81463621461922,"{""step"": 4, ""energy"": 26.17335360988863}",6.73607063293457
6,25.448679308572316,"{""step"": 5, ""energy"": 25.81463621461922}",5.393971920013428
7,25.082649562008946,"{""step"": 6, ""energy"": 25.448679308572316}",7.127909898757935
8,24.726759500716966,"{""step"": 7, ""energy"": 25.082649562008946}",5.433905839920044
9,24.390493701843493,"{""step"": 8, ""energy"": 24.726759500716966}",6.927189826965332
10,24.07868419664694,"{""step"": 9, ""energy"": 24.390493701843493}",5.5051727294921875
11,23.789838765010966,"{""step"": 10, ""energy"": 24.07868419664694}",7.119534254074097
12,23.51757691744464,"{""step"": 11, ""energy"": 23.789838765010966}",5.652707576751709
13,23.25378096546275,"{""step"": 12, ""energy"": 23.51757691744464}",5.889928102493286
14,22.9915409096326,"{""step"": 13, ""energy"": 23.25378096546275}",6.533620595932007
15,22.726972385386038,"{""step"": 14, ""energy"": 22.9915409096326}",5.982308387756348
16,22.459892826478338,"{""step"": 15, ""energy"": 22.726972385386038}",6.950130462646484
17,22.193544937704292,"{""step"": 16, ""energy"": 22.459892826478338}",5.54503321647644
18,21.933503824564156,"{""step"": 17, ""energy"": 22.193544937704292}",6.8750669956207275
19,21.68603378524382,"{""step"": 18, ""energy"": 21.933503824564156}",5.840280771255493
20,21.45642241863844,"{""step"": 19, ""energy"": 21.68603378524382}",6.861074447631836
21,21.247875679173138,"{""step"": 20, ""energy"": 21.45642241863844}",5.430001497268677
22,21.061252320365377,"{""step"": 21, ""energy"": 21.247875679173138}",6.283278703689575
23,20.89548112769349,"{""step"": 22, ""energy"": 21.061252320365377}",6.408659219741821
24,20.748272345748664,"{""step"": 23, ""energy"": 20.89548112769349}",5.750878572463989
25,20.61678716092418,"{""step"": 24, ""energy"": 20.748272345748664}",6.700405597686768
26,20.49810955389118,"{""step"": 25, ""energy"": 20.61678716092418}",5.46935510635376
27,20.38951122293198,"{""step"": 26, ""energy"": 20.49810955389118}",7.0888636112213135
28,20.288563529258003,"{""step"": 27, ""energy"": 20.38951122293198}",5.406106233596802
29,20.19315655008637,"{""step"": 28, ""energy"": 20.288563529258003}",6.892956018447876
30,20.10147015104149,"{""step"": 29, ""energy"": 20.19315655008637}",5.4621422290802
31,20.011925300903496,"{""step"": 30, ""energy"": 20.10147015104149}",7.146417856216431
32,19.923131761664308,"{""step"": 31, ""energy"": 20.011925300903496}",5.5078535079956055
33,19.833840859933836,"{""step"": 32, ""energy"": 19.923131761664308}",5.921682596206665
34,19.74290776574186,"{""step"": 33, ""energy"": 19.833840859933836}",6.432770252227783
35,19.64926502275015,"{""step"": 34, ""energy"": 19.74290776574186}",5.903990030288696
36,19.55190671722773,"{""step"": 35, ""energy"": 19.64926502275015}",6.835614919662476
37,19.449879672972763,"{""step"": 36, ""energy"": 19.55190671722773}",5.436964988708496
38,19.342273868550574,"{""step"": 37, ""energy"": 19.449879672972763}",6.885346174240112
39,19.22819910523247,"{""step"": 38, ""energy"": 19.342273868550574}",5.7967987060546875
40,19.10673032174606,"{""step"": 39, ""energy"": 19.22819910523247}",6.817306995391846
41,18.976803162095624,"{""step"": 40, ""energy"": 19.10673032174606}",5.438642501831055
42,18.837049490648234,"{""step"": 41, ""energy"": 18.976803162095624}",6.655015230178833
43,18.685585050882317,"{""step"": 42, ""energy"": 18.837049490648234}",5.9110941886901855
44,18.5198017737914,"{""step"": 43, ""energy"": 18.685585050882317}",5.528074502944946
45,18.33627282100867,"{""step"": 44, ""energy"": 18.5198017737914}",6.692911148071289
46,18.130935877753593,"{""step"": 45, ""energy"": 18.33627282100867}",5.8038787841796875
47,17.899747856230512,"{""step"": 46, ""energy"": 18.130935877753593}",6.888463735580444
48,17.639943691817052,"{""step"": 47, ""energy"": 17.899747856230512}",5.4347288608551025
49,17.351805376656113,"{""step"": 48, ""energy"": 17.639943691817052}",6.852800130844116
50,17.04042264767221,"{""step"": 49, ""energy"": 17.351805376656113}",5.823543071746826
51,16.71646737818039,"{""step"": 50, ""energy"": 17.04042264767221}",6.579708576202393
52,16.394972354825153,"{""step"": 51, ""energy"": 16.71646737818039}",5.768745183944702
53,16.09197020267375,"{""step"": 52, ""energy"": 16.394972354825153}",6.084760427474976
54,15.820322244846126,"{""step"": 53, ""energy"": 16.09197020267375}",6.85296368598938
55,15.586860352920798,"{""step"": 54, ""energy"": 15.820322244846126}",5.4360191822052
56,15.392101669031172,"{""step"": 55, ""energy"": 15.586860352920798}",6.797793626785278
57,15.232054456505775,"{""step"": 56, ""energy"": 15.392101669031172}",5.411977529525757
58,15.100657708728892,"{""step"": 57, ""energy"": 15.232054456505775}",7.1260085105896
