iter,exp_value,best_result,iter_time
0,21.071629997273668,null,1.1262202262878418
1,18.876639627321392,"{""step"": 0, ""energy"": 21.071629997273668}",1.261063814163208
2,16.46288614347268,"{""step"": 1, ""energy"": 18.876639627321392}",1.6657977104187012
3,14.65370306423259,"{""step"": 2, ""energy"": 16.46288614347268}",1.731745958328247
4,13.701375444994772,"{""step"": 3, ""energy"": 14.65370306423259}",1.118783950805664
5,13.245515890056417,"{""step"": 4, ""energy"": 13.701375444994772}",1.1078259944915771
6,12.991388780953303,"{""step"": 5, ""energy"": 13.245515890056417}",1.0983030796051025
7,12.815598451127588,"{""step"": 6, ""energy"": 12.991388780953303}",1.124197006225586
8,12.6749351778214,"{""step"": 7, ""energy"": 12.815598451127588}",1.1289260387420654
9,12.553225691191363,"{""step"": 8, ""energy"": 12.6749351778214}",1.1359820365905762
10,12.442856311386278,"{""step"": 9, ""energy"": 12.553225691191363}",1.132415533065796
11,12.339467880019534,"{""step"": 10, ""energy"": 12.442856311386278}",1.1045548915863037
12,12.240406772159695,"{""step"": 11, ""energy"": 12.339467880019534}",1.7387511730194092
13,12.144138152468882,"{""step"": 12, ""energy"": 12.240406772159695}",1.6602792739868164
14,12.049917596663892,"{""step"": 13, ""energy"": 12.144138152468882}",1.6018157005310059
15,11.957553045081744,"{""step"": 14, ""energy"": 12.049917596663892}",1.1608960628509521
16,11.867214247712239,"{""step"": 15, ""energy"": 11.957553045081744}",1.1239144802093506
17,11.779276787419063,"{""step"": 16, ""energy"": 11.867214247712239}",1.1184701919555664
18,11.694197194254565,"{""step"": 17, ""energy"": 11.779276787419063}",1.1147935390472412
19,11.612419365326083,"{""step"": 18, ""energy"": 11.694197194254565}",1.1136462688446045
20,11.534312720757312,"{""step"": 19, ""energy"": 11.612419365326083}",1.1339213848114014
21,11.460140292190278,"{""step"": 20, ""energy"": 11.534312720757312}",1.1498439311981201
22,11.39005185992933,"{""step"": 21, ""energy"": 11.460140292190278}",1.1354255676269531
23,11.324094921909786,"{""step"": 22, ""energy"": 11.39005185992933}",1.3940706253051758
24,11.262235575005244,"{""step"": 23, ""energy"": 11.324094921909786}",1.6620640754699707
25,11.204382315469951,"{""step"": 24, ""energy"": 11.262235575005244}",1.6117992401123047
26,11.15040772775378,"{""step"": 25, ""energy"": 11.204382315469951}",1.135920763015747
27,11.100165283244161,"{""step"": 26, ""energy"": 11.15040772775378}",1.1181275844573975
28,11.05350043270288,"{""step"": 27, ""energy"": 11.100165283244161}",1.1259889602661133
29,11.010256551505634,"{""step"": 28, ""energy"": 11.05350043270288}",1.1235861778259277
30,10.97027703706766,"{""step"": 29, ""energy"": 11.010256551505634}",1.1418662071228027
31,10.933405067973032,"{""step"": 30, ""energy"": 10.97027703706766}",1.137037754058838
32,10.89948238132469,"{""step"": 31, ""energy"": 10.933405067973032}",1.1262431144714355
33,10.868348076744578,"{""step"": 32, ""energy"": 10.89948238132469}",1.1296625137329102
34,10.839838049723422,"{""step"": 33, ""energy"": 10.868348076744578}",1.4746026992797852
35,10.813785288916893,"{""step"": 34, ""energy"": 10.839838049723422}",1.6597399711608887
36,10.79002099461032,"{""step"": 35, ""energy"": 10.813785288916893}",1.612781047821045
37,10.768376306283557,"{""step"": 36, ""energy"": 10.79002099461032}",1.115985631942749
38,10.74868435738626,"{""step"": 37, ""energy"": 10.768376306283557}",1.1269922256469727
39,10.730782381360038,"{""step"": 38, ""energy"": 10.74868435738626}",1.1290850639343262
40,10.71451364572114,"{""step"": 39, ""energy"": 10.730782381360038}",1.1153385639190674
41,10.699729064015958,"{""step"": 40, ""energy"": 10.71451364572114}",1.1194345951080322
42,10.686288408602941,"{""step"": 41, ""energy"": 10.699729064015958}",1.1201722621917725
43,10.674061108270415,"{""step"": 42, ""energy"": 10.686288408602941}",1.1263794898986816
44,10.662926658459845,"{""step"": 43, ""energy"": 10.674061108270415}",1.1249215602874756
45,10.652774698201522,"{""step"": 44, ""energy"": 10.662926658459845}",1.3900413513183594
46,10.64350481960024,"{""step"": 45, ""energy"": 10.652774698201522}",1.68446683883667
47,10.63502617680671,"{""step"": 46, ""energy"": 10.64350481960024}",1.6721863746643066
48,10.627256955799627,"{""step"": 47, ""energy"": 10.63502617680671}",1.137944221496582
49,10.620123757220437,"{""step"": 48, ""energy"": 10.627256955799627}",1.137338638305664
50,10.613560934282129,"{""step"": 49, ""energy"": 10.620123757220437}",1.142594575881958
51,10.607509917897886,"{""step"": 50, ""energy"": 10.613560934282129}",1.1288905143737793
52,10.60191855244879,"{""step"": 51, ""energy"": 10.607509917897886}",1.124854564666748
53,10.5967404583582,"{""step"": 52, ""energy"": 10.60191855244879}",1.1378109455108643
54,10.591934431886447,"{""step"": 53, ""energy"": 10.5967404583582}",1.1348447799682617
55,10.587463888169259,"{""step"": 54, ""energy"": 10.591934431886447}",1.1217989921569824
56,10.583296350283526,"{""step"": 55, ""energy"": 10.587463888169259}",1.3966803550720215
57,10.579402984816024,"{""step"": 56, ""energy"": 10.583296350283526}",1.6910440921783447
58,10.575758182825556,"{""step"": 57, ""energy"": 10.579402984816024}",1.7064878940582275
59,10.57233918405342,"{""step"": 58, ""energy"": 10.575758182825556}",1.119964838027954
60,10.56912574160543,"{""step"": 59, ""energy"": 10.57233918405342}",1.1147005558013916
61,10.566099823991598,"{""step"": 60, ""energy"": 10.56912574160543}",1.1120617389678955
62,10.563245351278702,"{""step"": 61, ""energy"": 10.566099823991598}",1.5047900676727295
63,10.560547962124414,"{""step"": 62, ""energy"": 10.563245351278702}",1.1331045627593994
64,10.55799480856968,"{""step"": 63, ""energy"": 10.560547962124414}",1.1195659637451172
65,10.55557437563559,"{""step"": 64, ""energy"": 10.55799480856968}",1.1238620281219482
66,10.553276322976014,"{""step"": 65, ""energy"": 10.55557437563559}",1.1207208633422852
67,10.551091346059861,"{""step"": 66, ""energy"": 10.553276322976014}",1.498769998550415
68,10.549011054585126,"{""step"": 67, ""energy"": 10.551091346059861}",1.7119643688201904
69,10.547027866051353,"{""step"": 68, ""energy"": 10.549011054585126}",1.4996213912963867
70,10.545134912632832,"{""step"": 69, ""energy"": 10.547027866051353}",1.1300511360168457
71,10.543325959697288,"{""step"": 70, ""energy"": 10.545134912632832}",1.1296005249023438
72,10.541595334502988,"{""step"": 71, ""energy"": 10.543325959697288}",1.1176910400390625
73,10.539937863779079,"{""step"": 72, ""energy"": 10.541595334502988}",1.1146109104156494
74,10.538348819049965,"{""step"": 73, ""energy"": 10.539937863779079}",1.1147880554199219
75,10.536823868705005,"{""step"": 74, ""energy"": 10.538348819049965}",1.1163041591644287
76,10.535359035939953,"{""step"": 75, ""energy"": 10.536823868705005}",1.1127150058746338
77,10.533950661808325,"{""step"": 76, ""energy"": 10.535359035939953}",1.1403663158416748
78,10.532595372718959,"{""step"": 77, ""energy"": 10.533950661808325}",1.4355769157409668
79,10.531290051802802,"{""step"": 78, ""energy"": 10.532595372718959}",1.6629350185394287
80,10.530031813648169,"{""step"": 79, ""energy"": 10.531290051802802}",1.5651047229766846
81,10.528817981969581,"{""step"": 80, ""energy"": 10.530031813648169}",1.157898187637329
82,10.52764606983377,"{""step"": 81, ""energy"": 10.528817981969581}",1.114912509918213
83,10.526513762116318,"{""step"": 82, ""energy"": 10.52764606983377}",1.107424020767212
84,10.525418899906242,"{""step"": 83, ""energy"": 10.526513762116318}",1.132408857345581
85,10.52435946661376,"{""step"": 84, ""energy"": 10.525418899906242}",1.1081743240356445
86,10.523333575569,"{""step"": 85, ""energy"": 10.52435946661376}",1.103196620941162
87,10.522339458927972,"{""step"": 86, ""energy"": 10.523333575569}",1.095942735671997
88,10.521375457726124,"{""step"": 87, ""energy"": 10.522339458927972}",1.103304386138916
89,10.520440012941709,"{""step"": 88, ""energy"": 10.521375457726124}",1.3411991596221924
90,10.51953165744819,"{""step"": 89, ""energy"": 10.520440012941709}",1.6518239974975586
91,10.518649008751833,"{""step"": 90, ""energy"": 10.51953165744819}",1.635213851928711
92,10.517790762423258,"{""step"": 91, ""energy"": 10.518649008751833}",1.118070125579834
93,10.516955686143886,"{""step"": 92, ""energy"": 10.517790762423258}",1.1070561408996582
94,10.516142614298076,"{""step"": 93, ""energy"": 10.516955686143886}",1.1250736713409424
95,10.515350443050636,"{""step"": 94, ""energy"": 10.516142614298076}",1.099837064743042
96,10.514578125856529,"{""step"": 95, ""energy"": 10.515350443050636}",1.1043555736541748
97,10.51382466935678,"{""step"": 96, ""energy"": 10.514578125856529}",1.1088290214538574
98,10.513089129619313,"{""step"": 97, ""energy"": 10.51382466935678}",1.1153590679168701
99,10.512370608689167,"{""step"": 98, ""energy"": 10.513089129619313}",1.1024298667907715
100,17.39692450607634,null,1.144927740097046
101,14.631444606202042,"{""step"": 0, ""energy"": 17.39692450607634}",1.1062345504760742
102,13.36641652363328,"{""step"": 1, ""energy"": 14.631444606202042}",1.1033611297607422
103,12.771671884385324,"{""step"": 2, ""energy"": 13.36641652363328}",1.1499114036560059
