iter,exp_value,best_result,iter_time
0,21.07162999727373,null,0.48560166358947754
1,18.876639063979923,"{""step"": 0, ""energy"": 21.07162999727373}",0.5894336700439453
2,16.462886148528813,"{""step"": 1, ""energy"": 18.876639063979923}",0.7341485023498535
3,14.65370304396722,"{""step"": 2, ""energy"": 16.462886148528813}",0.7477772235870361
4,13.701375371740237,"{""step"": 3, ""energy"": 14.65370304396722}",0.7519450187683105
5,13.245516108028507,"{""step"": 4, ""energy"": 13.701375371740237}",1.2731924057006836
6,12.991388870074394,"{""step"": 5, ""energy"": 13.245516108028507}",0.4857804775238037
7,12.815598590230373,"{""step"": 6, ""energy"": 12.991388870074394}",0.5059542655944824
8,12.67493518275492,"{""step"": 7, ""energy"": 12.815598590230373}",0.4850499629974365
9,12.553225555669925,"{""step"": 8, ""energy"": 12.67493518275492}",0.49660205841064453
10,12.442856163615176,"{""step"": 9, ""energy"": 12.553225555669925}",0.4860076904296875
11,12.339467643505454,"{""step"": 10, ""energy"": 12.442856163615176}",0.5059823989868164
12,12.240406644789868,"{""step"": 11, ""energy"": 12.339467643505454}",0.48572731018066406
13,12.144138137908435,"{""step"": 12, ""energy"": 12.240406644789868}",0.503889799118042
14,12.049917561446907,"{""step"": 13, ""energy"": 12.144138137908435}",0.5167362689971924
15,11.957553119512426,"{""step"": 14, ""energy"": 12.049917561446907}",0.5041000843048096
16,11.867214289759186,"{""step"": 15, ""energy"": 11.957553119512426}",0.4958457946777344
17,11.779276784410056,"{""step"": 16, ""energy"": 11.867214289759186}",0.5162997245788574
18,11.694197211564227,"{""step"": 17, ""energy"": 11.779276784410056}",0.48281168937683105
19,11.61241940979542,"{""step"": 18, ""energy"": 11.694197211564227}",0.5044658184051514
20,11.534312693869683,"{""step"": 19, ""energy"": 11.61241940979542}",0.4883918762207031
21,11.460140303763616,"{""step"": 20, ""energy"": 11.534312693869683}",0.500493049621582
22,11.390051835729745,"{""step"": 21, ""energy"": 11.460140303763616}",0.48425865173339844
23,11.324094890082794,"{""step"": 22, ""energy"": 11.390051835729745}",0.4810667037963867
24,11.262235521914167,"{""step"": 23, ""energy"": 11.324094890082794}",0.8700144290924072
25,11.204382247353536,"{""step"": 24, ""energy"": 11.262235521914167}",0.6720099449157715
26,11.150407672278327,"{""step"": 25, ""energy"": 11.204382247353536}",0.8525569438934326
27,11.100165166470953,"{""step"": 26, ""energy"": 11.150407672278327}",0.9080336093902588
28,11.053500318697543,"{""step"": 27, ""energy"": 11.100165166470953}",0.7757065296173096
29,11.010256431565974,"{""step"": 28, ""energy"": 11.053500318697543}",0.8310072422027588
30,10.970276931812453,"{""step"": 29, ""energy"": 11.010256431565974}",0.548567533493042
31,10.933404990453292,"{""step"": 30, ""energy"": 10.970276931812453}",0.5106201171875
32,10.899482252977595,"{""step"": 31, ""energy"": 10.933404990453292}",0.49344682693481445
33,10.868347925706576,"{""step"": 32, ""energy"": 10.899482252977595}",0.5027899742126465
34,10.839837882502039,"{""step"": 33, ""energy"": 10.868347925706576}",0.5006232261657715
35,10.813785083870531,"{""step"": 34, ""energy"": 10.839837882502039}",0.5069420337677002
36,10.790020790679996,"{""step"": 35, ""energy"": 10.813785083870531}",0.5133836269378662
37,10.768376091282223,"{""step"": 36, ""energy"": 10.790020790679996}",0.5106370449066162
38,10.748684162556867,"{""step"": 37, ""energy"": 10.768376091282223}",0.500701904296875
39,10.730782154710614,"{""step"": 38, ""energy"": 10.748684162556867}",0.513502836227417
40,10.714513457398418,"{""step"": 39, ""energy"": 10.730782154710614}",0.5050933361053467
41,10.69972892618236,"{""step"": 40, ""energy"": 10.714513457398418}",0.5080153942108154
42,10.686288270970216,"{""step"": 41, ""energy"": 10.69972892618236}",0.4939718246459961
43,10.674060976709644,"{""step"": 42, ""energy"": 10.686288270970216}",0.8729424476623535
44,10.662926500112874,"{""step"": 43, ""energy"": 10.674060976709644}",0.5050005912780762
45,10.65277453980065,"{""step"": 44, ""energy"": 10.662926500112874}",0.4918358325958252
46,10.643504675464131,"{""step"": 45, ""energy"": 10.65277453980065}",0.5103194713592529
47,10.63502601801859,"{""step"": 46, ""energy"": 10.643504675464131}",0.48880577087402344
48,10.627256788497562,"{""step"": 47, ""energy"": 10.63502601801859}",0.5043237209320068
49,10.620123591415183,"{""step"": 48, ""energy"": 10.627256788497562}",0.7159287929534912
50,10.613560777890058,"{""step"": 49, ""energy"": 10.620123591415183}",0.7488934993743896
51,10.607509780793361,"{""step"": 50, ""energy"": 10.613560777890058}",0.7706687450408936
52,10.601918407074262,"{""step"": 51, ""energy"": 10.607509780793361}",0.7612495422363281
53,10.596740307160939,"{""step"": 52, ""energy"": 10.601918407074262}",0.8342232704162598
54,10.591934270323854,"{""step"": 53, ""energy"": 10.596740307160939}",0.5175840854644775
55,10.587463755210072,"{""step"": 54, ""energy"": 10.591934270323854}",0.4796900749206543
56,10.583296241723065,"{""step"": 55, ""energy"": 10.587463755210072}",0.5095930099487305
57,10.579402862247836,"{""step"": 56, ""energy"": 10.583296241723065}",0.4989199638366699
58,10.575758065994346,"{""step"": 57, ""energy"": 10.579402862247836}",0.4843125343322754
