iter,exp_value,best_result,iter_time
0,25.832612991333008,null,0.046636343002319336
1,24.53858757019043,"{""step"": 0, ""energy"": 25.832612991333008}",0.04617619514465332
2,23.730491638183594,"{""step"": 1, ""energy"": 24.53858757019043}",0.045950889587402344
3,23.19041633605957,"{""step"": 2, ""energy"": 23.730491638183594}",0.04593920707702637
4,22.811189651489258,"{""step"": 3, ""energy"": 23.19041633605957}",0.05377459526062012
5,22.539440155029297,"{""step"": 4, ""energy"": 22.811189651489258}",0.046393394470214844
6,22.342769622802734,"{""step"": 5, ""energy"": 22.539440155029297}",0.04575157165527344
7,22.19764518737793,"{""step"": 6, ""energy"": 22.342769622802734}",0.04619598388671875
8,22.085721969604492,"{""step"": 7, ""energy"": 22.19764518737793}",0.045952796936035156
9,21.99228286743164,"{""step"": 8, ""energy"": 22.085721969604492}",0.049215078353881836
10,21.904911041259766,"{""step"": 9, ""energy"": 21.99228286743164}",0.04835081100463867
11,21.812049865722656,"{""step"": 10, ""energy"": 21.904911041259766}",0.04799222946166992
12,21.701541900634766,"{""step"": 11, ""energy"": 21.812049865722656}",0.06551194190979004
13,21.55922508239746,"{""step"": 12, ""energy"": 21.701541900634766}",0.04856610298156738
14,21.367826461791992,"{""step"": 13, ""energy"": 21.55922508239746}",0.04644203186035156
15,21.106700897216797,"{""step"": 14, ""energy"": 21.367826461791992}",0.049216270446777344
16,20.753633499145508,"{""step"": 15, ""energy"": 21.106700897216797}",0.045540809631347656
17,20.290433883666992,"{""step"": 16, ""energy"": 20.753633499145508}",0.04594707489013672
18,19.713537216186523,"{""step"": 17, ""energy"": 20.290433883666992}",0.04514884948730469
19,19.0469970703125,"{""step"": 18, ""energy"": 19.713537216186523}",0.04770040512084961
20,18.3481388092041,"{""step"": 19, ""energy"": 19.0469970703125}",0.04681038856506348
21,17.693742752075195,"{""step"": 20, ""energy"": 18.3481388092041}",0.04880690574645996
22,17.148874282836914,"{""step"": 21, ""energy"": 17.693742752075195}",0.04592394828796387
23,16.741466522216797,"{""step"": 22, ""energy"": 17.148874282836914}",0.04712224006652832
24,16.462093353271484,"{""step"": 23, ""energy"": 16.741466522216797}",0.04684925079345703
25,16.281925201416016,"{""step"": 24, ""energy"": 16.462093353271484}",0.0509037971496582
26,16.170143127441406,"{""step"": 25, ""energy"": 16.281925201416016}",0.045563697814941406
27,16.102272033691406,"{""step"": 26, ""energy"": 16.170143127441406}",0.04647207260131836
28,16.061481475830078,"{""step"": 27, ""energy"": 16.102272033691406}",0.04573321342468262
29,16.037050247192383,"{""step"": 28, ""energy"": 16.061481475830078}",0.046526193618774414
30,16.02240753173828,"{""step"": 29, ""energy"": 16.037050247192383}",0.04822182655334473
31,16.013608932495117,"{""step"": 30, ""energy"": 16.02240753173828}",0.04619288444519043
32,16.008304595947266,"{""step"": 31, ""energy"": 16.013608932495117}",0.046823740005493164
33,16.005090713500977,"{""step"": 32, ""energy"": 16.008304595947266}",0.05568742752075195
34,16.003137588500977,"{""step"": 33, ""energy"": 16.005090713500977}",0.05196499824523926
35,16.001943588256836,"{""step"": 34, ""energy"": 16.003137588500977}",0.04754376411437988
36,16.001211166381836,"{""step"": 35, ""energy"": 16.001943588256836}",0.04896068572998047
37,16.000761032104492,"{""step"": 36, ""energy"": 16.001211166381836}",0.04653215408325195
38,16.00048065185547,"{""step"": 37, ""energy"": 16.000761032104492}",0.04578828811645508
39,16.000307083129883,"{""step"": 38, ""energy"": 16.00048065185547}",0.04610562324523926
40,16.00019645690918,"{""step"": 39, ""energy"": 16.000307083129883}",0.04765963554382324
41,16.0001277923584,"{""step"": 40, ""energy"": 16.00019645690918}",0.04700160026550293
