run_id,library,N,depth,theta_path,iter_csv
4d731754,quimb:mps,4,6,bench_out_comparison_cpu/theta_4d731754.pt,bench_out_comparison_cpu/iter_4d731754.csv
099e9758,pennylane_default:default.qubit,4,6,bench_out_comparison_cpu/theta_099e9758.pt,bench_out_comparison_cpu/iter_099e9758.csv
a93c1433,pennylane_lightning:lightning.qubit,4,6,bench_out_comparison_cpu/theta_a93c1433.pt,bench_out_comparison_cpu/iter_a93c1433.csv
9ddfe330,quimb:mps,4,5,bench_out_comparison_cpu/theta_9ddfe330.pt,bench_out_comparison_cpu/iter_9ddfe330.csv
eeaddb1c,pennylane_default:default.qubit,4,5,bench_out_comparison_cpu/theta_eeaddb1c.pt,bench_out_comparison_cpu/iter_eeaddb1c.csv
1c94258e,pennylane_lightning:lightning.qubit,4,5,bench_out_comparison_cpu/theta_1c94258e.pt,bench_out_comparison_cpu/iter_1c94258e.csv
28db17f1,quimb:mps,4,4,bench_out_comparison_cpu/theta_28db17f1.pt,bench_out_comparison_cpu/iter_28db17f1.csv
3544b7cb,pennylane_default:default.qubit,4,4,bench_out_comparison_cpu/theta_3544b7cb.pt,bench_out_comparison_cpu/iter_3544b7cb.csv
8281b63c,pennylane_lightning:lightning.qubit,4,4,bench_out_comparison_cpu/theta_8281b63c.pt,bench_out_comparison_cpu/iter_8281b63c.csv
d6efd806,quimb:mps,4,3,bench_out_comparison_cpu/theta_d6efd806.pt,bench_out_comparison_cpu/iter_d6efd806.csv
c5358bb4,pennylane_default:default.qubit,4,3,bench_out_comparison_cpu/theta_c5358bb4.pt,bench_out_comparison_cpu/iter_c5358bb4.csv
9db964ec,pennylane_lightning:lightning.qubit,4,3,bench_out_comparison_cpu/theta_9db964ec.pt,bench_out_comparison_cpu/iter_9db964ec.csv
1d22da84,quimb:mps,4,2,bench_out_comparison_cpu/theta_1d22da84.pt,bench_out_comparison_cpu/iter_1d22da84.csv
5ea3b3cd,pennylane_default:default.qubit,4,2,bench_out_comparison_cpu/theta_5ea3b3cd.pt,bench_out_comparison_cpu/iter_5ea3b3cd.csv
babc43cf,pennylane_lightning:lightning.qubit,4,2,bench_out_comparison_cpu/theta_babc43cf.pt,bench_out_comparison_cpu/iter_babc43cf.csv
eadd2a05,quimb:mps,4,1,bench_out_comparison_cpu/theta_eadd2a05.pt,bench_out_comparison_cpu/iter_eadd2a05.csv
75012e80,pennylane_default:default.qubit,4,1,bench_out_comparison_cpu/theta_75012e80.pt,bench_out_comparison_cpu/iter_75012e80.csv
a20cffe0,pennylane_lightning:lightning.qubit,4,1,bench_out_comparison_cpu/theta_a20cffe0.pt,bench_out_comparison_cpu/iter_a20cffe0.csv
b4fec957,quimb:mps,8,6,bench_out_comparison_cpu/theta_b4fec957.pt,bench_out_comparison_cpu/iter_b4fec957.csv
ff08205e,pennylane_default:default.qubit,8,6,bench_out_comparison_cpu/theta_ff08205e.pt,bench_out_comparison_cpu/iter_ff08205e.csv
41b227ac,pennylane_lightning:lightning.qubit,8,6,bench_out_comparison_cpu/theta_41b227ac.pt,bench_out_comparison_cpu/iter_41b227ac.csv
162753f9,quimb:mps,8,5,bench_out_comparison_cpu/theta_162753f9.pt,bench_out_comparison_cpu/iter_162753f9.csv
9f7b8557,pennylane_default:default.qubit,8,5,bench_out_comparison_cpu/theta_9f7b8557.pt,bench_out_comparison_cpu/iter_9f7b8557.csv
d9b05693,pennylane_lightning:lightning.qubit,8,5,bench_out_comparison_cpu/theta_d9b05693.pt,bench_out_comparison_cpu/iter_d9b05693.csv
28d4805a,quimb:mps,8,4,bench_out_comparison_cpu/theta_28d4805a.pt,bench_out_comparison_cpu/iter_28d4805a.csv
931b734f,pennylane_default:default.qubit,8,4,bench_out_comparison_cpu/theta_931b734f.pt,bench_out_comparison_cpu/iter_931b734f.csv
fd25a9a5,pennylane_lightning:lightning.qubit,8,4,bench_out_comparison_cpu/theta_fd25a9a5.pt,bench_out_comparison_cpu/iter_fd25a9a5.csv
9efa6eac,quimb:mps,8,3,bench_out_comparison_cpu/theta_9efa6eac.pt,bench_out_comparison_cpu/iter_9efa6eac.csv
b197c2f1,pennylane_default:default.qubit,8,3,bench_out_comparison_cpu/theta_b197c2f1.pt,bench_out_comparison_cpu/iter_b197c2f1.csv
e100063c,pennylane_lightning:lightning.qubit,8,3,bench_out_comparison_cpu/theta_e100063c.pt,bench_out_comparison_cpu/iter_e100063c.csv
575b7a07,quimb:mps,8,2,bench_out_comparison_cpu/theta_575b7a07.pt,bench_out_comparison_cpu/iter_575b7a07.csv
cfbb61c3,pennylane_default:default.qubit,8,2,bench_out_comparison_cpu/theta_cfbb61c3.pt,bench_out_comparison_cpu/iter_cfbb61c3.csv
ef4b5089,pennylane_lightning:lightning.qubit,8,2,bench_out_comparison_cpu/theta_ef4b5089.pt,bench_out_comparison_cpu/iter_ef4b5089.csv
b6b8a9b9,quimb:mps,8,1,bench_out_comparison_cpu/theta_b6b8a9b9.pt,bench_out_comparison_cpu/iter_b6b8a9b9.csv
ca4260a3,pennylane_default:default.qubit,8,1,bench_out_comparison_cpu/theta_ca4260a3.pt,bench_out_comparison_cpu/iter_ca4260a3.csv
4ef3fc89,pennylane_lightning:lightning.qubit,8,1,bench_out_comparison_cpu/theta_4ef3fc89.pt,bench_out_comparison_cpu/iter_4ef3fc89.csv
