iter,exp_value,best_result,iter_time
0,113.5038070678711,null,134.77153301239014
1,113.49272918701172,"{""step"": 0, ""energy"": 113.5038070678711}",135.83905720710754
2,113.49711608886719,"{""step"": 1, ""energy"": 113.49272918701172}",135.08094000816345
3,113.49076080322266,"{""step"": 1, ""energy"": 113.49272918701172}",135.2597050666809
4,113.50366973876953,"{""step"": 3, ""energy"": 113.49076080322266}",144.23277306556702
5,113.49202728271484,"{""step"": 3, ""energy"": 113.49076080322266}",138.15066576004028
6,113.5001449584961,"{""step"": 3, ""energy"": 113.49076080322266}",139.08337998390198
7,113.4993667602539,"{""step"": 3, ""energy"": 113.49076080322266}",136.74768567085266
8,113.50198364257812,"{""step"": 3, ""energy"": 113.49076080322266}",137.03788375854492
9,113.49879455566406,"{""step"": 3, ""energy"": 113.49076080322266}",138.84978985786438
