iter,exp_value,best_result,iter_time
0,21.071630477905273,null,0.18727493286132812
1,18.876638412475586,"{""step"": 0, ""energy"": 21.071630477905273}",0.18232178688049316
2,16.462886810302734,"{""step"": 1, ""energy"": 18.876638412475586}",0.18758845329284668
3,14.653702735900879,"{""step"": 2, ""energy"": 16.462886810302734}",0.1846773624420166
4,13.701375007629395,"{""step"": 3, ""energy"": 14.653702735900879}",0.18080997467041016
5,13.245515823364258,"{""step"": 4, ""energy"": 13.701375007629395}",0.1818387508392334
6,12.991389274597168,"{""step"": 5, ""energy"": 13.245515823364258}",0.18490910530090332
7,12.815598487854004,"{""step"": 6, ""energy"": 12.991389274597168}",0.18405699729919434
8,12.674935340881348,"{""step"": 7, ""energy"": 12.815598487854004}",0.18637609481811523
9,12.55322551727295,"{""step"": 8, ""energy"": 12.674935340881348}",0.18520450592041016
10,12.442855834960938,"{""step"": 9, ""energy"": 12.55322551727295}",0.18519997596740723
11,12.339468002319336,"{""step"": 10, ""energy"": 12.442855834960938}",0.18590307235717773
12,12.24040699005127,"{""step"": 11, ""energy"": 12.339468002319336}",0.181074857711792
13,12.14413833618164,"{""step"": 12, ""energy"": 12.24040699005127}",0.18482494354248047
14,12.049917221069336,"{""step"": 13, ""energy"": 12.14413833618164}",0.18145418167114258
15,11.957552909851074,"{""step"": 14, ""energy"": 12.049917221069336}",0.6728420257568359
16,11.86721420288086,"{""step"": 15, ""energy"": 11.957552909851074}",0.17853808403015137
17,11.779276847839355,"{""step"": 16, ""energy"": 11.86721420288086}",0.1786816120147705
18,11.694197654724121,"{""step"": 17, ""energy"": 11.779276847839355}",0.18198585510253906
19,11.612419128417969,"{""step"": 18, ""energy"": 11.694197654724121}",0.17884445190429688
20,11.53431224822998,"{""step"": 19, ""energy"": 11.612419128417969}",0.17821002006530762
21,11.460140228271484,"{""step"": 20, ""energy"": 11.53431224822998}",0.18110156059265137
22,11.39005184173584,"{""step"": 21, ""energy"": 11.460140228271484}",0.17948055267333984
23,11.324094772338867,"{""step"": 22, ""energy"": 11.39005184173584}",0.17863035202026367
24,11.262235641479492,"{""step"": 23, ""energy"": 11.324094772338867}",0.18276190757751465
25,11.204381942749023,"{""step"": 24, ""energy"": 11.262235641479492}",0.18189454078674316
26,11.150407791137695,"{""step"": 25, ""energy"": 11.204381942749023}",0.17988181114196777
27,11.100165367126465,"{""step"": 26, ""energy"": 11.150407791137695}",0.1794567108154297
28,11.053500175476074,"{""step"": 27, ""energy"": 11.100165367126465}",0.17876172065734863
29,11.01025676727295,"{""step"": 28, ""energy"": 11.053500175476074}",0.1817491054534912
30,10.970276832580566,"{""step"": 29, ""energy"": 11.01025676727295}",0.1787559986114502
31,10.933404922485352,"{""step"": 30, ""energy"": 10.970276832580566}",0.17858123779296875
32,10.899482727050781,"{""step"": 31, ""energy"": 10.933404922485352}",0.18051815032958984
33,10.868348121643066,"{""step"": 32, ""energy"": 10.899482727050781}",0.17954540252685547
34,10.839838027954102,"{""step"": 33, ""energy"": 10.868348121643066}",0.18255233764648438
35,10.813785552978516,"{""step"": 34, ""energy"": 10.839838027954102}",0.17823195457458496
36,10.790020942687988,"{""step"": 35, ""energy"": 10.813785552978516}",0.17857861518859863
37,10.768376350402832,"{""step"": 36, ""energy"": 10.790020942687988}",0.18004131317138672
38,10.74868392944336,"{""step"": 37, ""energy"": 10.768376350402832}",0.18141961097717285
39,10.730782508850098,"{""step"": 38, ""energy"": 10.74868392944336}",0.17920947074890137
40,10.714513778686523,"{""step"": 39, ""energy"": 10.730782508850098}",0.1835331916809082
41,10.699728965759277,"{""step"": 40, ""energy"": 10.714513778686523}",0.18012070655822754
42,10.686287879943848,"{""step"": 41, ""energy"": 10.699728965759277}",0.17957258224487305
43,10.674060821533203,"{""step"": 42, ""energy"": 10.686287879943848}",0.18167328834533691
44,10.66292667388916,"{""step"": 43, ""energy"": 10.674060821533203}",0.5816614627838135
45,10.652774810791016,"{""step"": 44, ""energy"": 10.66292667388916}",0.17888760566711426
46,10.643505096435547,"{""step"": 45, ""energy"": 10.652774810791016}",0.1824500560760498
47,10.635025978088379,"{""step"": 46, ""energy"": 10.643505096435547}",0.18081259727478027
48,10.627256393432617,"{""step"": 47, ""energy"": 10.635025978088379}",0.1780414581298828
49,10.620123863220215,"{""step"": 48, ""energy"": 10.627256393432617}",0.18108344078063965
50,10.613560676574707,"{""step"": 49, ""energy"": 10.620123863220215}",0.17986559867858887
51,10.60750961303711,"{""step"": 50, ""energy"": 10.613560676574707}",0.17804646492004395
52,10.60191822052002,"{""step"": 51, ""energy"": 10.60750961303711}",0.18799591064453125
53,10.59674072265625,"{""step"": 52, ""energy"": 10.60191822052002}",0.17947173118591309
54,10.591934204101562,"{""step"": 53, ""energy"": 10.59674072265625}",0.17742109298706055
55,10.58746337890625,"{""step"": 54, ""energy"": 10.591934204101562}",0.18332266807556152
56,10.583295822143555,"{""step"": 55, ""energy"": 10.58746337890625}",0.17906856536865234
57,10.579402923583984,"{""step"": 56, ""energy"": 10.583295822143555}",0.17920398712158203
58,10.57575798034668,"{""step"": 57, ""energy"": 10.579402923583984}",0.17988038063049316
59,10.572339057922363,"{""step"": 58, ""energy"": 10.57575798034668}",0.17713594436645508
60,10.569125175476074,"{""step"": 59, ""energy"": 10.572339057922363}",0.18644499778747559
61,10.566100120544434,"{""step"": 60, ""energy"": 10.569125175476074}",0.1791059970855713
62,10.563244819641113,"{""step"": 61, ""energy"": 10.566100120544434}",0.17846083641052246
63,10.560547828674316,"{""step"": 62, ""energy"": 10.563244819641113}",0.17729568481445312
64,10.557994842529297,"{""step"": 63, ""energy"": 10.560547828674316}",0.18022847175598145
65,10.555574417114258,"{""step"": 64, ""energy"": 10.557994842529297}",0.1791682243347168
66,10.553276062011719,"{""step"": 65, ""energy"": 10.555574417114258}",0.18084955215454102
67,10.551091194152832,"{""step"": 66, ""energy"": 10.553276062011719}",0.17795348167419434
68,10.54901123046875,"{""step"": 67, ""energy"": 10.551091194152832}",0.17899131774902344
69,10.547027587890625,"{""step"": 68, ""energy"": 10.54901123046875}",0.19071316719055176
70,10.545134544372559,"{""step"": 69, ""energy"": 10.547027587890625}",0.1841423511505127
71,10.543325424194336,"{""step"": 70, ""energy"": 10.545134544372559}",0.18977117538452148
72,10.541595458984375,"{""step"": 71, ""energy"": 10.543325424194336}",0.17864489555358887
73,10.539937973022461,"{""step"": 72, ""energy"": 10.541595458984375}",0.17843151092529297
74,10.538349151611328,"{""step"": 73, ""energy"": 10.539937973022461}",0.18131637573242188
75,10.536824226379395,"{""step"": 74, ""energy"": 10.538349151611328}",0.17975449562072754
76,10.535359382629395,"{""step"": 75, ""energy"": 10.536824226379395}",0.17717337608337402
77,10.533950805664062,"{""step"": 76, ""energy"": 10.535359382629395}",0.5638034343719482
78,10.53259563446045,"{""step"": 77, ""energy"": 10.533950805664062}",0.18133544921875
79,10.531290054321289,"{""step"": 78, ""energy"": 10.53259563446045}",0.1787242889404297
80,10.53003215789795,"{""step"": 79, ""energy"": 10.531290054321289}",0.17803430557250977
81,10.528818130493164,"{""step"": 80, ""energy"": 10.53003215789795}",0.1903996467590332
82,10.5276460647583,"{""step"": 81, ""energy"": 10.528818130493164}",0.17881441116333008
83,10.526514053344727,"{""step"": 82, ""energy"": 10.5276460647583}",0.18056559562683105
84,10.525419235229492,"{""step"": 83, ""energy"": 10.526514053344727}",0.178178071975708
85,10.524359703063965,"{""step"": 84, ""energy"": 10.525419235229492}",0.17719292640686035
86,10.523333549499512,"{""step"": 85, ""energy"": 10.524359703063965}",0.1778123378753662
87,10.522339820861816,"{""step"": 86, ""energy"": 10.523333549499512}",0.17779183387756348
88,10.52137565612793,"{""step"": 87, ""energy"": 10.522339820861816}",0.18278050422668457
89,10.520440101623535,"{""step"": 88, ""energy"": 10.52137565612793}",0.18062424659729004
90,10.51953125,"{""step"": 89, ""energy"": 10.520440101623535}",0.17807340621948242
91,10.518649101257324,"{""step"": 90, ""energy"": 10.51953125}",0.17839860916137695
92,10.517790794372559,"{""step"": 91, ""energy"": 10.518649101257324}",0.17806458473205566
93,10.516955375671387,"{""step"": 92, ""energy"": 10.517790794372559}",0.17775559425354004
94,10.516142845153809,"{""step"": 93, ""energy"": 10.516955375671387}",0.17839527130126953
95,10.515350341796875,"{""step"": 94, ""energy"": 10.516142845153809}",0.18622803688049316
96,10.514577865600586,"{""step"": 95, ""energy"": 10.515350341796875}",0.17801547050476074
97,10.513824462890625,"{""step"": 96, ""energy"": 10.514577865600586}",0.17800068855285645
98,10.513089179992676,"{""step"": 97, ""energy"": 10.513824462890625}",0.17790794372558594
99,10.512370109558105,"{""step"": 98, ""energy"": 10.513089179992676}",0.17834687232971191
100,17.39692497253418,null,0.1868000030517578
101,14.631444931030273,"{""step"": 0, ""energy"": 17.39692497253418}",0.1830298900604248
102,13.366416931152344,"{""step"": 1, ""energy"": 14.631444931030273}",0.18260407447814941
103,12.771671295166016,"{""step"": 2, ""energy"": 13.366416931152344}",0.18465805053710938
104,12.415657043457031,"{""step"": 3, ""energy"": 12.771671295166016}",0.1816120147705078
105,12.160947799682617,"{""step"": 4, ""energy"": 12.415657043457031}",0.1853044033050537
106,11.959510803222656,"{""step"": 5, ""energy"": 12.160947799682617}",0.18145203590393066
107,11.789201736450195,"{""step"": 6, ""energy"": 11.959510803222656}",0.185685396194458
108,11.638360977172852,"{""step"": 7, ""energy"": 11.789201736450195}",0.18290114402770996
109,11.500567436218262,"{""step"": 8, ""energy"": 11.638360977172852}",0.18120265007019043
110,11.372193336486816,"{""step"": 9, ""energy"": 11.500567436218262}",0.1824808120727539
111,11.251134872436523,"{""step"": 10, ""energy"": 11.372193336486816}",0.18084955215454102
112,11.136116027832031,"{""step"": 11, ""energy"": 11.251134872436523}",0.18909955024719238
113,11.02631664276123,"{""step"": 12, ""energy"": 11.136116027832031}",0.18279433250427246
114,10.92116928100586,"{""step"": 13, ""energy"": 11.02631664276123}",0.18139004707336426
115,10.82025146484375,"{""step"": 14, ""energy"": 10.92116928100586}",0.18083691596984863
116,10.723220825195312,"{""step"": 15, ""energy"": 10.82025146484375}",0.18337702751159668
117,10.629767417907715,"{""step"": 16, ""energy"": 10.723220825195312}",0.18046236038208008
118,10.53958797454834,"{""step"": 17, ""energy"": 10.629767417907715}",0.18144679069519043
119,10.452352523803711,"{""step"": 18, ""energy"": 10.53958797454834}",0.18485665321350098
120,10.367697715759277,"{""step"": 19, ""energy"": 10.452352523803711}",0.18577170372009277
121,10.285215377807617,"{""step"": 20, ""energy"": 10.367697715759277}",0.6831905841827393
122,10.204477310180664,"{""step"": 21, ""energy"": 10.285215377807617}",0.1857316493988037
123,10.125053405761719,"{""step"": 22, ""energy"": 10.204477310180664}",0.18329644203186035
124,10.046549797058105,"{""step"": 23, ""energy"": 10.125053405761719}",0.1857762336730957
125,9.968644142150879,"{""step"": 24, ""energy"": 10.046549797058105}",0.18364334106445312
126,9.891114234924316,"{""step"": 25, ""energy"": 9.968644142150879}",0.1843569278717041
127,9.813859939575195,"{""step"": 26, ""energy"": 9.891114234924316}",0.18397879600524902
128,9.73690414428711,"{""step"": 27, ""energy"": 9.813859939575195}",0.183790922164917
129,9.66038703918457,"{""step"": 28, ""energy"": 9.73690414428711}",0.17969632148742676
130,9.584529876708984,"{""step"": 29, ""energy"": 9.66038703918457}",0.1789073944091797
131,9.509591102600098,"{""step"": 30, ""energy"": 9.584529876708984}",0.1779627799987793
132,9.435813903808594,"{""step"": 31, ""energy"": 9.509591102600098}",0.17901849746704102
133,9.363370895385742,"{""step"": 32, ""energy"": 9.435813903808594}",0.17909026145935059
134,9.292326927185059,"{""step"": 33, ""energy"": 9.363370895385742}",0.1796722412109375
135,9.222615242004395,"{""step"": 34, ""energy"": 9.292326927185059}",0.1787416934967041
136,9.154048919677734,"{""step"": 35, ""energy"": 9.222615242004395}",0.17850613594055176
137,9.08635139465332,"{""step"": 36, ""energy"": 9.154048919677734}",0.1785259246826172
138,9.019214630126953,"{""step"": 37, ""energy"": 9.08635139465332}",0.17948532104492188
139,8.952367782592773,"{""step"": 38, ""energy"": 9.019214630126953}",0.17820382118225098
140,8.885651588439941,"{""step"": 39, ""energy"": 8.952367782592773}",0.17934417724609375
141,8.819085121154785,"{""step"": 40, ""energy"": 8.885651588439941}",0.17867350578308105
142,8.752904891967773,"{""step"": 41, ""energy"": 8.819085121154785}",0.17844462394714355
143,8.687582969665527,"{""step"": 42, ""energy"": 8.752904891967773}",0.17895817756652832
144,8.623790740966797,"{""step"": 43, ""energy"": 8.687582969665527}",0.17873477935791016
145,8.562331199645996,"{""step"": 44, ""energy"": 8.623790740966797}",0.17878150939941406
146,8.504036903381348,"{""step"": 45, ""energy"": 8.562331199645996}",0.1793968677520752
147,8.449655532836914,"{""step"": 46, ""energy"": 8.504036903381348}",0.17771458625793457
148,8.399754524230957,"{""step"": 47, ""energy"": 8.449655532836914}",0.17917299270629883
149,8.354659080505371,"{""step"": 48, ""energy"": 8.399754524230957}",0.1812281608581543
150,8.31444263458252,"{""step"": 49, ""energy"": 8.354659080505371}",0.1789264678955078
151,8.278952598571777,"{""step"": 50, ""energy"": 8.31444263458252}",0.1789085865020752
152,8.247870445251465,"{""step"": 51, ""energy"": 8.278952598571777}",0.5718345642089844
153,8.220772743225098,"{""step"": 52, ""energy"": 8.247870445251465}",0.17922496795654297
154,8.197192192077637,"{""step"": 53, ""energy"": 8.220772743225098}",0.17740416526794434
155,8.176664352416992,"{""step"": 54, ""energy"": 8.197192192077637}",0.17751193046569824
156,8.158753395080566,"{""step"": 55, ""energy"": 8.176664352416992}",0.17635607719421387
157,8.143071174621582,"{""step"": 56, ""energy"": 8.158753395080566}",0.17720365524291992
158,8.129281044006348,"{""step"": 57, ""energy"": 8.143071174621582}",0.18042659759521484
159,8.117098808288574,"{""step"": 58, ""energy"": 8.129281044006348}",0.1778566837310791
160,8.10628604888916,"{""step"": 59, ""energy"": 8.117098808288574}",0.18262767791748047
161,8.096646308898926,"{""step"": 60, ""energy"": 8.10628604888916}",0.178971529006958
162,8.088016510009766,"{""step"": 61, ""energy"": 8.096646308898926}",0.1775648593902588
163,8.080263137817383,"{""step"": 62, ""energy"": 8.088016510009766}",0.18135476112365723
164,8.073275566101074,"{""step"": 63, ""energy"": 8.080263137817383}",0.17895150184631348
165,8.066959381103516,"{""step"": 64, ""energy"": 8.073275566101074}",0.17663288116455078
166,8.061237335205078,"{""step"": 65, ""energy"": 8.066959381103516}",0.1807701587677002
167,8.05604362487793,"{""step"": 66, ""energy"": 8.061237335205078}",0.17719197273254395
168,8.051321983337402,"{""step"": 67, ""energy"": 8.05604362487793}",0.17760586738586426
169,8.04702377319336,"{""step"": 68, ""energy"": 8.051321983337402}",0.17739629745483398
170,8.043106079101562,"{""step"": 69, ""energy"": 8.04702377319336}",0.17770028114318848
171,8.039533615112305,"{""step"": 70, ""energy"": 8.043106079101562}",0.17891740798950195
172,8.036271095275879,"{""step"": 71, ""energy"": 8.039533615112305}",0.1800079345703125
173,8.033291816711426,"{""step"": 72, ""energy"": 8.036271095275879}",0.17774081230163574
174,8.030569076538086,"{""step"": 73, ""energy"": 8.033291816711426}",0.17850327491760254
175,8.02807903289795,"{""step"": 74, ""energy"": 8.030569076538086}",0.17956066131591797
176,8.025801658630371,"{""step"": 75, ""energy"": 8.02807903289795}",0.1784214973449707
177,8.023717880249023,"{""step"": 76, ""energy"": 8.025801658630371}",0.17942547798156738
178,8.021810531616211,"{""step"": 77, ""energy"": 8.023717880249023}",0.17850065231323242
179,8.020064353942871,"{""step"": 78, ""energy"": 8.021810531616211}",0.17758941650390625
180,8.018465042114258,"{""step"": 79, ""energy"": 8.020064353942871}",0.18135952949523926
181,8.017001152038574,"{""step"": 80, ""energy"": 8.018465042114258}",0.5792763233184814
182,8.015660285949707,"{""step"": 81, ""energy"": 8.017001152038574}",0.18239188194274902
183,8.01443099975586,"{""step"": 82, ""energy"": 8.015660285949707}",0.1843430995941162
184,8.013304710388184,"{""step"": 83, ""energy"": 8.01443099975586}",0.18112611770629883
185,8.012272834777832,"{""step"": 84, ""energy"": 8.013304710388184}",0.18313908576965332
186,8.011327743530273,"{""step"": 85, ""energy"": 8.012272834777832}",0.18347978591918945
187,8.010459899902344,"{""step"": 86, ""energy"": 8.011327743530273}",0.18341398239135742
188,8.009665489196777,"{""step"": 87, ""energy"": 8.010459899902344}",0.18372321128845215
189,8.008936882019043,"{""step"": 88, ""energy"": 8.009665489196777}",0.1825721263885498
190,8.008268356323242,"{""step"": 89, ""energy"": 8.008936882019043}",0.18199396133422852
191,8.007655143737793,"{""step"": 90, ""energy"": 8.008268356323242}",0.1822810173034668
192,8.00709342956543,"{""step"": 91, ""energy"": 8.007655143737793}",0.1797657012939453
193,8.006577491760254,"{""step"": 92, ""energy"": 8.00709342956543}",0.17813467979431152
194,8.006104469299316,"{""step"": 93, ""energy"": 8.006577491760254}",0.17966008186340332
195,8.005669593811035,"{""step"": 94, ""energy"": 8.006104469299316}",0.17946982383728027
196,8.005270957946777,"{""step"": 95, ""energy"": 8.005669593811035}",0.17840814590454102
197,8.004905700683594,"{""step"": 96, ""energy"": 8.005270957946777}",0.1789388656616211
198,8.004570007324219,"{""step"": 97, ""energy"": 8.004905700683594}",0.18094849586486816
199,8.00426197052002,"{""step"": 98, ""energy"": 8.004570007324219}",0.1782665252685547
200,18.703710556030273,null,0.18662595748901367
201,17.637147903442383,"{""step"": 0, ""energy"": 18.703710556030273}",0.1804215908050537
202,16.603816986083984,"{""step"": 1, ""energy"": 17.637147903442383}",0.18026232719421387
203,15.707295417785645,"{""step"": 2, ""energy"": 16.603816986083984}",0.17855334281921387
204,14.987255096435547,"{""step"": 3, ""energy"": 15.707295417785645}",0.18491721153259277
205,14.392476081848145,"{""step"": 4, ""energy"": 14.987255096435547}",0.18290162086486816
206,13.862887382507324,"{""step"": 5, ""energy"": 14.392476081848145}",0.17936134338378906
207,13.370946884155273,"{""step"": 6, ""energy"": 13.862887382507324}",0.18185806274414062
208,12.912134170532227,"{""step"": 7, ""energy"": 13.370946884155273}",0.1815946102142334
209,12.490083694458008,"{""step"": 8, ""energy"": 12.912134170532227}",0.18289518356323242
210,12.109179496765137,"{""step"": 9, ""energy"": 12.490083694458008}",0.17999958992004395
211,11.77138614654541,"{""step"": 10, ""energy"": 12.109179496765137}",0.18113160133361816
212,11.474915504455566,"{""step"": 11, ""energy"": 11.77138614654541}",0.1795058250427246
