iter,exp_value,best_result,iter_time
0,26.660700000000002,"""01111010""",2.1083085536956787
1,25.9969,"""00000010""",2.1225013732910156
2,27.2361,"""10001000""",2.1163597106933594
3,25.0135,"""01100110""",2.1212470531463623
4,25.282700000000002,"""11011001""",2.1197640895843506
5,24.8028,"""10011001""",2.118382692337036
6,24.8867,"""11001100""",2.1233644485473633
7,24.768800000000002,"""11001100""",2.1224167346954346
8,25.9465,"""11100010""",2.1324105262756348
9,24.750400000000003,"""11001100""",2.111544609069824
10,24.1905,"""01100010""",2.118919849395752
11,24.0041,"""00110011""",2.1297004222869873
12,23.1029,"""00110011""",2.1145246028900146
13,22.9218,"""00110011""",2.117794990539551
14,22.3172,"""10011001""",2.1138477325439453
15,21.229200000000002,"""01100110""",2.1140565872192383
16,20.4673,"""00110011""",2.11303973197937
17,19.7419,"""00110011""",2.1150145530700684
18,19.8021,"""00110011""",2.1158556938171387
19,19.033,"""00110011""",2.112522602081299
20,18.681800000000003,"""00110011""",2.108015537261963
21,18.302300000000002,"""00110011""",2.119910955429077
22,18.2371,"""00110011""",2.1128249168395996
23,18.419900000000002,"""00110011""",2.1078639030456543
24,18.166600000000003,"""10011001""",2.1237175464630127
25,17.7652,"""00110011""",2.098005771636963
26,17.823600000000003,"""00110011""",2.1055750846862793
27,17.61,"""00110011""",2.1060500144958496
28,17.5385,"""00110011""",2.106569290161133
29,17.5225,"""10011001""",2.121042490005493
30,17.4039,"""00110011""",2.108416795730591
31,17.6053,"""10011001""",2.119196891784668
32,17.4796,"""00110011""",2.1136178970336914
33,17.8189,"""00110011""",2.109750986099243
34,17.140800000000002,"""01100111""",2.1135079860687256
35,17.4703,"""00110011""",2.1077158451080322
36,17.326900000000002,"""01100111""",2.116170644760132
37,17.0468,"""00110011""",2.1161069869995117
38,16.971600000000002,"""01100111""",2.115950584411621
39,17.4828,"""00110011""",2.1182713508605957
40,17.659000000000002,"""10011001""",2.1131396293640137
41,17.4682,"""00110011""",2.1260454654693604
42,17.1251,"""00110011""",2.1182703971862793
43,17.287100000000002,"""00110011""",2.1143059730529785
44,17.856,"""00110011""",2.1144988536834717
45,17.1766,"""00110011""",2.1178462505340576
46,17.4117,"""00110011""",2.1163952350616455
47,18.031000000000002,"""11001101""",2.1161880493164062
48,16.581500000000002,"""01100111""",2.1144766807556152
49,17.7655,"""01100111""",2.114044666290283
50,17.0318,"""01100111""",2.12198543548584
51,17.7904,"""00110011""",2.12439227104187
52,17.7022,"""01100111""",2.1119449138641357
53,17.1308,"""01100111""",2.116753339767456
54,16.9934,"""11001101""",2.1182119846343994
55,17.861700000000003,"""01100111""",2.1181178092956543
56,16.5024,"""01100111""",2.1082069873809814
57,17.3917,"""01100111""",2.1178202629089355
58,18.140800000000002,"""01100111""",2.1121747493743896
59,17.4462,"""01100111""",2.1144230365753174
60,16.7067,"""01100111""",2.113996982574463
61,17.831200000000003,"""01100111""",2.1463754177093506
62,17.7071,"""01100111""",2.1155691146850586
63,16.3683,"""01100111""",2.116069793701172
64,17.0389,"""01100111""",2.1142494678497314
65,16.3273,"""01100111""",2.1162734031677246
66,18.2241,"""01100111""",2.1319520473480225
67,17.6416,"""01100111""",2.1184630393981934
68,16.2321,"""01100111""",2.1158080101013184
69,17.1497,"""01100111""",2.108685255050659
70,16.4692,"""01100111""",2.1195013523101807
71,17.3382,"""01100111""",2.1458230018615723
72,17.7113,"""01100111""",2.1153578758239746
73,17.1613,"""01100111""",2.114687919616699
74,16.6329,"""01100111""",2.1211233139038086
75,16.5964,"""01100111""",2.1172778606414795
76,16.276,"""01100111""",2.1240503787994385
77,14.0036,"""01100111""",2.1166975498199463
78,13.8162,"""01100111""",2.114168882369995
79,13.387400000000001,"""01100111""",2.1143429279327393
80,13.4898,"""01100111""",2.110701322555542
81,13.661800000000001,"""01100111""",2.1222259998321533
82,12.6051,"""01100111""",2.1122143268585205
83,12.513100000000001,"""01100111""",2.10601806640625
84,12.406400000000001,"""01100101""",2.1147139072418213
85,12.417100000000001,"""01100111""",2.112285852432251
86,12.1228,"""01100111""",2.1123158931732178
87,12.0771,"""01100111""",2.1309592723846436
88,12.062000000000001,"""01100111""",2.106213092803955
89,12.064200000000001,"""01100111""",2.1112122535705566
90,12.118500000000001,"""01100111""",2.1107261180877686
91,11.8962,"""01100111""",2.1222658157348633
92,12.003400000000001,"""01100111""",2.1255903244018555
93,12.1303,"""01100111""",2.115267038345337
94,11.9501,"""01100101""",2.108126163482666
95,12.128,"""01100111""",2.109009265899658
96,11.9189,"""01100111""",2.114767551422119
97,11.9239,"""01100111""",2.1108453273773193
98,11.751100000000001,"""01100111""",2.1257364749908447
99,11.9647,"""01100111""",2.110813617706299
