iter,exp_value,best_result,iter_time
0,25.7314,"""11100011""",0.42353367805480957
1,25.035800000000002,"""11101101""",0.42508435249328613
2,24.189400000000003,"""11101101""",0.4206380844116211
3,23.666500000000003,"""10010010""",0.42236757278442383
4,22.8979,"""10011101""",0.4184441566467285
5,22.3966,"""10011101""",0.418959379196167
6,21.6936,"""10011101""",0.4240109920501709
7,21.0343,"""10011101""",0.4240870475769043
8,20.755300000000002,"""10011101""",0.42135024070739746
9,20.5073,"""10011101""",0.42357826232910156
10,20.2891,"""10011101""",0.4195139408111572
11,20.0335,"""10011101""",0.4246225357055664
12,19.7709,"""00110111""",0.42162060737609863
13,19.7832,"""00110111""",0.4182889461517334
14,19.5439,"""00110111""",0.41940903663635254
15,19.5963,"""10011101""",0.41786813735961914
16,19.505100000000002,"""00110111""",0.4195845127105713
17,19.474800000000002,"""10011101""",0.41781163215637207
18,19.4142,"""00110111""",0.4233741760253906
19,19.1625,"""00110111""",0.41809535026550293
20,19.294,"""00110111""",0.41931819915771484
21,19.3334,"""10011101""",0.42298340797424316
22,19.1807,"""10011101""",0.4199516773223877
23,19.1221,"""10011101""",0.4216499328613281
24,19.0957,"""10011101""",0.4191098213195801
25,19.2,"""11000111""",0.42069125175476074
26,19.3636,"""10011101""",0.4178140163421631
27,19.1725,"""00110111""",0.42147326469421387
28,19.1617,"""00110111""",0.42022156715393066
29,19.062,"""10011101""",0.4201085567474365
30,19.0774,"""10011101""",0.4200093746185303
31,18.9404,"""00110111""",0.4221463203430176
32,19.0154,"""01101101""",0.42172694206237793
33,18.817600000000002,"""00111001""",0.4213237762451172
34,19.0445,"""11000110""",0.41652488708496094
35,18.9072,"""10010010""",0.41922855377197266
36,18.914,"""11000110""",0.4183831214904785
37,19.0572,"""11000110""",0.42075037956237793
38,19.3793,"""11000110""",0.4195241928100586
39,19.2563,"""10010010""",0.42029809951782227
40,18.7646,"""11001000""",0.4210193157196045
41,18.4879,"""11000110""",0.4190332889556885
42,18.8316,"""01101101""",0.42018795013427734
43,17.8155,"""10011100""",0.41956639289855957
44,18.2579,"""10010010""",0.41680002212524414
45,17.8813,"""11001000""",0.4165811538696289
46,17.9114,"""11001000""",0.41800618171691895
47,17.799200000000003,"""11000110""",0.4189183712005615
48,17.964100000000002,"""11000110""",0.42132997512817383
49,18.2281,"""10011100""",0.41861534118652344
50,17.4864,"""10011100""",0.4204375743865967
51,17.6818,"""11001000""",0.42333245277404785
52,17.6266,"""10010010""",0.4243204593658447
53,17.537300000000002,"""11001000""",0.4181544780731201
54,17.7441,"""10011100""",0.4230537414550781
55,17.8973,"""11001000""",0.4171743392944336
56,17.9722,"""11000110""",0.41778039932250977
57,18.4087,"""11000110""",0.4183058738708496
58,17.758300000000002,"""10011100""",0.41914916038513184
59,17.8594,"""11000110""",0.4187929630279541
60,18.2716,"""11000110""",0.41805481910705566
61,18.1213,"""10010010""",0.41967272758483887
62,18.0578,"""11000110""",0.41924357414245605
63,18.3671,"""11001000""",0.4189937114715576
64,18.5946,"""10011100""",0.4173777103424072
65,18.492,"""10010010""",0.4178638458251953
66,18.9281,"""11001000""",0.41833019256591797
67,18.954700000000003,"""10011100""",0.41910552978515625
68,19.1291,"""11000110""",0.41945838928222656
69,19.2546,"""11000110""",0.41788649559020996
70,18.954700000000003,"""11001000""",0.41990041732788086
71,19.1215,"""10011100""",0.42195773124694824
72,18.8981,"""10010010""",0.4191138744354248
73,18.6924,"""10011100""",0.4249906539916992
74,19.158,"""11001000""",0.41965603828430176
75,18.774900000000002,"""10010010""",0.4198448657989502
76,18.358700000000002,"""11001000""",0.42326831817626953
77,18.037200000000002,"""10010010""",0.41855645179748535
78,17.8957,"""10010010""",0.4182705879211426
79,17.494600000000002,"""10010010""",0.41867923736572266
80,17.576,"""10010010""",0.4196796417236328
81,17.7259,"""10010010""",0.4214935302734375
82,17.6505,"""11001000""",0.41876912117004395
83,17.85,"""10010010""",0.4189302921295166
84,17.5047,"""10010010""",0.42124176025390625
85,17.299,"""11001000""",0.4174962043762207
86,17.5084,"""10010010""",0.41844654083251953
87,17.413700000000002,"""11000110""",0.41750574111938477
88,17.2525,"""10010010""",0.421069860458374
89,17.515800000000002,"""10010010""",0.41754961013793945
90,17.642300000000002,"""01100011""",0.4174056053161621
91,17.704800000000002,"""10011100""",0.4190349578857422
92,17.7164,"""01101101""",0.41878652572631836
93,17.9161,"""01100011""",0.4202253818511963
94,17.8199,"""01101101""",0.4182851314544678
95,17.9201,"""01101101""",0.4251525402069092
96,17.9873,"""01101101""",0.4236624240875244
97,18.306,"""01100011""",0.42376232147216797
98,18.2362,"""01101101""",0.4256870746612549
99,18.252100000000002,"""10010010""",0.4258110523223877
