iter,exp_value,best_result,iter_time
0,112.80590000000001,"""010101101110100000011100""",4.295060396194458
1,111.47250000000001,"""110110011111010110100110""",4.272878885269165
2,110.5287,"""101011101010101010110100""",4.261674880981445
3,110.2639,"""100001000001101111010101""",4.316766738891602
4,109.447,"""101011101011100011000001""",4.449674129486084
5,108.9349,"""101001010010000000011101""",4.264675140380859
6,108.0497,"""010100011111111010110101""",4.287931680679321
7,107.80850000000001,"""111100110110000011000011""",4.4820497035980225
8,107.604,"""110000000011001010010101""",4.273305416107178
9,107.4543,"""000000000011001011100111""",4.251035213470459
10,107.0699,"""001010111100110001101010""",4.266526222229004
11,106.27990000000001,"""101010111100110101001001""",4.279577732086182
12,106.9196,"""101011111011001010000011""",4.281163454055786
13,106.62320000000001,"""111011011001100000011100""",4.306153297424316
14,106.574,"""001011010001101111100000""",4.445285081863403
15,106.3739,"""100100011100111111010001""",4.291004657745361
16,105.76780000000001,"""101100011100101011000100""",4.295462131500244
17,105.0976,"""001101010001101010110001""",4.427062034606934
18,104.7795,"""111001001011000001011011""",4.283437728881836
19,105.0647,"""011000100110110101111111""",4.244317054748535
20,104.4809,"""100111111001100000011001""",4.274308919906616
21,104.2838,"""000110110100111110100001""",4.263688087463379
22,104.5267,"""010011101011010000101111""",4.227607011795044
23,104.5035,"""011011100011011111100101""",4.324409484863281
24,104.5419,"""101110101100101111010110""",4.43972635269165
25,104.21350000000001,"""001110101110010101111001""",4.253041505813599
26,104.1307,"""000100010100111110100101""",4.312722206115723
27,104.05810000000001,"""000100000100111110100101""",4.4756786823272705
28,103.5541,"""000100010110111111110110""",4.272846221923828
29,103.47,"""101110110111011010000100""",4.337649822235107
30,103.0579,"""110001001010110101001111""",4.260848760604858
31,103.56500000000001,"""101110111111011011000100""",4.295330286026001
32,103.60050000000001,"""001110111100010100111010""",4.270583868026733
33,103.3272,"""010001000000001110100010""",4.3127968311309814
34,102.9931,"""001110111110010100101111""",4.462566375732422
35,103.0922,"""101110111111101011000100""",4.369370937347412
36,103.1778,"""001110111111111011100011""",4.293391942977905
37,103.0313,"""111011101010111110010111""",4.467714548110962
38,103.4127,"""110101110000101111010111""",4.241817474365234
39,103.1104,"""101010000111110100001001""",4.259278059005737
40,103.31700000000001,"""101010111111101110010001""",4.287400007247925
41,102.7008,"""101010000111110100001001""",4.2681825160980225
42,102.9118,"""101010000110010001011010""",4.268153667449951
43,103.0943,"""101000001101011110010011""",4.280272722244263
44,103.0216,"""101000000100111111010011""",4.458741903305054
45,102.277,"""110001110001101111010011""",4.245071887969971
46,103.14710000000001,"""001101101011111110100111""",4.236493349075317
47,102.7273,"""010001111001111111100100""",4.452583312988281
48,103.05930000000001,"""110000110110010101001110""",4.283741474151611
49,102.9521,"""111010010100000001011001""",4.372000694274902
50,102.6601,"""011011011001101010110011""",4.267545700073242
51,103.0151,"""010001110001010100111100""",4.319953918457031
52,102.86850000000001,"""001110000110001010110001""",4.2824859619140625
53,102.59060000000001,"""000000101101101011110110""",4.250208616256714
54,102.8863,"""001010000110101011110110""",4.495696306228638
55,102.94080000000001,"""001100000111001010110001""",4.2978129386901855
56,102.30630000000001,"""101010000111000001011011""",4.258309841156006
57,102.36280000000001,"""100100100111000001011001""",4.464899778366089
58,102.8934,"""100001110001000101001110""",4.272844076156616
59,102.75150000000001,"""000100010111011111100100""",4.244565486907959
60,103.19380000000001,"""011011101001001110100001""",4.269022464752197
61,103.0768,"""001110111100011011110011""",4.28422737121582
62,102.4367,"""001110000100101011110011""",4.246621370315552
63,102.5062,"""100100101110000001011001""",4.261409044265747
64,102.4274,"""101111010010110101011110""",4.45421576499939
65,102.1716,"""011011010011100100111001""",4.2771522998809814
66,102.40690000000001,"""011011101011000101101100""",4.255719423294067
67,101.9246,"""001110101101100000111011""",4.432024955749512
68,102.2441,"""110000110101000001001100""",4.270376443862915
69,102.44160000000001,"""101111001011001110000001""",4.266593933105469
70,102.5539,"""100100010101000000001110""",4.230821847915649
71,102.38220000000001,"""111010011110011011010110""",4.277515172958374
72,102.426,"""011010011110011011100100""",4.242436408996582
73,102.41080000000001,"""011110000101111111110001""",4.2220118045806885
74,102.88690000000001,"""011110001110011011100001""",4.386486053466797
75,102.5506,"""010100110101111111110110""",4.2284770011901855
76,102.6425,"""111100010100110100001011""",4.226674318313599
77,102.1498,"""011110001110011110100001""",4.403957843780518
78,102.2425,"""010100101110011010110110""",4.2288818359375
79,102.36160000000001,"""010110100101111111110100""",4.235365867614746
80,102.5484,"""101001010001101110010001""",4.2106921672821045
81,102.23920000000001,"""101001010001101011000100""",4.201260328292847
82,102.0163,"""101001010001101011000100""",4.190396070480347
83,102.32300000000001,"""110110101110001111010000""",4.195768594741821
84,102.16590000000001,"""010110101111010101111000""",4.401345491409302
85,102.664,"""010110101110010001111000""",4.224943161010742
86,102.4932,"""101001010001101011010000""",4.206570386886597
87,102.1748,"""011100110101110101111000""",4.389972925186157
88,102.6581,"""100011001010001010000111""",4.186036586761475
89,102.32560000000001,"""101001010001101110010100""",4.202152252197266
90,101.9727,"""110110101110010001011101""",4.221188545227051
91,102.3071,"""110111001010001010000111""",4.241612672805786
92,102.19470000000001,"""011100000100111011110101""",4.23201847076416
93,101.7463,"""010110101110010100111110""",4.21629524230957
94,101.99940000000001,"""001000101110010001111110""",4.4038050174713135
95,101.6008,"""000100100100111110110001""",4.214838027954102
96,102.1592,"""111110000100111011000011""",4.220384120941162
97,101.29870000000001,"""010100100100111110110011""",4.362714052200317
98,101.2763,"""010100101110010100111000""",4.213602542877197
99,101.14800000000001,"""011110000100111110110001""",4.231337308883667
