iter,exp_value,best_result,iter_time
0,62.591800000000006,"""0110101111011000""",2.467879056930542
1,59.5191,"""0110110010100010""",2.4725167751312256
2,56.982800000000005,"""0110110010100010""",2.4571239948272705
3,54.4463,"""0110110010100010""",2.4503910541534424
4,52.1417,"""0110110010100010""",2.446866750717163
5,50.208000000000006,"""0110110010100010""",2.4571542739868164
6,49.0308,"""0110110010100010""",2.4465994834899902
7,48.1088,"""1001001101011100""",2.4464633464813232
8,47.3701,"""1001001101011100""",2.4538819789886475
9,46.761700000000005,"""0110110010100110""",2.459066152572632
10,45.9568,"""0110110010100110""",2.4413304328918457
11,45.3919,"""1001001101011100""",2.460785388946533
12,44.7381,"""1001001101001100""",2.451855182647705
13,44.0786,"""1001001101001100""",2.4489200115203857
14,43.2429,"""0110110111100110""",2.4481170177459717
15,42.5386,"""0110110111100110""",2.447730779647827
16,41.7911,"""1001001000011100""",2.4447481632232666
17,41.2089,"""1001001000001100""",2.436671495437622
18,40.2855,"""1001001000011100""",2.448364019393921
19,39.2342,"""1001001000001100""",2.4552230834960938
20,37.9594,"""1001001000001000""",2.4472408294677734
21,36.8907,"""0110110111110010""",2.469202995300293
22,36.2095,"""1001001101011100""",2.4491677284240723
23,35.5683,"""0110110111110110""",2.4582159519195557
24,35.102000000000004,"""0110110010100010""",2.4509799480438232
25,34.863800000000005,"""0110110111110110""",2.445838689804077
26,34.6591,"""0110110010100010""",2.448589324951172
27,34.5856,"""0110110111110110""",2.44697642326355
28,34.5876,"""1001001000001000""",2.446712017059326
29,34.5394,"""0110110111110110""",2.4327752590179443
30,34.5261,"""1001001001011000""",2.4505105018615723
31,34.5114,"""0110110111100010""",2.462691068649292
32,34.523900000000005,"""0110110110110010""",2.4449474811553955
33,34.5345,"""1001001000011100""",2.4509358406066895
34,34.5477,"""1001001001011000""",2.4453110694885254
35,34.572700000000005,"""1001001000011000""",2.442108392715454
36,34.5931,"""0110110110100010""",2.445164680480957
37,34.6045,"""0110110111100010""",2.4483630657196045
38,34.6433,"""1001001001011000""",2.446784257888794
39,34.635000000000005,"""1001001000001000""",2.4429752826690674
40,34.6025,"""0110110110110110""",2.4496777057647705
41,34.6053,"""0110110111110010""",2.4576590061187744
42,34.5762,"""1001001001001100""",2.4461796283721924
43,34.658500000000004,"""1001001000001000""",2.442694664001465
44,34.610600000000005,"""0110110110110110""",2.442784070968628
45,34.705400000000004,"""0110110111110010""",2.440915107727051
46,34.6375,"""0110110110110010""",2.441925525665283
47,34.694700000000005,"""1001001000001000""",2.442605495452881
48,34.609300000000005,"""1001001001001000""",2.4314017295837402
49,34.634,"""1001001000001000""",2.4408578872680664
50,34.5873,"""0110110110110010""",2.4394471645355225
51,34.5933,"""1001001000001100""",2.458711862564087
52,34.6002,"""1001001001001000""",2.4566171169281006
53,34.5877,"""0110110111110110""",2.4488017559051514
54,34.6441,"""1001001001001000""",2.454916477203369
55,34.5942,"""1001001000001000""",2.4534049034118652
56,34.6143,"""1001001001001000""",2.4487476348876953
57,34.5949,"""0110110111110110""",2.457021713256836
58,34.5733,"""1001001001001000""",2.442491054534912
59,34.598800000000004,"""1001001000001000""",2.4458515644073486
60,34.566900000000004,"""1001001001001000""",2.4453814029693604
61,34.5916,"""1001001000001000""",2.462639808654785
62,34.5865,"""0110110110110010""",2.4438138008117676
63,34.5977,"""1001001000001100""",2.4466092586517334
64,34.588100000000004,"""1001001001001000""",2.44632887840271
65,34.5914,"""1001001000001000""",2.4468297958374023
66,34.5995,"""0110110110110010""",2.456717014312744
67,34.5979,"""1001001000001100""",2.4521946907043457
68,34.5568,"""1001001001001100""",2.4485528469085693
69,34.5711,"""0110110111110110""",2.44686222076416
70,34.5308,"""1001001001001000""",2.4553558826446533
71,34.536500000000004,"""0110110111110110""",2.467890501022339
72,34.525600000000004,"""0110110110110010""",2.461740016937256
73,34.5367,"""1001001000001100""",2.4485907554626465
74,34.4988,"""1001001001001100""",2.4489967823028564
75,34.5394,"""0110110111110110""",2.449880599975586
76,34.4983,"""1001001001001100""",2.450523853302002
77,34.5433,"""1001001000001100""",2.444028377532959
78,34.4947,"""1001001001001100""",2.4454147815704346
79,34.534400000000005,"""0110110111110110""",2.4542040824890137
80,34.4925,"""0110110110110110""",2.4486448764801025
81,34.533,"""1001001000001100""",2.4719486236572266
82,34.447,"""1001001001001100""",2.445847511291504
83,34.4896,"""1001001000001100""",2.4460408687591553
84,34.4313,"""1001001000001100""",2.445204257965088
85,34.478500000000004,"""0110110110110110""",2.4511992931365967
86,34.4275,"""1001001000001100""",2.4455158710479736
87,34.4895,"""0110110110110110""",2.442126750946045
88,34.4412,"""0110110110100110""",2.4343743324279785
89,34.385400000000004,"""0110110110110110""",2.4519753456115723
90,34.2919,"""1001001001011100""",2.4484777450561523
91,34.2479,"""0110110110110110""",2.4593355655670166
92,34.204,"""1001001001011100""",2.440336227416992
93,34.1927,"""1001001001001100""",2.442629814147949
94,34.190000000000005,"""0110110110100010""",2.4395318031311035
95,34.1807,"""0110110110110110""",2.4374196529388428
96,34.1535,"""1001001001011000""",2.441049575805664
97,34.160000000000004,"""1001001001001100""",2.438230514526367
98,34.1407,"""0110110110100110""",2.446408748626709
99,34.147200000000005,"""0110110110110110""",2.449450969696045
