iter,exp_value,best_result,iter_time
0,112.9975,"""001000111100010000010000""",6.701964616775513
1,113.6603,"""111101000110010011010001""",5.199707746505737
2,112.76230000000001,"""111010111110000111101011""",5.114720821380615
3,112.7176,"""000101110010101101011000""",5.270266771316528
4,112.6648,"""010010101110011110000011""",5.1301047801971436
5,112.4893,"""000101000111000010110001""",5.108743906021118
6,112.43820000000001,"""011010001001010011111101""",5.211986780166626
7,112.50290000000001,"""001111100001010010111110""",5.110795021057129
8,112.27730000000001,"""000011001001010110110110""",5.265136957168579
9,111.6071,"""100010011001001001001100""",5.097054958343506
10,111.9333,"""000111000011110000100010""",5.221243381500244
11,111.402,"""010100111101110011101111""",5.125771522521973
12,111.64720000000001,"""001111111101111101000011""",5.123635530471802
13,111.2801,"""110000011011001001000111""",5.28386116027832
14,110.37,"""011011110111010110110100""",5.159092903137207
15,110.7526,"""011010000100110110111101""",5.119536399841309
16,111.274,"""100111011000101001101110""",5.286212205886841
17,111.12320000000001,"""010000111000000010110111""",5.131944417953491
18,110.57390000000001,"""101100001101111010110101""",5.2955098152160645
19,111.1259,"""010011101101110000011111""",5.1385650634765625
20,111.1131,"""101101101010110111100001""",5.3103132247924805
21,111.2804,"""101101111111101111000010""",5.114093542098999
22,111.33420000000001,"""111000011001110100011101""",5.17405891418457
23,110.94930000000001,"""101101010101111100111111""",5.271238327026367
24,110.82400000000001,"""011111000000011010111100""",5.1081438064575195
25,110.9581,"""111111010101100110010000""",5.16328239440918
26,110.43,"""110010000101001111000010""",5.256729364395142
27,110.3934,"""000000101010001010011010""",5.0814714431762695
28,111.0082,"""011111001001110101111000""",5.255797863006592
29,110.6085,"""001010000110001010000010""",5.149871587753296
30,110.64330000000001,"""000111000000110000101111""",5.3005242347717285
31,110.9362,"""101011111001110100011010""",5.209242820739746
32,110.72200000000001,"""110011011011101011100010""",5.177601099014282
33,111.48830000000001,"""000001101011100100111110""",5.358868837356567
34,110.7904,"""100001111101100001001011""",5.100325345993042
35,110.9636,"""100001101000110100111110""",5.161999940872192
36,110.57820000000001,"""100101000100111110110000""",5.2772533893585205
37,111.3969,"""001011011001100000011010""",5.162307262420654
38,111.53320000000001,"""111110100110111101001001""",5.280685663223267
39,111.41470000000001,"""000111101000101010110000""",5.110484838485718
40,111.31960000000001,"""000110100111011100111000""",5.291327953338623
41,110.4894,"""011001101110011111100110""",5.167104721069336
42,110.2655,"""010100101011001111100111""",5.153759717941284
43,110.15360000000001,"""011111011001110110011001""",5.294265985488892
44,109.54660000000001,"""010100001101110110111000""",5.175082445144653
45,109.89020000000001,"""001010101010001100011111""",5.158155202865601
46,109.70230000000001,"""111100011000100011000110""",5.32746148109436
