iter,exp_value,best_result,iter_time
0,142.88930000000002,"""010011000010101100010101111011110011""",7.707601070404053
1,141.8167,"""111001100010101000110111111010011111""",7.686079740524292
2,140.80790000000002,"""101110100100110010101001010111010011""",7.813322305679321
3,139.5837,"""101100010110110110000101001010000100""",7.852953195571899
4,138.8527,"""101110111110010010010101100011010000""",7.800690412521362
5,137.0178,"""000101111011000011111011010010000100""",7.656682968139648
6,136.74370000000002,"""000101101000000110000010110100110111""",7.763129711151123
7,135.332,"""110111000001100110000010101000101111""",7.810607433319092
8,134.1989,"""111100110111111101100100100101100010""",7.845501661300659
9,132.6072,"""111101101011001100101000011000111100""",7.631971836090088
10,131.5174,"""110101100010101000010010100011000001""",7.812300682067871
11,130.6087,"""100000110100110011010111110111010001""",7.656972408294678
12,130.5941,"""010101111011001100101000001011010110""",7.818408966064453
13,130.1822,"""011000110110111001011011011010000111""",7.856909990310669
14,129.8993,"""110010001101010111001110111101101001""",7.853531360626221
15,129.59130000000002,"""001101111011001100000111111101101111""",7.653780460357666
16,128.9459,"""100111000001100110000010000001101000""",7.848761320114136
17,128.86440000000002,"""000010011101010110101101011001101100""",7.813126087188721
18,128.3142,"""101101101110011001010010111110010001""",7.916993856430054
19,127.7954,"""001101101110011001001110111101101110""",7.653085470199585
20,128.88070000000002,"""101111011000011001000010000001111001""",7.797123670578003
21,126.98320000000001,"""110010100010110011101000101001101111""",7.679013967514038
22,127.0004,"""001101011110000111101001110011010011""",7.901675224304199
23,126.3512,"""000111110111100110110000000011000100""",7.786400556564331
24,126.92590000000001,"""100011001000011001001111111100111001""",7.866061210632324
25,126.68360000000001,"""001010001101001100011010101011000101""",7.640986204147339
26,126.0587,"""011101110100101100011101010110000111""",7.824881553649902
27,126.24220000000001,"""111101110010110010110111111100101100""",7.890024185180664
28,124.98140000000001,"""011111100100101100011010110100111000""",7.92886757850647
29,125.5841,"""001010110001111001011101111000101100""",7.700833797454834
30,126.11630000000001,"""011101001100000111110111111000101101""",7.876864671707153
31,125.40790000000001,"""010011000011101100001000001110010011""",7.763402938842773
32,125.66520000000001,"""011000001001010010100001000001111000""",7.970430850982666
33,125.27550000000001,"""011001011110000111110111111000101101""",8.038108348846436
34,125.1842,"""111000001100000111110101110001111011""",7.996753692626953
35,125.0965,"""011110111001000110101101111110010000""",7.715312719345093
36,125.5164,"""010101001100000111110110110100101101""",7.888251543045044
37,124.7188,"""000111111100010010111001111100101100""",7.964423418045044
38,125.1499,"""111010001010000111100101110100101111""",8.127771139144897
39,125.7485,"""110000100000101001000111010100101110""",7.910253286361694
40,125.11070000000001,"""101101010110111000110001110110000111""",7.995309591293335
41,125.3493,"""100110110011111000010001011011000110""",7.9829418659210205
42,125.19730000000001,"""110000100001111101001100001110000101""",8.137771129608154
43,124.8216,"""100100011011010010110110110001101111""",7.947772264480591
44,125.30260000000001,"""111010001011010111100101011011010011""",8.078576564788818
45,125.35860000000001,"""110000111001010010111111100011000111""",7.936148405075073
46,124.74180000000001,"""011011110100111000011100100100111001""",8.11494779586792
47,124.6375,"""010110110011111000011001100100111010""",7.916620969772339
48,124.97720000000001,"""000000100011101001001100111001111010""",7.966307163238525
49,124.63550000000001,"""100011100100101001001100000011010011""",7.787154674530029
50,124.38780000000001,"""111010001011010111100100101110010010""",7.880065202713013
51,124.27890000000001,"""100101101100000011101011101110000100""",7.6694934368133545
52,124.84200000000001,"""101111100100101001001101000100101100""",7.934298753738403
53,123.60000000000001,"""101111100101111100011010000001111010""",7.959370136260986
54,123.34750000000001,"""011010100011111101010101111110000111""",7.972548484802246
55,123.27050000000001,"""000101011100000010101010000011010011""",7.792150497436523
56,122.90490000000001,"""000100000011111001011000101001101110""",7.92694354057312
57,122.38990000000001,"""110111110010111101011100010001101111""",7.868987798690796
58,122.10050000000001,"""011011111100000010101010001110000101""",7.858594655990601
59,122.36890000000001,"""110111100011111101010101111110000110""",7.724699974060059
60,122.54400000000001,"""000100010100101000011011000110000100""",7.897958755493164
61,121.2917,"""001110111100000110111010001110010001""",7.6715617179870605
62,121.5424,"""101110101101000010100111110100111000""",7.892122745513916
63,122.1006,"""000100000111101000001010101011000110""",7.888140678405762
64,122.19510000000001,"""010001000011111101001100010111000100""",7.95139479637146
65,121.91130000000001,"""000100010100101100011111101010000100""",7.64738655090332
66,122.51830000000001,"""100100000111101000111100000001101101""",7.84227991104126
67,122.2857,"""000100000111101000001010001100101100""",7.833254337310791
68,122.4488,"""110001010010111101101001010100101101""",7.8422629833221436
69,122.43010000000001,"""010001010010111101101001011000111010""",7.642389297485352
70,122.6066,"""011011111000010111000011111111010001""",7.840471982955933
71,122.77600000000001,"""001110101001001101001010001101101111""",7.665023565292358
72,122.6533,"""110001010100100111100011111110000111""",7.86703085899353
73,122.6819,"""000100101101000010010110101010000100""",7.811265230178833
74,122.9128,"""011000010110100111001001100100111000""",7.805562496185303
75,122.7697,"""110010110100100111001011100100101101""",7.656602382659912
76,122.76960000000001,"""110010110100110010011100000000101101""",7.839697599411011
77,123.2104,"""010011010010110010011111110101111010""",7.859454393386841
78,122.50030000000001,"""110010110110100100000101001110010011""",7.9721519947052
79,123.1714,"""010011111000001011111110101110000110""",7.707610130310059
80,122.7925,"""010010110100101001010111100101111010""",7.839979410171509
81,122.7526,"""111001010110111100000011111011010010""",7.632701396942139
82,122.64800000000001,"""110010011100010110101000010111010011""",7.826340913772583
83,122.49690000000001,"""111001111010001101110100011011010010""",7.842748165130615
84,122.426,"""010011010010100010111101000000101111""",7.83189845085144
85,121.37010000000001,"""101011111000011000010101100100101101""",7.643745183944702
86,122.1449,"""010100011010010110111100001110000111""",7.836873769760132
87,121.6491,"""010100011010010110111100001110000111""",7.826911926269531
88,121.9649,"""110100011100000110100011110001111000""",7.900111675262451
89,121.69510000000001,"""010100011100000110100011001000101101""",7.645353555679321
90,121.11040000000001,"""000111001001010011110110100100101111""",7.819755554199219
91,120.8416,"""100111011100000110100011001000101101""",7.684272527694702
92,120.61460000000001,"""101000110110101001011011001000101101""",7.843264579772949
93,120.3341,"""101001001011010110001011111100111010""",7.870004177093506
94,120.41220000000001,"""001000110100101000010101101100111000""",7.843514680862427
95,120.08510000000001,"""001001001011010110001011111111010010""",7.620631694793701
96,119.7518,"""110111001111000110000111011011010000""",7.841813325881958
97,120.1577,"""101000111010010011010010010000111010""",7.814179182052612
98,120.07600000000001,"""001001001011010111101010011011000111""",7.903711795806885
