iter,exp_value,best_result,iter_time
0,138.198,"""010101101001100110011110100001111100""",6.074779510498047
1,137.7331,"""001100000000111101100001011110001010""",6.123981952667236
2,136.99540000000002,"""001100000000111101101010100001001010""",6.234370946884155
3,136.53820000000002,"""100110101011000010100100001011100001""",6.116147041320801
4,136.1425,"""001100000001010100111110010011101000""",6.225927114486694
5,135.2131,"""110011111001010100111110010011011100""",6.259047746658325
6,134.3958,"""110011101001101000000001101110001000""",6.041347503662109
7,133.2236,"""011000101100001000000001000100010000""",6.238513946533203
8,132.4193,"""100110111100111011001101100110101000""",6.041252613067627
9,131.2837,"""100110111100010001100111001100001000""",6.210501194000244
10,131.1566,"""000111010011000111100111011100011010""",6.0500099658966064
11,130.7629,"""010010000100101101001110101001010111""",6.027814626693726
12,130.5465,"""111000101011010111011100111011100111""",6.239420652389526
13,130.3525,"""011000101011010010100100000001010101""",6.01516580581665
14,129.84380000000002,"""110010000001110101101000111001111110""",6.232361555099487
15,130.1866,"""011000101011010111000100011011110101""",6.281492471694946
16,130.1457,"""101101111110000110010001001100110000""",6.062594652175903
17,129.6652,"""001000111001110100111011100110011010""",6.269554138183594
18,129.8348,"""110111000110001011000000101001010101""",6.054399251937866
19,129.39090000000002,"""000010010001100001101110110011001100""",6.28087854385376
20,129.7559,"""010111001011001011000000101011110101""",6.058738708496094
21,129.4314,"""100010010001100001101110110001111111""",6.075027227401733
22,129.3728,"""110111001011111011011010011001100101""",6.1961989402771
23,129.1408,"""100010010100110100011001111100011000""",5.996846437454224
24,129.6214,"""000010010100110100011001111100000011""",6.261759281158447
25,129.4462,"""000011101110111100000011000100000011""",6.282047510147095
26,129.14440000000002,"""101001001110111101011111100100110011""",6.036733388900757
27,129.201,"""011100010001001101011111111110110010""",6.202801465988159
28,129.1665,"""011110111110010000011001111100001010""",6.081018447875977
29,129.2701,"""110101111110100110101111001100101010""",6.277330636978149
30,129.0764,"""111111101110000101011111100110011001""",6.049758434295654
31,128.86960000000002,"""110011011110110110100100001001111110""",6.1000776290893555
32,129.0113,"""011010000001001000011001111100011000""",6.265078067779541
33,129.19660000000002,"""110011011110110110100001011100101011""",6.057835578918457
34,128.8431,"""110011000001001000011001101100011010""",6.27475118637085
35,128.657,"""001100101011110010110011000110110000""",6.255814552307129
36,128.7709,"""001011010001011001111000110011001100""",6.0582427978515625
37,128.5266,"""100110001011100010110011000100000001""",6.270601034164429
38,128.5779,"""100000101011110010110011000110110010""",6.092425584793091
39,128.6878,"""101011010001011000011000111001001100""",6.3889079093933105
40,128.4914,"""001011010001011000011001100110011000""",6.092641115188599
41,128.6582,"""100110000001110010110010011001111111""",6.148097991943359
42,128.5191,"""110001111110001101001100111001010101""",6.3173911571502686
43,128.5132,"""101110101011100110100000111001010101""",6.122441530227661
44,128.5949,"""110001111110001101011111000100011001""",6.329188346862793
45,128.5184,"""001110101011100110100110010011111100""",6.3033130168914795
46,128.3367,"""101110101011100110100000000011100101""",6.054853439331055
47,128.66840000000002,"""010001110100001100101010010011111111""",6.253321170806885
48,128.2635,"""010001010100011001101011001100101000""",6.064419507980347
49,128.6705,"""110001010100011001111110010011100111""",6.23903489112854
50,128.0833,"""010001010100011111001010101001001110""",6.046292781829834
51,128.543,"""001110101011100110000000111001001101""",6.090030908584595
52,128.0822,"""010110001011110101101010100011001111""",6.228469133377075
53,128.2439,"""010110001011110101101010100011001101""",6.077929735183716
54,128.2192,"""110110010011100000101110010011111100""",6.248866319656372
55,128.4583,"""111100100001011111010001101100000001""",6.279303789138794
56,128.1978,"""010110001011110101011010100011001111""",6.073068618774414
57,128.3312,"""110110100110110101001101011100110001""",6.319853067398071
58,128.2049,"""111100111001010101011010101001100101""",6.061978816986084
59,128.28570000000002,"""011100111001010101011101110110011010""",6.257939100265503
60,128.5135,"""110110001001000000001001100110011011""",6.080073595046997
61,128.4044,"""000011011110100100011001101100000011""",6.069897413253784
62,128.3676,"""011100111001010101011101110110011001""",6.294170618057251
63,127.65660000000001,"""010010001011100100011001100110011001""",6.058426141738892
64,127.3104,"""000010010110111111100110011001100100""",6.337667942047119
65,127.3391,"""110010001001000001001100110011001110""",6.283434629440308
66,127.003,"""000111011100010100011001100110001001""",6.125109672546387
