iter,exp_value,best_result,iter_time
0,139.202,"""100101111101110110001101111111100010""",7.720187425613403
1,139.0138,"""000101110010100001011001110100110001""",7.676981687545776
2,138.5393,"""010000101011101000111001101011111001""",7.818687677383423
3,138.62640000000002,"""001000100001000001110001010111010100""",7.876091480255127
4,138.1899,"""010010011001100001110100010110011111""",7.854659080505371
5,136.8142,"""111111100110010101010010000001111110""",7.639028310775757
6,136.988,"""011111110001001100100001010010001100""",7.795566082000732
7,136.4258,"""111101001110001100101101110100110001""",7.82219672203064
8,136.7502,"""000111100100100110101000001011000110""",7.829412221908569
9,136.1616,"""000111100100101010001110100101101010""",7.663931131362915
10,135.66830000000002,"""101011100011110011010010001000011111""",7.807230472564697
11,136.1071,"""111110110110100101000111011111100101""",7.69161319732666
12,135.9315,"""001011111100101101100111111110001110""",7.857156753540039
13,135.61780000000002,"""101011101100010011011011011010001111""",7.838732004165649
14,134.68710000000002,"""101101001100001111010010101010011010""",7.876791954040527
15,135.3358,"""000011101100110111000111001100001000""",7.66955828666687
16,134.8939,"""010111111001101100000100100101100100""",7.818825006484985
17,134.5663,"""011101010011011001000101110110000011""",7.820152282714844
18,134.5507,"""000111011001011011100010011001110000""",7.840820789337158
19,134.8411,"""100111111001101111101101100110000000""",7.647501468658447
20,134.71710000000002,"""100101110001110101011101101010000111""",7.817220449447632
21,134.13240000000002,"""100110010011011011100100001111011111""",7.670912027359009
22,134.3628,"""000110010011011111101110100100101010""",7.7936530113220215
23,134.4393,"""100111111011101000001000001111011001""",7.861713886260986
24,134.2004,"""111001101100010011100100010111011111""",7.845383167266846
25,133.9673,"""011001101100100101000110110011010101""",7.642598628997803
26,134.1628,"""011001101011110000001101001110000101""",7.836181640625
27,134.2281,"""000110010100100100001000111010000001""",7.835974216461182
28,133.5628,"""111000000001011010010110111100100101""",7.8286097049713135
29,133.92780000000002,"""011000001100100101100101101110000101""",7.636531829833984
30,133.7427,"""111000001100100101100110011010001111""",7.808665037155151
31,133.761,"""011000001011110000111100111011111101""",7.630715847015381
32,133.6545,"""110011011110100101101101101110000001""",7.866217851638794
33,133.1445,"""110011011110100101100100010110000010""",7.791989088058472
34,133.3854,"""011001110110111111000111001100100110""",7.824878931045532
35,133.4452,"""100110101100010101101001101110000001""",7.597682237625122
36,133.309,"""100110001011110000111010010001100110""",7.808193922042847
37,133.1636,"""100110001001000011000111001000101100""",7.83162260055542
38,133.86180000000002,"""110011111001000000110001000010100100""",7.844762802124023
39,133.5555,"""010011110110111101001110111101011011""",7.679670333862305
40,133.3786,"""110110001001000010001110111100110111""",7.861661434173584
41,133.5311,"""001100100011101001101101101110001000""",7.678053140640259
42,133.3432,"""110110001001000010001110011011000111""",7.815582513809204
43,133.6437,"""001001110011011010010111001000111011""",7.842036485671997
44,133.25300000000001,"""011100101100010111000011001101010101""",7.848098278045654
45,133.6022,"""010110000110001111000011000100101010""",7.610664129257202
46,133.7553,"""010110001100100101101000111010111010""",7.869967937469482
47,133.4707,"""101000011011110000111100111111111101""",7.8380820751190186
48,133.1942,"""110111100100001111000100011111010001""",7.810086965560913
49,132.865,"""010110000110001111000011000011111110""",7.685842275619507
50,133.151,"""110110000011011010010001000100111010""",7.841583490371704
51,132.6993,"""110101111100100101100011011000111010""",7.638832330703735
52,132.7969,"""010101001110100101110101100111110000""",7.878864765167236
53,132.9987,"""001000011011110001100100110001101110""",7.826196670532227
54,133.1796,"""110100011011110001001111001101010000""",7.833168983459473
55,132.8528,"""000001011011110001001111111010001101""",7.653306007385254
56,132.72990000000001,"""010101001110100100001010110100000000""",7.854108572006226
57,132.58350000000002,"""001010110001011011110101101100101000""",7.826555490493774
58,132.495,"""101010000011011101100101110010000111""",7.833400249481201
59,132.3168,"""000000101001000110110000100010100111""",7.657954216003418
60,132.00560000000002,"""010101111100010011100000001100010010""",7.878323554992676
61,131.6788,"""010101111100010011100000110111101000""",7.664111852645874
62,131.622,"""110101100100111000010100100010111100""",7.805573463439941
63,131.75900000000001,"""010000011011100100001110011001010111""",7.848601341247559
64,131.4121,"""011010011011000111101011111101100000""",7.815688610076904
65,131.64700000000002,"""101111010110011010111101001101100111""",7.609733581542969
66,131.4839,"""110000110011101101000010111100011000""",7.82906699180603
67,131.47570000000002,"""000101100110011010111101101000111101""",7.904835939407349
68,131.6611,"""100101100110011010111101000011001111""",7.847978353500366
69,132.1736,"""101110010001001111101000111101011000""",7.675944089889526
70,131.94,"""001111000110011010111101000011100110""",7.8485424518585205
71,132.30180000000001,"""100011010100111010111101011000111100""",7.6907641887664795
72,131.7747,"""110110010001101101000011101001010111""",7.840742349624634
73,131.7121,"""100101101110010010101001000011111111""",7.827836275100708
