iter,exp_value,best_result,iter_time
0,160.7809,"""010001011011110101100010011010000111""",9.5236234664917
1,160.8179,"""111110100101011001111100100011100000""",9.50670838356018
2,160.681,"""010001011010010011101110111001110001""",9.222611904144287
3,160.8324,"""101011100110110111011011001001100111""",9.461960792541504
4,160.8702,"""010101010000100001000111010111111100""",9.437769174575806
5,160.7871,"""000111110100010011100101000001010011""",9.486620903015137
6,161.2824,"""001000010111001011011111011010110111""",9.463393449783325
7,161.0649,"""100001010000010010100110100111111110""",9.51417088508606
8,160.7798,"""110110110110000110111001010001011011""",9.570850372314453
9,160.5583,"""011111111010110100001101111001111111""",9.550458192825317
10,160.5677,"""100000101001011111011101110110110011""",9.62580132484436
11,161.2264,"""011101000000011101101111100101101100""",9.665992498397827
12,160.8589,"""000110110100011011101100000101011110""",9.348169565200806
13,161.4812,"""000010010111100001001001010010111000""",9.569885015487671
14,161.072,"""101111010110000001001000111110000101""",9.469536304473877
15,160.8924,"""010011100010101010000101011001010111""",9.446778774261475
16,161.52120000000002,"""101101100111111111010011000101001000""",9.479188680648804
17,160.8463,"""110011110010101001111011000111001011""",9.531250715255737
18,161.1638,"""100110100010110101010011001001001010""",9.581626892089844
19,161.1348,"""111001100101010010000100001010111011""",9.614503145217896
20,161.3033,"""011100101001010010000111011000101010""",9.48818039894104
21,161.0469,"""001000001100000010000010111000110110""",9.464951276779175
22,160.99280000000002,"""100010100001111110000010001101000010""",9.315022468566895
23,160.77880000000002,"""110111111011000001001100001010111010""",9.53425407409668
24,161.24790000000002,"""001101001001001111100110111110000000""",9.570383071899414
25,161.4914,"""110111100000010001001100001110010011""",9.523032903671265
26,160.622,"""101101010011011111100110011000100101""",9.459682941436768
27,160.4609,"""001100110100110000110001001101010011""",9.441729068756104
28,160.7344,"""011111100011000101100000111100101011""",9.409457206726074
29,160.636,"""010000011011011010110011111001010011""",9.462247371673584
30,160.93720000000002,"""011010111001011100010111111010101001""",9.474480867385864
31,160.9541,"""101100111100011001111111100001111000""",9.574772596359253
32,160.8381,"""010000011010111111111101001011010110""",9.296160697937012
33,160.9169,"""001110100100100111100111000010111100""",9.437438726425171
34,160.8111,"""110111001100111100101010110000101011""",9.426060914993286
35,160.97410000000002,"""110000100100110001001101111110000101""",9.406304836273193
36,160.70430000000002,"""010000100100111101111111101110101011""",9.512195825576782
37,160.54070000000002,"""011100110001110111000000000110000001""",9.52048373222351
38,160.487,"""011100110011001010001100100111001011""",9.515461206436157
39,160.8263,"""010110011001110100011100000000111000""",9.42088270187378
40,161.86620000000002,"""001000110010000111000000011000000111""",9.417259693145752
41,161.27370000000002,"""101110011001100111101101111101001001""",9.548013925552368
42,160.874,"""011000110010011111101101100110111011""",9.30519700050354
43,161.2176,"""100101110000011100111111101101010000""",9.432957649230957
44,161.1621,"""000111101101111010101101110010010100""",9.469595909118652
45,160.7946,"""000001101000100000000111111010010001""",9.470043897628784
46,160.39350000000002,"""011100001100100101111110010001000101""",9.48179841041565
47,160.9692,"""011010010111011110001101111110001011""",9.478394508361816
48,160.6354,"""011111111010001011000011110001110101""",9.41194772720337
49,160.3974,"""010110001000110100110110010001101011""",9.496522903442383
50,159.69050000000001,"""111101010111010010100001101010010001""",9.525214672088623
51,160.1891,"""011100000111011110100110110110100010""",9.570245027542114
52,160.6397,"""011011111111001101000011010001110011""",9.273870706558228
53,160.1287,"""011110010010000111111100101001011010""",9.411478757858276
54,160.9317,"""100011101111101011100011110111101100""",9.49721384048462
55,160.3108,"""100101001110000000001000111011001001""",9.50236701965332
56,160.68120000000002,"""111111010100011001111110010100010011""",9.532773494720459
57,160.2346,"""111100101000000000101011100001100101""",9.528886079788208
58,159.5232,"""111100101011010101010100110001001111""",9.532521486282349
