iter,exp_value,best_result,iter_time
0,161.3368,"""100001111100101001110111111101101110""",6.076310873031616
1,160.8837,"""110011100101111010000111011101000100""",6.038174867630005
2,161.2243,"""011001001010110101001111100110011101""",6.2390241622924805
3,161.251,"""100110110101001100100011011000110111""",6.146148681640625
4,160.7605,"""100110010110001010110011111100110111""",6.2141945362091064
5,161.35070000000002,"""100111000010011101000100110011100011""",6.354043960571289
6,160.6644,"""100101010000011001100011000011000010""",6.145453691482544
7,160.9079,"""101101101000011101000011011101000111""",6.281484127044678
8,160.1969,"""101101100000011111101110001100011101""",6.143695831298828
9,159.79840000000002,"""001100100000011101010100100000110111""",6.277325630187988
10,159.4173,"""010011000010110011001001110011111001""",6.157307863235474
11,159.6622,"""000101010111100110100011011111001110""",6.084021329879761
12,159.6351,"""100110010111100110100010110011111000""",6.279460191726685
13,159.0547,"""110000001110011010101011011111001101""",6.1612420082092285
14,158.862,"""001111110010011101000100100110001111""",6.23857569694519
15,158.5035,"""000101101000001000000001110011011010""",6.36565089225769
16,158.79770000000002,"""010000111101011110101110001100111110""",6.0824134349823
17,157.9615,"""101111010111000100101011011001110000""",6.2811760902404785
18,158.2715,"""000101101000001011000001110011011010""",6.121342420578003
19,158.0881,"""011010110001001101111101001100111011""",6.2155444622039795
20,157.82770000000002,"""001111110010010001111110000000001011""",6.064901828765869
21,157.609,"""001111110010010000010100100110001111""",6.054892063140869
22,157.567,"""010000101000111010111110000110001010""",6.271118402481079
23,157.6938,"""001111001110100010110011010011011111""",6.052011251449585
24,157.64180000000002,"""000101001110100001101110000110001111""",6.242630481719971
25,157.2855,"""101111100100001001000100101100100101""",6.3460752964019775
26,157.8527,"""001010011011110111100101000010111110""",6.009379863739014
27,157.6254,"""101010011011110100011001111001111101""",6.291668891906738
28,157.1148,"""101010011010010000010101001000001101""",6.069120168685913
29,156.9207,"""100101100101101111101010110111100101""",6.23430061340332
30,156.8162,"""001111001111000101001101001000011011""",6.061843156814575
31,156.7451,"""101111001111000100010101001000011000""",6.0471131801605225
32,157.14020000000002,"""110101101100001101001111100010110000""",6.279330253601074
33,156.98690000000002,"""101111100011110010110000011101001101""",6.047920227050781
34,156.9892,"""111111101010111000010110100010011000""",6.293004035949707
35,157.11430000000001,"""111111101010111010010111100010011000""",6.2829976081848145
36,157.1694,"""110000011110000111101001011101010000""",6.043735027313232
37,156.9293,"""101111101011000000001111100010011001""",6.27208685874939
38,157.4367,"""101111101010111010010110001000000101""",6.08845329284668
39,157.09470000000002,"""110000010101000101101001110111001000""",6.246232509613037
40,157.11880000000002,"""010000010101000101101001110111001011""",6.095628023147583
41,157.0831,"""001111101011010010010110001000110010""",6.168853044509888
42,156.888,"""001110010101000100010110001010000010""",6.268977880477905
43,156.7721,"""110001101011011101101001110101010000""",6.072560548782349
44,157.3638,"""010001001110001011101001110101111010""",6.346257448196411
45,157.2439,"""110001100000010010010110001010011000""",6.313474655151367
46,157.4494,"""001111001010111000111100101100110111""",6.074946641921997
47,157.4204,"""110110101011011110010111001000110000""",6.282237529754639
48,157.58790000000002,"""001001010110001011000011011101111111""",6.111503601074219
49,157.8831,"""110100110100100001101000110111010101""",6.323115587234497
50,157.852,"""101011010001110100100011011111000101""",6.138314247131348
51,157.9987,"""000101111011011110000111001000101010""",6.142984867095947
52,158.10250000000002,"""100000010001110100101101100010000000""",6.204466104507446
53,157.8467,"""000001100010001011010010011101111111""",6.0602827072143555
54,157.9951,"""111010011101110101111100100000110000""",6.257492303848267
55,158.2725,"""110010101110001010000011011111000000""",6.286017417907715
