iter,exp_value,best_result,iter_time
0,208.8248291015625,"""1011111111110100010100000110000010000001110010001010""",2.3560733795166016
1,208.04856872558594,"""0001001010100001001011101110111001000001110010111110""",2.356268882751465
2,205.91920471191406,"""0100011111110100011110111011101100010100100111101110""",2.3535757064819336
3,203.61300659179688,"""1011100000001011100001000100000010000001110010111100""",2.3524560928344727
4,201.4414520263672,"""1100011111110100011110111011111100010100100111000001""",2.3519234657287598
5,199.53579711914062,"""1011101010100001001011101110101001000001110010010100""",2.3502399921417236
6,198.12095642089844,"""1001000000001011100001010001010111010100100111000001""",2.3517746925354004
7,196.8457489013672,"""0110111111110100010100010001010111010100100111101011""",2.3522350788116455
8,194.36244201660156,"""0001000001101110111110101110101010000001111101000011""",2.3533685207366943
9,196.89569091796875,"""0111000001101110111110101100101010101000010111101011""",2.3524022102355957
10,195.95504760742188,"""1111000001101110111110101100101010101000010111000001""",2.352552890777588
11,194.96054077148438,"""0000111111110100010100010011010101000010111101101011""",2.356738805770874
12,194.39041137695312,"""0101101011000100010100010011010101010111101000111001""",2.354318380355835
13,194.5646514892578,"""1010010100111011101011101100101010111101000010010011""",2.3540146350860596
14,193.8544921875,"""0111000001101110111110111001111111111101000010010110""",2.3519136905670166
15,193.6179656982422,"""1010010101011110111110111001111101111101000010010011""",2.355236053466797
16,192.82186889648438,"""0000111110010001000001000110000000000010111101101011""",2.362161636352539
17,192.35191345214844,"""0111000000001011101011101100101010111101000010010110""",2.353813648223877
18,191.8126220703125,"""1101101010100001000001000110000000101011010111000110""",2.3556737899780273
19,191.2296142578125,"""1101101010100001000001000110000001000010111101101110""",2.3557443618774414
20,190.49732971191406,"""1010010101011110111110111001111110111101000010010011""",2.3602428436279297
21,189.73048400878906,"""0111000000001011101010111001111110111101000010010110""",2.3567588329315186
22,188.94508361816406,"""1101101010100001000000010011000001000010111101101110""",2.352551221847534
23,188.15350341796875,"""1001000000001011101010111001111110111101000010010100""",2.351877450942993
24,187.36021423339844,"""0011101010100001000000010011000001000010111101101100""",2.3563547134399414
25,186.64999389648438,"""1110111111110100010101000110000001000010111101101001""",2.3532488346099854
26,186.08750915527344,"""1001000000001011101111011111011110111101000010010100""",2.3498456478118896
27,185.7113800048828,"""1011101010100001000101110101110100010111101000111011""",2.354302406311035
