iter,exp_value,best_result,iter_time
0,-548.1755,"""1011001110001100""",1.9471166133880615
1,-403.69280000000003,"""1100111011011001""",1.929755687713623
2,-173.6987,"""1100110110010010""",1.9630844593048096
3,-659.0304,"""1011001111000000""",1.9103515148162842
4,-672.1574,"""1011001110001100""",1.9422178268432617
5,-703.998,"""0011001000010100""",1.9051001071929932
6,-214.2509,"""1011001111001000""",1.913668155670166
7,-740.296,"""0011001111110001""",1.9306004047393799
8,-476.1646,"""1011000100000000""",1.9102747440338135
9,-608.8831,"""1100011001011011""",2.105207681655884
10,-1116.558,"""0001100100100110""",1.9235203266143799
11,-166.7081,"""0011001111110111""",1.9455878734588623
12,-607.1282,"""1100011001011011""",1.924328088760376
13,-447.3698,"""1100111100110011""",1.9238290786743164
14,-755.5690000000001,"""0011000100111111""",1.8976457118988037
15,-516.6431,"""1011001110001100""",1.9184114933013916
16,-244.46550000000002,"""0110011011000111""",1.9573242664337158
17,-546.0144,"""1011001110010010""",1.9227571487426758
18,-568.6621,"""1011001110001100""",1.906585693359375
19,-799.6681000000001,"""0011000100111111""",2.1368305683135986
20,-353.1229,"""1011000100100100""",1.9099414348602295
21,-305.6974,"""1011000100100100""",1.9605169296264648
22,-643.5311,"""1100111011011001""",1.9198219776153564
23,-562.9184,"""0110110110011010""",1.9109201431274414
24,-818.3727,"""1011001001101101""",1.917846918106079
25,-860.7679,"""0011000100111111""",1.9472529888153076
26,-895.0020000000001,"""0011000100111111""",1.9336414337158203
27,-413.3355,"""1011001110001100""",1.9608049392700195
28,-595.4714,"""0011000100111111""",1.9261138439178467
29,-945.811,"""0011000100111111""",2.106785297393799
30,-454.28220000000005,"""1011000100100100""",1.9145493507385254
31,-854.8544,"""0011000100111111""",1.9720633029937744
32,-881.6338000000001,"""1011000100100110""",1.9278581142425537
33,-808.3389000000001,"""0011000110101110""",1.9500010013580322
34,-812.0978,"""1100111011011001""",1.9396412372589111
35,-546.292,"""0011001111110111""",1.9331371784210205
36,-627.7074,"""0001100100111100""",1.9122133255004883
37,-851.2434000000001,"""1100111011011001""",1.9303443431854248
38,-951.5457,"""1011000100100110""",1.9310665130615234
39,-180.5129,"""1110011001000110""",2.119377374649048
40,-662.6893,"""1011001110001100""",1.9159183502197266
41,-438.24060000000003,"""1011000111100000""",1.9371592998504639
42,-747.5515,"""1011001110001100""",1.9485599994659424
43,-172.5849,"""0011001111111111""",1.9116110801696777
44,-968.2179000000001,"""0011000100111111""",1.9160094261169434
45,-436.803,"""1011000111100000""",1.9399092197418213
46,-707.3102,"""1011001110001100""",1.9057364463806152
47,-879.3875,"""0011000100111111""",1.9418575763702393
48,-636.0971000000001,"""0110011001010101""",1.9222886562347412
49,-991.9477,"""0011001000010100""",2.082726240158081
50,-893.2984,"""0011000100111111""",1.932267427444458
51,-893.0441000000001,"""0011000100111111""",1.9203660488128662
52,-991.7996,"""0011000100111111""",1.9116075038909912
53,-725.0828,"""1011000110001100""",1.915132761001587
54,-453.75690000000003,"""0011000111110111""",1.9018635749816895
55,-643.7825,"""0011000100111111""",1.9251646995544434
56,-405.53700000000003,"""1001100100111111""",1.9157111644744873
57,-891.4749,"""1011000100100111""",1.9016797542572021
58,-1012.234,"""1011000101000000""",1.9060943126678467
59,-488.0122,"""1001100100111111""",2.111006021499634
60,-997.8936,"""0011000100111111""",1.9336669445037842
61,-1012.5822000000001,"""1011000101000000""",1.9390792846679688
62,-766.8908,"""0011000100111111""",1.9308204650878906
63,-948.1285,"""0011000100111111""",1.9124362468719482
64,-1073.1452000000002,"""0011000100111111""",1.922734260559082
65,-418.7151,"""0011000110010011""",1.9238524436950684
66,-97.6639,"""0011000111110111""",1.9399142265319824
67,-767.8787,"""0011001111110111""",1.9117820262908936
68,-891.6656,"""0011000100111111""",1.9082598686218262
69,-1078.4751,"""0011000100111111""",2.149223804473877
70,-638.5093,"""1011001111000000""",1.935286045074463
71,-1088.1307000000002,"""0011000100111111""",1.9581561088562012
72,-651.1851,"""0011000100111111""",1.9300885200500488
73,-983.8282,"""0011000100111111""",1.926954984664917
74,-1214.182,"""0011000100111111""",1.9092686176300049
75,-738.2610000000001,"""0011000100111111""",1.9308886528015137
76,-895.8342,"""0011001111110111""",1.9152610301971436
77,-845.4811000000001,"""0011001111110111""",1.9029641151428223
78,-890.9091000000001,"""0011000100111111""",1.9019050598144531
79,-1058.0941,"""0011000100111111""",2.091803789138794
80,-1078.838,"""1011000100101100""",1.937925100326538
81,-1069.3172,"""0011000100111111""",1.947768211364746
82,-367.726,"""0110011011001101""",1.9358375072479248
83,-947.6684,"""0011000100111111""",1.9132497310638428
84,-934.6649,"""0011000100111111""",1.9251255989074707
85,-962.8324,"""0011000100111111""",1.9071156978607178
86,-1016.3395,"""0011000100111111""",1.9197187423706055
87,-959.8570000000001,"""0011000100111111""",1.9276301860809326
88,-695.8601,"""0001100011000110""",1.937002182006836
89,-972.3787000000001,"""0011000100111111""",2.099121570587158
90,-968.1817000000001,"""0001100001100100""",1.9896819591522217
91,-1019.9339,"""0011000100111111""",1.9514188766479492
92,-1006.6460000000001,"""0011001111110111""",1.9227714538574219
93,-949.2257000000001,"""0011000100111111""",1.9127161502838135
94,-955.9566000000001,"""0011000100111111""",1.9194612503051758
95,-994.9558000000001,"""0011001111110111""",1.9226861000061035
96,-1020.8062000000001,"""0011000100111111""",1.9180023670196533
97,-1041.5313,"""0011001111110111""",1.92911958694458
98,-1131.9039,"""0011000100111111""",1.9050393104553223
99,-1029.8973,"""0001100011000110""",2.108780860900879
