iter,exp_value,best_result,iter_time
0,-105.47335052490234,"""0011001111010001""",1.4320056438446045
1,-205.38653564453125,"""0100011110000111""",1.4429101943969727
2,-192.6325225830078,"""1100011001010101""",1.4472086429595947
3,-203.94947814941406,"""1100011001010101""",1.4581999778747559
4,-136.07867431640625,"""1100011001011001""",1.4596803188323975
5,-189.4712677001953,"""1100011100101110""",1.4291529655456543
6,-153.7849884033203,"""1100110110010010""",1.4521911144256592
7,-154.1892852783203,"""0111001001101010""",1.4637587070465088
8,-148.53091430664062,"""1100011001011001""",1.4320263862609863
9,-119.71124267578125,"""1100011100100110""",1.43373441696167
10,-114.6650619506836,"""1011001001101111""",1.4326603412628174
11,-152.72140502929688,"""1100011001011011""",1.4356412887573242
12,-147.3776397705078,"""1011001001101100""",1.440826177597046
13,-134.77239990234375,"""0011001111110111""",1.4384803771972656
14,-215.15335083007812,"""1011000111100000""",1.4503419399261475
15,-159.64979553222656,"""1011001001101101""",1.451958417892456
16,-219.5682830810547,"""0011100011110111""",1.4477663040161133
17,-276.8225402832031,"""1011001110001100""",1.4469420909881592
18,-231.7693328857422,"""0011100011110111""",1.43619966506958
19,-176.4727783203125,"""1100011001011101""",1.4310951232910156
20,-266.7160339355469,"""1011000111100000""",1.4311513900756836
21,-353.19952392578125,"""0011001111110001""",1.4317810535430908
22,-296.01177978515625,"""0011001110001111""",1.4269447326660156
23,-216.517333984375,"""1011001110001100""",1.4338557720184326
24,-240.91683959960938,"""0011100011110111""",1.439253807067871
25,-244.96273803710938,"""0011100011110111""",1.4344956874847412
26,-197.01226806640625,"""1100011001011101""",1.4202721118927002
27,-245.20733642578125,"""0011001011001110""",1.4198763370513916
28,-242.38665771484375,"""1110011001000110""",1.421175241470337
29,-184.96945190429688,"""0001100100111100""",1.4197509288787842
30,-185.47027587890625,"""0100110000001010""",1.4161384105682373
31,-263.5118103027344,"""1100011001010101""",1.4283418655395508
32,-232.78939819335938,"""1011001001100110""",1.4314899444580078
33,-248.3555450439453,"""1100011001010101""",1.4227595329284668
34,-270.846923828125,"""0011001011001110""",1.4317843914031982
35,-285.4385070800781,"""0011100110010011""",1.4244177341461182
36,-309.12841796875,"""1100011000010101""",1.4246671199798584
37,-276.7620849609375,"""0001100110010010""",1.427332878112793
38,-267.42584228515625,"""0011001001110100""",1.4173431396484375
