iter,exp_value,best_result,iter_time
0,-161.93643188476562,"""1010011000111101""",1.4444410800933838
1,-305.84765625,"""0010001000010101""",1.4589598178863525
2,-261.8392639160156,"""0101100001110001""",1.4454796314239502
3,-14.659255981445312,"""0101100001110000""",1.4454660415649414
4,-213.51766967773438,"""0101100000101101""",1.415661096572876
5,-124.48133087158203,"""0010001000010100""",1.4331607818603516
6,-136.33419799804688,"""1101100000101001""",1.448030710220337
7,-97.27400970458984,"""1010011000111101""",1.43233323097229
8,2.0544567108154297,"""0010011110000011""",1.435912847518921
9,-91.37041473388672,"""1101100000110010""",1.4475438594818115
10,-161.96890258789062,"""0101100000010101""",1.4427764415740967
11,-240.6845703125,"""1010001000101100""",1.4475913047790527
12,-163.052490234375,"""0010001000010100""",1.4290473461151123
13,-149.12210083007812,"""0101100000010111""",1.4245331287384033
14,-126.97795867919922,"""0101100000010111""",1.440567970275879
15,-196.5107421875,"""1010011100011111""",1.4438862800598145
16,-169.28794860839844,"""0101100001110001""",1.4369142055511475
17,-229.4901123046875,"""0101100001110001""",1.4423105716705322
18,-225.55819702148438,"""0101100001110000""",1.431643009185791
19,-166.0597686767578,"""0010011110000100""",1.4355196952819824
20,-14.522468566894531,"""0101100001110000""",1.4308416843414307
21,-141.47828674316406,"""0010011110001000""",1.4294190406799316
22,-258.87200927734375,"""0101100001110001""",1.438188076019287
23,-161.04623413085938,"""1101101010001000""",1.4287805557250977
24,-171.35540771484375,"""0101110111001101""",1.4357030391693115
25,-280.86114501953125,"""0101100001110001""",1.4346649646759033
26,-196.79534912109375,"""1101101000111011""",1.4374287128448486
27,-526.171630859375,"""1010011110001011""",1.4365782737731934
28,-88.62092590332031,"""0101110111100110""",1.4226493835449219
29,-278.3713684082031,"""0010011110001000""",1.4209818840026855
30,-317.137451171875,"""0010011110001111""",1.4151318073272705
31,-325.438232421875,"""0101100001110001""",1.4197800159454346
32,-307.34954833984375,"""1101100000101110""",1.4182353019714355
33,-265.55517578125,"""1010001000110011""",1.4257421493530273
34,-231.2423095703125,"""1010011000111110""",1.4261763095855713
35,-223.68423461914062,"""1101101010001000""",1.4159152507781982
36,-222.68453979492188,"""0010011110000100""",1.423203945159912
37,-200.82615661621094,"""0010011110001111""",1.4394135475158691
38,-167.022216796875,"""1101100001110000""",1.4241442680358887
39,-170.91232299804688,"""0101100001110001""",1.4259934425354004
40,-321.98468017578125,"""1101100011010101""",1.4252259731292725
41,-287.37042236328125,"""1010011110001101""",1.4169964790344238
42,-234.68084716796875,"""0101100001110001""",1.418546438217163
43,-245.9718017578125,"""0101100001110001""",1.416177749633789
44,-272.8447265625,"""1010011100011111""",1.4153079986572266
45,-377.1646423339844,"""0010011110001111""",1.4317328929901123
46,30.102127075195312,"""0010011110001110""",1.4309427738189697
47,-276.1940612792969,"""1010001000110011""",1.4284617900848389
48,-341.1188049316406,"""1101100011010101""",1.4232072830200195
49,-399.2905578613281,"""1010011111001100""",1.423283576965332
50,-221.64288330078125,"""1010011111101110""",1.4236502647399902
51,-358.39398193359375,"""1010011111011011""",1.419954776763916
52,-245.88902282714844,"""1010011000111101""",1.4328100681304932
53,-289.77337646484375,"""0101100000000111""",1.4214012622833252
54,-179.81301879882812,"""0101100001110001""",1.4232518672943115
55,-439.5477294921875,"""1010011111001100""",1.431983232498169
56,-166.94578552246094,"""0101100000010111""",1.4404077529907227
57,-182.01536560058594,"""0010011110001111""",1.4405913352966309
58,-359.28729248046875,"""1101100011010101""",1.4383220672607422
59,-346.3812561035156,"""0101100001110001""",1.4366343021392822
60,-416.5956115722656,"""0010011110001110""",1.4412033557891846
61,-238.805908203125,"""0101100001110001""",1.4284512996673584
62,-369.29608154296875,"""1010001000110011""",1.4293298721313477
63,-194.12661743164062,"""1101100011010010""",1.428339958190918
64,-278.68499755859375,"""1010001110011100""",1.4290692806243896
65,-448.18023681640625,"""1010011111001100""",1.430586814880371
66,-421.03399658203125,"""0101100000110110""",1.4438457489013672
67,-267.9607849121094,"""1010001000010001""",1.4305124282836914
68,-353.0465393066406,"""1010011100101011""",1.4430451393127441
69,-337.4217834472656,"""1010011100101011""",1.4321556091308594
70,-202.42901611328125,"""1101100011010010""",1.4348974227905273
71,-410.96209716796875,"""0101100011100110""",1.4300200939178467
72,-371.1948547363281,"""0101100001110001""",1.4312095642089844
73,-456.51800537109375,"""1010011111001100""",1.4315099716186523
74,-273.3232116699219,"""1101100011010101""",1.4399609565734863
75,-361.57147216796875,"""1101100011010101""",1.4266772270202637
