iter,exp_value,best_result,iter_time
0,22602.140625,"""0110100111111111110001100010100101001111001101000""",4.781660079956055
1,-21644.609375,"""0001011000000000001111100010100101001100110010110""",4.793499946594238
2,-55964.24609375,"""0001011000001000001111100010100101001100110010110""",4.786405801773071
3,-88325.890625,"""0001011000001000001111100011011010110011001101000""",4.788538217544556
4,-120832.875,"""0001011000001000001111101100100101001100110010110""",4.78680419921875
5,-154435.203125,"""1001011000110111110000010011011010110011001101001""",4.787811517715454
6,-189809.265625,"""0001010111001000001111101100100101001100111101010""",4.7876811027526855
7,-224975.03125,"""0001010111001000001111101100100101001100111101010""",4.787654399871826
8,-256240.03125,"""0001010111001000001111101100100101001100111101010""",4.787172555923462
9,-282447.1875,"""1000101000110000001111101100100101001100111101001""",4.7891926765441895
10,-304056.8125,"""1000101011001111110000010011011010110011000010101""",4.788193225860596
11,-321314.03125,"""1000101011001111110000010011011010110011000010101""",4.789552927017212
12,-335187.1875,"""1000101011001111110000010011011010110011000101001""",4.787077188491821
13,-348799.1875,"""1000101011001111110000010011011010110011000101001""",4.7925190925598145
14,-362653.0,"""0000101010110000001111101100100101001100111010110""",4.786783456802368
15,-377300.3125,"""1000101010110000001111101100100101001100111010101""",4.78859281539917
16,-393159.375,"""1000101010110000001111101100100101001100111010101""",4.786261320114136
17,-410343.15625,"""0000101010110000001111101100100101001100111010110""",4.7890846729278564
18,-428975.5,"""0000101001001111110000010011011010110011000101010""",4.787353515625
19,-447476.09375,"""0000101001001111110000010011011010110011000101010""",4.7884368896484375
20,-464103.34375,"""0000101001001111110000010011011010110011000101010""",4.787519693374634
21,-478721.5625,"""0000101001001111110000010011011010110011000101010""",4.789718151092529
22,-492065.875,"""0000101001001111110000010011011010110011000101010""",4.788312196731567
23,-503164.25,"""1000101000110000001111101100100101001100111010101""",4.788682460784912
24,-512174.5,"""1000101000110000001111101100100101001100111010101""",4.7860987186431885
25,-519558.875,"""1000101000110000001111101100100101001100111010101""",4.790096759796143
26,-525900.875,"""0000101000101111110000010011011010110011000101010""",4.788178443908691
27,-531705.25,"""0000101000101111110000010011011010110011000101010""",4.789324522018433
28,-537365.0,"""0000101000101111110000010011011010110011000101010""",4.786930561065674
29,-543070.5625,"""0000101000101111110000010011011010110011000101010""",4.788898468017578
30,-548971.875,"""0000101000101111110000010011011010110011000101010""",4.7867045402526855
31,-555019.25,"""0000101000101111110000010011011010110011000101010""",4.791474342346191
32,-560850.5,"""0000101000101111110000010011011010110011000101010""",4.787564754486084
33,-566533.0625,"""0000101000101111110000010011011010110011000101010""",4.78821063041687
34,-572199.0,"""0000101000101111110000010011011010110011000101010""",4.7872374057769775
35,-577727.25,"""1000101000101000001111101100100101001100111010101""",4.786531209945679
36,-583517.4375,"""0000101000010111110000010011011010110011000101010""",4.788732290267944
37,-589859.25,"""0000101000010111110000010011011010110011000101010""",4.787712335586548
38,-597184.9375,"""0000101000010111110000010011011010110011000101010""",4.791231393814087
39,-606609.375,"""0000101000010111110000010011011010110011000101010""",4.787970542907715
40,-619928.875,"""0000101000010111110000010011011010110011000101010""",4.790011644363403
41,-636986.25,"""0000101000010111110000010011011010110011000101010""",4.79053258895874
42,-656190.125,"""0000101000010111110000010011011010110011000101010""",4.786938190460205
43,-678435.5625,"""0000101000010111110000010011011010110011000101010""",4.790913105010986
44,-694366.6875,"""0000101000010111110000010011011010110011000101010""",4.788294792175293
45,-706921.75,"""0000101000010111110000010011011010110011000101010""",4.78688645362854
46,-711840.9375,"""0000101000010111110000010011011010110011000101010""",4.791244268417358
47,-719068.6875,"""0000101000010111110000010011011010110011000101010""",4.788808584213257
48,-726478.25,"""0000101000010111110000010011011010110011000101010""",4.789726972579956
49,-729106.0,"""0000101000010111110000010011011010110011000101010""",4.787692070007324
50,-730832.8125,"""0000101000010111110000010011011010110011000101010""",4.793039083480835
51,-729210.9375,"""0000101000010111110000010011011010110011000101010""",4.790739297866821
52,-730364.0625,"""0000101000010111110000010011011010110011000101010""",4.78981876373291
53,-732209.375,"""0000101000010111110000010011011010110011000101010""",4.791273832321167
54,-733720.5625,"""0000101000010111110000010011011010110011000101010""",4.787024021148682
55,-734889.6875,"""0000101000010111110000010011011010110011000101010""",4.789108514785767
56,-734862.5,"""0000101000010111110000010011011010110011000101010""",4.7876927852630615
57,-733558.625,"""0000101000010111110000010011011010110011000101010""",4.789243698120117
58,-734650.875,"""0000101000010111110000010011011010110011000101010""",4.788211107254028
59,-735928.5,"""0000101000010111110000010011011010110011000101010""",4.788868188858032
60,-736335.75,"""0000101000010111110000010011011010110011000101010""",4.787065744400024
61,-736387.9375,"""0000101000010111110000010011011010110011000101010""",4.790608644485474
