iter,exp_value,best_result,iter_time
0,-12956.4531,"""0100011101010100110001110011010100001000110100100""",8.229145526885986
1,-14382.938600000001,"""0001001011101001111011110011010100011001100100100""",8.28112244606018
2,-20466.8957,"""0110110100001010000100001100101010111101100100100""",8.493561744689941
3,-26105.174000000003,"""0110110100001110011011110011010110010011001110001""",8.41546630859375
4,-26074.0952,"""0110110100001110011011011001111100111001100100100""",8.416882514953613
5,-23877.099400000003,"""1101001011110001100011110011010110010011001001110""",8.171638250350952
6,-32651.033600000002,"""0111001110100100110110100110000000010100110111110""",8.298846960067749
7,-29611.2003,"""0000110001011011001001011000000010010100100010101""",8.347899913787842
8,-31924.272800000002,"""1001001101111001100011100101010010111110001111110""",8.221232175827026
9,-28545.093,"""1100011000101100110110110000000111101011011011000""",8.402996063232422
10,-29602.1173,"""0110110010000110011101110010101101000001110111110""",8.44504189491272
11,-28293.8544,"""0110111111110011001000100110101101000001101011000""",8.282084465026855
12,-29151.898100000002,"""1011101010100100110111000110101101000001101111000""",8.40542483329773
13,-27885.4985,"""1110100101111001100010010011111000010100111100001""",8.34514570236206
14,-27907.4591,"""0110100101111001100010010011010010111110010000001""",8.492454290390015
15,-28987.8696,"""1110101000101100110111001111111001000001101111110""",8.242517948150635
16,-25949.5724,"""0100000010000110011101100101010011101011000011110""",8.375137329101562
17,-20544.659200000002,"""1100110000100100110111000110000110010110010111110""",8.420389652252197
18,-21612.7042,"""1001100101110001100010010011010011000011000010111""",8.165263414382935
19,-22026.6071,"""0110011010001110011101101100110011110001101000001""",8.334006786346436
20,-19910.3241,"""0111111101011011001000111001100110100111110111000""",8.433561325073242
21,-20791.3481,"""0101010111110001100010010011001100001101011101011""",8.424500703811646
22,-22264.2779,"""0101010111001011001001101100110011110010100010010""",8.465429782867432
23,-24087.3995,"""1101010111001011001100000110011001011000001001000""",8.420511722564697
24,-25228.7035,"""0101010111001011001100111001100110100011110110111""",8.358693361282349
25,-28187.0458,"""0101010111001011001100111001100110101001101001011""",8.103230237960815
26,-29288.9471,"""1101010111001011001110010011001100000011001101101""",8.357346773147583
27,-31476.2782,"""0011001110110101110001101100110011111100110011110""",8.47130537033081
28,-32370.752500000002,"""0100110001001010001110010011001101110101101010010""",8.26695966720581
29,-34244.8052,"""1110011011100000100100111001100111011100001011110""",8.488937139511108
30,-35486.2384,"""0011001110110101110001101100110010001010010000111""",8.415270805358887
