iter,exp_value,best_result,iter_time
0,460.2456,"""1100000010011110011010101""",1.7154738903045654
1,-2525.4231,"""0011010110011110001111111""",1.7200548648834229
2,-4293.4276,"""1011010110011110001111000""",1.7145397663116455
3,-5150.7092,"""1011010110011110001111000""",1.7124600410461426
4,-6538.3675,"""0001010110010001100101001""",1.6978223323822021
5,-7200.1161,"""0110000011000101100101110""",1.7104341983795166
6,-7498.8903,"""0110000011000101100101110""",1.6949305534362793
7,-7629.089800000001,"""1001111100010000110000100""",1.6978075504302979
8,-7595.6481,"""0110000011101111001101110""",1.6981840133666992
9,-8615.2629,"""1001111100010000110011000""",1.8663020133972168
10,-9779.4969,"""1110000110111010011000111""",1.698324203491211
11,-10445.691700000001,"""0001111001000101100111011""",1.7266855239868164
12,-10844.1134,"""1110000110111101100110001""",1.720548152923584
13,-10891.1944,"""1110000110111101100110001""",1.705834150314331
14,-11488.1812,"""0001111001000010110011011""",1.7048182487487793
15,-11763.004200000001,"""0001111001000010011001100""",1.7093493938446045
16,-11962.4973,"""0011010011101000011001100""",1.7031645774841309
17,-11557.980800000001,"""0011010011101000110011000""",1.7022042274475098
18,-11583.142300000001,"""0010001100010010011001101""",1.8824565410614014
19,-11893.922700000001,"""0101110011101101100111000""",1.7015695571899414
20,-11850.6075,"""0101110011101000110010000""",1.7043299674987793
21,-11945.298700000001,"""0101110011101000110010000""",1.7261266708374023
22,-12099.4828,"""0101110011101000110010000""",1.7172696590423584
23,-11980.7844,"""0101110010111101100111000""",1.7208244800567627
24,-11980.361700000001,"""0101110010111101001010000""",1.715932846069336
25,-12260.1191,"""0010001101001101001101101""",1.7041137218475342
26,-12325.2252,"""0101110001001101100011000""",1.7077972888946533
27,-12528.0404,"""0010001110110010011101101""",1.703535795211792
28,-13146.001100000001,"""0010001110110010011100101""",1.8800992965698242
29,-13397.3214,"""0011011011100111001001100""",1.7027459144592285
30,-13635.646900000002,"""1100100100011000110100110""",1.7107880115509033
31,-14170.4297,"""1011011011100111001011001""",1.7298119068145752
32,-14272.5308,"""0100100100011000110100111""",1.722959280014038
33,-14494.6898,"""0100110001001000110100111""",1.7206227779388428
34,-15312.1939,"""0011001110110111001011000""",1.7119688987731934
35,-15315.4331,"""0011001110100111001011000""",1.7148935794830322
36,-15523.0599,"""0011001110100111001011000""",1.72402024269104
37,-15979.973100000001,"""1110011011110010011110011""",1.7182769775390625
38,-16117.590900000001,"""1110011011110010011110011""",1.8823091983795166
39,-16397.4962,"""1110010001011000110100111""",1.7053568363189697
40,-16854.0549,"""1110010001011000011110011""",1.7083930969238281
