iter,exp_value,best_result,iter_time
0,-3589.4167,"""0100100010111101100110001""",2.677867889404297
1,-5249.0793,"""1100101101000000110110010""",2.6665399074554443
2,-5524.360500000001,"""0110110111101010011001101""",2.6562068462371826
3,-6094.996700000001,"""0100011101000010011100111""",2.648256778717041
4,-6575.7785,"""0011011101000010100110010""",2.6569366455078125
5,-6122.3289,"""1110001000110111001100100""",2.644765853881836
6,-7712.9328000000005,"""1001110111001000110011011""",2.818410873413086
7,-6995.1902,"""1100101101111000001110001""",2.6261978149414062
8,-7401.951,"""0110000110011001011011011""",2.6354918479919434
9,-8237.568000000001,"""1110000110011101011011011""",2.6489646434783936
10,-8369.1563,"""1110000110011101011011011""",2.6335136890411377
11,-9298.4856,"""1100101100101101100110001""",2.6615512371063232
12,-10027.288400000001,"""1011010011010010011001101""",2.643573045730591
13,-10200.3938,"""0110000110000111001101011""",2.6628782749176025
14,-10191.537100000001,"""0011010011010010011000011""",2.6525068283081055
15,-9682.4789,"""1110000110000111001110010""",2.650977611541748
16,-9880.547400000001,"""1100101100101101100100101""",2.8194994926452637
17,-10665.6833,"""1110000110000111001110010""",2.647075653076172
18,-11640.6443,"""1001111001111000110001101""",2.656254291534424
19,-12565.3669,"""1100101100011101100100111""",2.648958444595337
20,-12366.1885,"""1100100110110111001101101""",2.642368793487549
21,-13293.8904,"""1100100110110111001101101""",2.6771116256713867
22,-13469.750900000001,"""1100100110101101100100111""",2.6519126892089844
23,-13502.8798,"""1001110011111000110001101""",2.6581456661224365
24,-13485.3273,"""0100100110101101100111001""",2.6464333534240723
25,-13580.528600000001,"""0100100110101101100111001""",2.6531059741973877
26,-13710.630000000001,"""0100100110101101100111001""",2.815220594406128
27,-12654.318000000001,"""1101110000101101100100110""",2.644481658935547
28,-12956.538,"""0001110000101101100100111""",2.633146286010742
29,-12860.0111,"""0100100101101101100111001""",2.657846689224243
30,-11993.019,"""1001110000111000110011000""",2.6378002166748047
31,-11769.0283,"""0011011010010010011011001""",2.658318281173706
32,-10975.6134,"""0110001111000111001110010""",2.6447103023529053
33,-11051.294600000001,"""1100100101100011001110011""",2.6571457386016846
