iter,exp_value,best_result,iter_time
0,-511.471435546875,"""0100110011100101110001011""",7.019165754318237
1,-979.2606811523438,"""1011001100011001011101110""",7.0287394523620605
2,-1759.915771484375,"""0001100011010011110111011""",7.009887218475342
3,-2852.27099609375,"""1011001100011001011110011""",6.9865148067474365
4,-3620.439453125,"""1011000011100111001110011""",6.954836368560791
5,-5242.5966796875,"""1001101100100110011100110""",6.937790870666504
6,-6946.48876953125,"""0001101001111000011010001""",6.918106317520142
7,-8618.04296875,"""1001110011100111100011100""",6.926717042922974
8,-10851.4921875,"""1001100110110010110101100""",6.940458059310913
9,-12418.830078125,"""0011111001111000011100100""",6.944780111312866
10,-12398.8994140625,"""0110101100011000100100110""",6.966884136199951
11,-13484.76953125,"""1011111001001101110010011""",6.968797445297241
12,-16119.53125,"""0001010011011000011100011""",6.969973087310791
13,-16337.09375,"""1001010011010010110101100""",7.009378910064697
14,-20523.41796875,"""0110010011010010110101100""",7.01518702507019
15,-24323.8046875,"""1001010011010010110101100""",7.036559104919434
16,-29365.69921875,"""0011010110010010110101100""",6.999157667160034
17,-35789.5078125,"""1001100011000111110000110""",6.990632057189941
18,-37971.84375,"""1001110011010010110101100""",6.98661208152771
19,-42003.3046875,"""1011001100011001001000011""",6.963841915130615
20,-44745.796875,"""1110111001011001001000011""",6.920340299606323
21,-47737.0859375,"""0001111100011001011000011""",6.951456546783447
22,-48000.63671875,"""1011001100011001001000011""",6.939112186431885
23,-49647.24609375,"""0001111001011001011000011""",6.978720664978027
24,-51823.0546875,"""1011001100011001011000011""",6.985462665557861
25,-52143.9375,"""0011010110000111110000110""",6.9913249015808105
26,-52066.4296875,"""1001100011000111100000110""",6.834405183792114
27,-51772.71875,"""1001100011000111110000110""",6.817655324935913
28,-52411.40625,"""0001111001011001011000011""",6.969143629074097
29,-55578.21875,"""1011001100011001001001001""",6.9788758754730225
30,-54909.8203125,"""0001111100011001011001001""",6.97570538520813
31,-53926.140625,"""0011010110000111110000110""",6.973459720611572
32,-53992.15234375,"""1011001100011001011000011""",6.958606719970703
33,-56679.875,"""0001111001011001011000011""",6.980388402938843
34,-54450.0390625,"""1110011001001100001101001""",7.000852823257446
