iter,exp_value,best_result,iter_time
0,-111.89976501464844,"""1010111010100011011000111""",7.026154041290283
1,-165.44378662109375,"""0011101001011100001101110""",7.046229124069214
2,-686.954345703125,"""0011010000110010100111000""",7.007289409637451
3,-800.2149047851562,"""0011010000110101011001111""",6.994149446487427
4,-1386.835693359375,"""1110000101100111110011000""",6.955248117446899
5,-1921.078857421875,"""0100101111011100001100110""",6.936561346054077
6,-2828.027587890625,"""1011010000100010010010001""",6.916620969772339
7,-3639.181396484375,"""0001111010001000110010001""",6.917125940322876
8,-4483.93115234375,"""0001111011001000100110001""",6.937353610992432
9,-5132.82275390625,"""0001111011001101110010011""",6.940472364425659
10,-6338.2802734375,"""0011010001100010001101100""",6.93877100944519
11,-6073.1875,"""0100101110001001000111011""",6.943902969360352
12,-7751.93505859375,"""1110010011100011110011010""",6.9382922649383545
13,-10285.763671875,"""1100111001001100001100101""",6.957604169845581
14,-10754.3564453125,"""1100101110100110001100110""",6.8789963722229
15,-12039.986328125,"""0110001100011011110011011""",6.986139535903931
16,-13724.5810546875,"""1001110011110001011001110""",6.9774696826934814
17,-16017.82421875,"""0001110011110001011001110""",6.963494539260864
18,-18620.69921875,"""0001110011110001011001110""",6.963757514953613
19,-19503.693359375,"""0011011001011101110010010""",6.96308708190918
20,-21350.91015625,"""0001110011011000100111000""",6.972534894943237
21,-23426.19921875,"""0011011001100100001101110""",6.9692604541778564
22,-24861.37890625,"""1001110011011000100111010""",6.962470769882202
23,-25001.615234375,"""0011000111011110100110010""",6.9635443687438965
24,-28791.23046875,"""0100100111011101110010010""",6.963277578353882
25,-29785.427734375,"""0100111001100111011001110""",6.9995787143707275
26,-32156.5703125,"""1011011001100100001101100""",6.986708879470825
27,-33107.7890625,"""1001101101110100001101110""",6.9839324951171875
28,-33810.00390625,"""0011000110001101110010000""",6.958966255187988
29,-36725.015625,"""0001101101110101011001100""",6.9638447761535645
30,-33886.65234375,"""1110001100100101011001100""",6.961501836776733
31,-40559.6328125,"""0110001100110000001100100""",6.969466686248779
32,-40023.265625,"""1001110011001101110010010""",6.948815584182739
33,-39560.9453125,"""0110001100110001011000100""",6.957830429077148
34,-37190.625,"""1001110011001101110010000""",6.961587190628052
35,-40582.671875,"""1001110011001100100111000""",6.988222122192383
36,-40445.375,"""1110010011001100100111010""",6.995450496673584
37,-42906.0859375,"""0110010011001100100110000""",6.992861032485962
38,-44926.2265625,"""1100111001100100001101110""",6.989750385284424
