iter,exp_value,best_result,iter_time
0,-1582.8123,"""1101101110100001001000011""",2.6673500537872314
1,-1354.1245000000001,"""0000111011110100110110010""",2.659860849380493
2,-2200.9052,"""1101101110100001100011000""",2.6511898040771484
3,-2578.8537,"""1111000100000100100010110""",2.643324613571167
4,-2599.3695000000002,"""0010010010000111001001111""",2.647763252258301
5,-3905.8427,"""0101101101111101100011010""",2.628875970840454
6,-6156.335800000001,"""0111000111111101011000111""",2.8380448818206787
7,-7466.722900000001,"""1101101101010111110010011""",2.6260626316070557
8,-7665.452,"""1011000111101001100010110""",2.639472723007202
9,-8342.7911,"""0100111000010110011101100""",2.630730628967285
10,-8662.027600000001,"""0100111000011001100011010""",2.6531550884246826
11,-8604.322100000001,"""1100111000011100110111101""",2.668672561645508
12,-9131.5884,"""1100111000011100110111000""",2.658428430557251
13,-9057.0562,"""1100111000011100110110000""",2.649351119995117
14,-9231.0321,"""0110010010110110011100111""",2.6674861907958984
15,-8672.9136,"""0100111000011100110110010""",2.6436681747436523
16,-8123.2977,"""0110011100110110011101110""",2.8169703483581543
17,-8136.8089,"""1100110110011100110111101""",2.6501190662384033
18,-8618.0425,"""1011001001010010101101101""",2.6666767597198486
19,-9043.5328,"""0110011110011100110111011""",2.6537046432495117
20,-8658.6399,"""1011001011001000110111000""",2.64376163482666
21,-8524.1037,"""1011001011001000110111000""",2.682471513748169
22,-8990.5881,"""1001101101001000110111000""",2.68984317779541
23,-8689.2606,"""1110010010101101010010011""",2.6587486267089844
24,-8980.8752,"""1011000111111000011101101""",2.65689754486084
25,-9041.8984,"""1011000111111000101101101""",2.6458427906036377
26,-9030.4069,"""1110010010100111100001011""",2.8181023597717285
27,-9602.7445,"""1110010010110110011111011""",2.6467678546905518
28,-9244.5277,"""1110010010110110011111000""",2.6317594051361084
29,-9145.6561,"""0100111000100011001010011""",2.6347970962524414
30,-9822.0962,"""1001101100011100110100010""",2.6366682052612305
31,-10062.956600000001,"""1100111000100011001011100""",2.6701085567474365
32,-10184.115,"""0100111000100011001010011""",2.6370558738708496
33,-10547.020900000001,"""1001101101111011001011000""",2.6404426097869873
34,-11337.460200000001,"""1100111000101110011101100""",2.651571035385132
35,-11552.1016,"""1110010010000100110100111""",2.634066343307495
36,-11573.8595,"""1100111000101110011101100""",2.803401470184326
37,-11476.034800000001,"""0110010010011011001011000""",2.631704568862915
38,-11330.760900000001,"""0100111000110001100010011""",2.634631872177124
39,-11874.386700000001,"""0100111000110001100010011""",2.635498523712158
40,-12336.339300000001,"""0100110100011100011110011""",2.630558729171753
41,-12964.5467,"""0100110100110000110100110""",2.661097288131714
42,-13464.2567,"""1011001101100101100101100""",2.652960777282715
43,-13451.667300000001,"""0100110010011010011010011""",2.648319721221924
44,-13777.9608,"""0100110010011100011010011""",2.6430304050445557
45,-13652.1982,"""0100110010011100011010011""",2.6451821327209473
46,-13344.2278,"""1011001101100011100101100""",2.8036153316497803
47,-13206.8911,"""0100110010011100011010011""",2.6450138092041016
48,-13385.1514,"""1011001101100011100101100""",2.644102096557617
49,-13723.4583,"""1001100111001001001111001""",2.640425443649292
50,-14555.982100000001,"""1001100111001001001111001""",2.638679027557373
51,-14521.3665,"""1001100111001001001111001""",2.6726412773132324
52,-15290.114300000001,"""1001100111001001001111001""",2.655064344406128
53,-15394.5306,"""1001100111001001001111001""",2.64180064201355
54,-15681.2864,"""1001100111001001001111001""",2.652158498764038
55,-15767.8675,"""1001100111001001001111001""",2.6496810913085938
56,-16024.4799,"""1001100111001111001111001""",2.816970109939575
57,-16243.015800000001,"""1001100111001111001111001""",2.6334478855133057
58,-15768.488800000001,"""1001100111001111001111001""",2.635322093963623
59,-15960.720700000002,"""1100110010011010011010000""",2.6415610313415527
60,-15976.0544,"""1100110010011010011010000""",2.6407289505004883
61,-15635.3965,"""0011001101100101100101110""",2.659153938293457
62,-15758.4616,"""0011001101100101100001110""",2.647822141647339
63,-15938.3266,"""1100110010110000110100100""",2.656425714492798
64,-15962.9763,"""0011001101001111001011010""",2.648745059967041
65,-15533.9354,"""0001100111100101001011010""",2.6331677436828613
66,-15361.7365,"""0001100111100101001011010""",2.8147754669189453
67,-14595.309500000001,"""1110011000011010011110000""",2.646334648132324
68,-13956.0188,"""1110011000011010011110000""",2.642083168029785
69,-14198.0527,"""0001100111100101001011010""",2.6287779808044434
70,-13658.328300000001,"""0001100111100101001011010""",2.6382312774658203
71,-13111.732100000001,"""1110011000011010011110000""",2.6650710105895996
72,-13124.2759,"""0001100111100101001011010""",2.6515016555786133
73,-12940.4928,"""0001100111100101001011010""",2.654378652572632
74,-12757.960500000001,"""1011001101001111100001100""",2.6486167907714844
75,-12103.2296,"""0100110010110000011100110""",2.6503918170928955
76,-11270.9055,"""1011001101001111100001100""",2.829983711242676
77,-10490.519400000001,"""0100110010110000011100110""",2.6329338550567627
78,-10459.0809,"""1011001101001111100011001""",2.639446258544922
79,-10401.3454,"""1011001101001111100011001""",2.654930830001831
80,-9968.2431,"""1011001101001111100011001""",2.6352500915527344
81,-9718.9966,"""1011001011100101001001000""",2.6625101566314697
82,-9842.5858,"""1110010010110000011100101""",2.6511216163635254
83,-10166.9283,"""1110010010110000011100101""",2.6532695293426514
84,-10361.028,"""1110010010110000011100011""",2.638343095779419
85,-10427.7852,"""1110010010110000011100011""",2.6399741172790527
86,-10746.983,"""0001101101001111100011001""",2.8115224838256836
87,-10372.3763,"""0011000110011010110110110""",2.6469171047210693
88,-10587.8358,"""1110010011001001100001001""",2.635122299194336
89,-10380.743,"""0001101100110110011100011""",2.6271700859069824
90,-10267.5508,"""0110010011001001100001100""",2.6298367977142334
91,-10094.9634,"""0110010011011010101110110""",2.6623566150665283
92,-9405.1975,"""1011000110001111111001001""",2.6462903022766113
93,-9115.0815,"""1011000110001111111001001""",2.652933359146118
94,-9145.328800000001,"""0011000110001111111011100""",2.65637469291687
95,-9231.3897,"""0001101100100101010011011""",2.6418328285217285
96,-9499.8164,"""0100111001100011001001100""",2.831944704055786
97,-9182.874300000001,"""1011000110011100110110001""",2.643549680709839
98,-9451.965900000001,"""0001101100110110011100011""",2.631204843521118
99,-8547.5993,"""1001101100110110011100001""",2.629333257675171
