iter,exp_value,best_result,iter_time
0,-875.418,"""1000000111000010111000000""",4.736523151397705
1,-1548.3134,"""0011100001001110101111010""",4.747143268585205
2,-542.0553,"""1101011101101101011001010""",4.697108507156372
3,-2586.85,"""0010110011001111011100011""",4.718981981277466
4,-2003.6317000000001,"""0001010110001111110100101""",4.875805616378784
5,-2307.3224,"""1011111100111010001101101""",4.702667236328125
6,-2838.9892,"""1001111010011010111101010""",4.711102247238159
7,-3185.3512,"""1011111001100100110101110""",4.89910101890564
8,-2435.1038000000003,"""1100000111001110011001100""",4.744221448898315
9,-4612.4943,"""0101010010011010110010011""",4.737826108932495
10,-3933.75,"""0110000110110001001100110""",4.929152250289917
11,-4066.2457000000004,"""0101010011110010110010011""",4.749665021896362
12,-4650.2573,"""0001110100111001001101111""",4.718743324279785
13,-4307.5212,"""1011011100101111100111001""",4.717043876647949
14,-4043.5796,"""1011011110011011100101100""",4.891976594924927
15,-3438.8880000000004,"""1110001010110001001110010""",4.717455863952637
16,-4308.2342,"""1011011111100100110011001""",4.717414617538452
17,-3449.4452,"""1011011110101000110010010""",4.931123495101929
18,-4398.4829,"""0011011111100100110011010""",4.731849908828735
19,-3384.0949,"""0001110100010111001101111""",4.732509613037109
20,-2502.0,"""1100101010111011010010010""",4.903296947479248
21,-2317.4941,"""1011010101000101100100111""",4.76800274848938
22,-2590.5961,"""0011010000010000110101101""",4.71603798866272
23,-3885.4834,"""1001110100010000110100111""",4.71013069152832
24,-2417.4665,"""0100101011100101101101101""",4.900609970092773
25,-3439.275,"""0011011011110001111111100""",4.696596145629883
26,-4347.4748,"""1011001100001001011000111""",4.730778932571411
27,-1375.2409,"""0100100100111100111001111""",4.895639419555664
28,-1230.2667000000001,"""0100100100001001011001101""",4.713186264038086
29,-2290.7173000000003,"""1100100100001001101101010""",4.721336126327515
30,-3282.3140000000003,"""0110011010110110101101101""",4.902582883834839
31,-2624.6387,"""0100100011001101010101110""",4.757201671600342
32,-4295.407200000001,"""1011011100110010100100110""",4.711988925933838
33,-4229.6918000000005,"""1100111010110011000101100""",4.725294828414917
34,-2618.1542,"""1100111011100011000101100""",4.918069362640381
35,-3180.2126000000003,"""0011000100011111001001110""",4.748977899551392
36,-2420.0383,"""1100100100011100110000011""",4.724265813827515
37,-4837.9169,"""1011000110011100110000001""",4.8929524421691895
38,-4124.2145,"""0011000011110110110000110""",4.715328931808472
39,-3014.8895,"""1100111100110011110000011""",4.703471899032593
40,-1316.9474,"""1110001110111010011001101""",4.902738571166992
41,-1358.6424,"""0110011100010000110011001""",4.72847580909729
42,-2674.4241,"""1110011100011000001100100""",4.719464063644409
43,-3953.8852,"""1001100011101111001100110""",4.6911773681640625
44,-1589.5291,"""1100110110110010110000011""",4.869676351547241
45,-1454.4535,"""1001100011001000100101011""",4.71202826499939
46,-1209.7262,"""1110011100011011011010011""",4.713373422622681
47,-1665.037,"""0001101000111011011010111""",4.891355991363525
48,-2288.705,"""0100011100011011011000100""",4.704317569732666
49,-1842.4329,"""1110110100001110001111110""",4.7286036014556885
50,-1382.7502000000002,"""1011100011100101110000000""",4.704505443572998
51,-1149.1441,"""0110110110001101001111100""",4.738388776779175
52,-3772.1075,"""1001110110110000100101011""",4.725138425827026
53,-1285.1305,"""0010011100001101011011101""",4.714265823364258
54,-3306.6419,"""0011001011110010110001111""",4.891482830047607
55,-3054.9558,"""1010011100001101010000000""",4.696720600128174
56,-2939.0497,"""0000110110100111001111100""",4.71893310546875
57,-3032.9096,"""1111001011110010110011111""",4.890475749969482
58,-3322.6541,"""1000111101010011011101010""",4.7097508907318115
59,-4212.148,"""0010010100001101001001011""",4.7199015617370605
60,-3699.3295000000003,"""0001101010101000110110101""",4.890434503555298
61,-2478.7650000000003,"""0010011100010010100110000""",4.726376533508301
