iter,exp_value,best_result,iter_time
0,-26766.36328125,"""101111001100110000001001100110001001""",4.946971654891968
1,-47525.3203125,"""110000100111011010101100110011001001""",5.106677055358887
2,-65324.4453125,"""010010001100110000000110011001110110""",5.41797137260437
3,-79333.21875,"""010010001100110010101100000001110110""",4.937114238739014
4,-89559.0703125,"""000111011001110010101100000001110100""",4.935094833374023
5,-96573.015625,"""111000100110001101010010101011011110""",4.9373579025268555
6,-103052.8984375,"""101101110011011010101100000011011100""",4.9365234375
7,-110476.5859375,"""011001110011011000000111111100100001""",4.936738967895508
8,-118835.03125,"""101101110011011010101100000011011100""",4.93643856048584
9,-125783.6484375,"""011001100110001101010011111100100001""",4.937849044799805
10,-129432.109375,"""110011001100100111111000000110001001""",4.937300443649292
11,-131590.71875,"""110011001100100111111000000110001001""",5.4631853103637695
12,-132596.109375,"""000110011001110010000111111001110100""",5.4230875968933105
13,-133181.9375,"""011001100110001101010010101100100001""",4.93302845954895
14,-133631.3125,"""100110011001110010101101100110001011""",4.9352545738220215
15,-134009.96875,"""100110011001110010101101100110001011""",4.936570405960083
16,-134368.34375,"""111001001100100111111000110011011110""",4.935730934143066
17,-134585.140625,"""011001100110001101010010101100111001""",4.934742212295532
18,-134814.84375,"""111001001100100111111000110011000110""",4.9389166831970215
19,-135039.40625,"""011001100110001101010010101100111001""",4.937395095825195
20,-135416.5,"""100110110011011000101101100110010011""",4.9388039112091064
21,-135835.859375,"""000110011001110010000111111001101100""",5.472735404968262
22,-136468.421875,"""000110110011011000000111111001101100""",5.4230735301971436
23,-137299.46875,"""110011001100100111111000000110010011""",4.935396671295166
24,-137955.328125,"""110011001100100101111000000110010011""",4.934157371520996
25,-138642.21875,"""011001100110001101010010101100100001""",4.935870885848999
26,-140015.078125,"""110011001100100111111000000110010011""",4.936075210571289
27,-135683.15625,"""000110110011011010000111111001110100""",4.934264183044434
28,-139879.15625,"""011001100110001111010010101100111001""",4.93611478805542
29,-139816.171875,"""011001001110110000000111111001101100""",4.940002202987671
30,-139041.40625,"""101100110001011000101101010011011110""",4.937338352203369
31,-140763.34375,"""110011001100110000101101010011011110""",5.464351177215576
32,-137505.3125,"""000110011001100111010010101100100001""",5.422595024108887
33,-135196.53125,"""000110110001011010000111111001101100""",4.93653416633606
