iter,exp_value,best_result,iter_time
0,38.3387451171875,"""111110011110110000001001111110001111""",6.657860517501831
1,-4764.419921875,"""011110011110101011010011010101011100""",7.521198272705078
2,-12231.42578125,"""010100101100011001100011010110100101""",7.2362141609191895
3,-13601.583984375,"""010010101001001110010011011110110010""",6.767950057983398
4,-18762.146484375,"""110010101001001110010011011110001101""",6.766357898712158
5,-23386.09765625,"""011000010011110110100011010110110010""",6.765724420547485
6,-27694.126953125,"""110110111001011100001001111100001011""",6.759941577911377
7,-28907.033203125,"""011000010011110110100001011110110010""",6.767468690872192
8,-29483.703125,"""111000010011110110100011111100001101""",6.768311023712158
9,-35087.96484375,"""101101000110100011110110100001001110""",6.767052173614502
10,-39744.32421875,"""100111101100001001010011110010001100""",6.7658538818359375
11,-41165.0078125,"""111100010011110110101100001101110010""",7.513142824172974
12,-47124.5078125,"""011000010011110110101100001101110010""",7.2432122230529785
13,-50469.16796875,"""111000010011110110101100001101110010""",6.762589931488037
14,-52537.1328125,"""000111011001011100000011110110100100""",6.766523361206055
15,-57056.47265625,"""111000100110101001010110100111011000""",6.767779111862183
16,-58943.66015625,"""001001110011111100000011110010001101""",6.757452011108398
17,-57348.66796875,"""100011011001010110101001011100001101""",6.765916109085083
18,-64619.1875,"""110010001100000011111100001101001100""",6.767023086547852
19,-63768.89453125,"""100011011001010110100001011100001101""",6.768341779708862
20,-67346.6484375,"""011100100110101001011011110110100111""",6.762701511383057
21,-73132.9375,"""000011011001010110101100001101110010""",7.509145259857178
22,-75077.3671875,"""111000100110101001010110100111011000""",7.2384867668151855
23,-79529.15625,"""000111011001010110101001011000100101""",6.7697179317474365
24,-79761.8359375,"""011000100110101001010110100011110000""",6.763908624649048
25,-85613.171875,"""000111011001010110100001011110110010""",6.770347356796265
26,-89174.03125,"""000111011001010110100001011110110010""",6.76899790763855
27,-91652.34375,"""000111011001010110100001011110100101""",6.764342308044434
28,-90948.46875,"""011000100110101001011110100011110000""",6.762208938598633
29,-93327.390625,"""111000010011111100001011011100001111""",6.766567945480347
30,-93789.984375,"""011000100110101001011110100001110000""",6.759517669677734
31,-91451.4140625,"""011000100110101001011110100011110000""",7.525619983673096
32,-88713.734375,"""010010001100000011110100100011110001""",7.240666627883911
33,-91700.21875,"""111000100110101001011011011100001101""",6.770044565200806
34,-91631.546875,"""110010001100000011110001011100001100""",6.765011310577393
35,-92276.09375,"""111000100110101001010011110000001111""",6.764679908752441
36,-93642.34375,"""010010001100000011111001011000100100""",6.768476247787476
37,-99328.859375,"""010010001100000011111100001111110011""",6.7627129554748535
38,-101103.2421875,"""100111011001010110100100001001011010""",6.768131256103516
39,-100708.5234375,"""111000100110101001011110001001011000""",6.766870975494385
40,-100700.640625,"""010010001100000011111001011000100100""",6.768407344818115
41,-100387.109375,"""100111011001010110101100100101011010""",7.526483058929443
42,-100227.65625,"""100110111001010110100100001001011010""",7.239638805389404
43,-100980.359375,"""011001000110101001011110100011110000""",6.767903566360474
44,-101895.734375,"""101100010011111100000110100101011001""",6.769580364227295
45,-101814.25,"""100110111001010110100100001001011010""",6.761971712112427
46,-101555.9296875,"""010011101100000011111100100011110011""",6.76583456993103
47,-101188.328125,"""010010001100000011111100100011110010""",6.767865896224976
48,-103234.140625,"""000110111001010110101001110110100100""",6.7672202587127686
49,-104321.234375,"""010011101100000011111100100011110010""",6.766673564910889
50,-103018.109375,"""100111011001010110100100001001011011""",6.760122299194336
51,-106861.265625,"""010010001100000011111100100011110010""",7.513471364974976
52,-107217.9375,"""011001000110101001011110100011110001""",7.239753723144531
53,-104824.8125,"""011001000110101001011110100011110001""",6.769684076309204
54,-105332.0546875,"""000110111001010110101001110110100100""",6.767791748046875
55,-110612.5546875,"""010010001100000011111100100001110010""",6.768331050872803
56,-110029.2578125,"""000110111001010110101001110100100100""",6.768300533294678
57,-108075.703125,"""011001000110101001011110100001110001""",6.769375801086426
58,-111831.6953125,"""011001000110101001011110100001110001""",6.761028051376343
59,-109069.6171875,"""011001000110101001011110100001110001""",6.772590398788452
60,-111408.34375,"""011001000110101001011110100001110001""",6.765062093734741
61,-110893.53125,"""011001000110101001011011110100100110""",7.5326433181762695
