iter,exp_value,best_result,iter_time
0,-7117.3413,"""100110000010001011110001000100111101""",7.554421663284302
1,6514.853,"""111111110100101111010001000101111001""",7.5310585498809814
2,1901.8780000000002,"""100001110110000111101110010001000101""",7.720934867858887
3,-9110.0538,"""010100100111111000110100011101000110""",7.694719314575195
4,-1785.7611000000002,"""101011100000011001110110110101110100""",7.493407487869263
5,1460.9436,"""001011100100100110000110011101001010""",7.690165042877197
6,-9797.7809,"""101101010111111101100111100111101110""",7.7262864112854
7,-5331.2929,"""000011100010101000010101101111110101""",7.512692928314209
8,-3044.8807,"""001110110111000010000111111011001010""",7.701406717300415
9,-5578.718,"""010110110111111011001101001110011111""",7.525583028793335
10,657.5424,"""000010010010101011001101000001001001""",7.690927743911743
11,-4130.187800000001,"""110111011000000111000110011101011011""",7.579608917236328
12,-133.6094,"""010111000110111100100000111100100000""",7.726056098937988
13,-7372.158600000001,"""110111000101110111100111111110110110""",7.718342065811157
14,-5375.8413,"""100010000000010001101110101101101001""",7.522692441940308
15,2241.9175,"""010111000110111010000010101011110000""",7.71044659614563
16,-2513.0493,"""110111000110111000001110100100011000""",7.701997995376587
17,-8376.5133,"""101000100110010111000101101011110000""",7.493316650390625
18,4458.52,"""101011000110110111001110111101111010""",7.726938724517822
19,-3956.2197,"""111000000000010001001110101010011011""",7.531466484069824
20,2747.2375,"""110100000000011011100100001111010110""",7.7030415534973145
21,-1032.625,"""110100001111100100011011111111011011""",7.579400300979614
22,-8921.0918,"""001011111010010100010110000011110001""",7.708771467208862
23,131.9634,"""010010010001101110110110111110001000""",7.752092599868774
24,-3866.6074000000003,"""010100000101101011101111111110100100""",7.511397123336792
25,-5429.415,"""101110111101000110011101000100001110""",7.702563285827637
26,-6296.3625,"""000100101111110110011110100100001000""",7.73724102973938
27,-1788.3614,"""010001110100110001001000101001101101""",7.531919956207275
28,3015.1027000000004,"""000100001011001110110111010110011000""",7.688347578048706
29,-6833.9694,"""011011100001001011100111010010010111""",7.48436427116394
30,-6278.5007000000005,"""111011110011011100110111100111010000""",7.73624587059021
31,1682.5695,"""010000010110000011001000111010011010""",7.54705810546875
32,-4072.3692,"""110001100100110110011011000110000000""",7.678044557571411
33,-5884.6043,"""110110011100001001001001110001111110""",7.730384826660156
34,-7404.024,"""000110011111111001010000000110011001""",7.529031991958618
35,-2491.3607,"""111001100000000110110110011101111011""",7.681020259857178
36,-4495.4039,"""001001100101101101001100111100101011""",7.745974779129028
37,-4862.1373,"""000011001000010110100110111001001110""",7.513538837432861
38,-9254.8555,"""101000010000001111100110010111010011""",7.668767690658569
39,-919.7308,"""101001100000010111110100010111010011""",7.534175395965576
40,-7572.4475,"""001001100000010111000011100010100100""",7.696474313735962
41,-6025.0359,"""100111101111111101011010011101001011""",7.542632818222046
42,-2332.1838000000002,"""101100110100110101101001010011100011""",7.722987651824951
43,-6609.0481,"""110001100010111001100101100100001000""",7.703216791152954
44,-10240.5409,"""000101010010101100110100100101000000""",7.506033182144165
45,-10485.5766,"""101101011110001000000111110101110000""",7.692054033279419
46,365.5489,"""100010111011001010111110000111000111""",7.728907346725464
47,-8827.892100000001,"""110110001001110011100111110100111110""",7.510333061218262
48,-14387.591,"""100110111000010100001101101000001001""",7.730343341827393
49,-4880.3801,"""001101011110001101010000001110111000""",7.537550926208496
50,-3794.1915000000004,"""101101000111101101010011100001001000""",7.688016414642334
51,-7375.3593,"""001101011110110010101100011110111000""",7.56689190864563
52,-14785.2466,"""001101011100001010100110101101000101""",7.738043785095215
53,-10977.6062,"""101101000111100111101111010000101110""",7.719809293746948
54,-9746.5538,"""001101000111010111110011111000001001""",7.519731044769287
55,-12872.4662,"""001110110011110010100110101101110011""",7.695141553878784
56,-6810.4593,"""101110011011011010101100000000100000""",7.763928413391113
57,-3696.6513,"""101100101111001010000010110111101111""",7.527148008346558
58,-4466.7687000000005,"""101111000010011101011000001110001010""",7.719007253646851
59,494.7468,"""000100100101000111110011100110011000""",7.499611139297485
60,-12077.8012,"""000100100100011101011000001111101010""",7.702948570251465
61,-9704.346000000001,"""111011001001001100010011100101101110""",7.5488245487213135
62,-3755.1307,"""011011011010110111110010100101011100""",7.689120054244995
63,-9957.158800000001,"""001100111100010100100011101111010111""",7.743007659912109
64,-10456.8159,"""001100001001111011101101100111101001""",7.504369020462036
65,-11944.296900000001,"""101100010100001101010110101101110011""",7.711129188537598
66,-10109.9024,"""101100010101000111000110001111101101""",7.731874942779541
67,-7853.948200000001,"""001011101010001111111101101111111111""",7.49771785736084
68,-9122.2972,"""101011101011010101101100100101001001""",7.710224628448486
69,-10460.4863,"""101011101001000000011001010010110110""",7.512645721435547
70,-11277.3363,"""001011101001101000100101011010110110""",7.71278190612793
71,-9346.7497,"""010011101011001000110101000100010100""",7.533247947692871
72,-8081.3023,"""010011101010111000111000011010110100""",7.779228448867798
73,-5507.5378,"""000111101010110101001000101100111100""",7.815929651260376
74,-14727.1391,"""000111110000111010110111011010011111""",7.570056438446045
75,-10237.792500000001,"""111110101010111000111000001110100001""",7.768350601196289
76,-14264.095200000002,"""011110101001000010010010111000000001""",7.796426296234131
77,-11502.1368,"""100110000110000111100010000110111100""",7.545670032501221
78,-12311.9243,"""000111011010011100101101011001001001""",7.808933734893799
79,-9613.1007,"""000110001111110110011101111011010100""",7.537069797515869
80,-11681.9198,"""111001110100010100100111110010011110""",7.712242841720581
81,-10413.026300000001,"""101110001111001110101010100101100101""",7.550049066543579
82,-8611.715400000001,"""100101110010100011001000101110010000""",7.751820087432861
83,-10195.153400000001,"""100101111001001110000000101111000001""",7.739551782608032
84,-5972.0523,"""011010100100001011100011000011000001""",7.527395009994507
85,-4114.283100000001,"""001111110110100001001001101001001011""",7.777815818786621
86,-10074.6682,"""111010101101010110100100010011001001""",7.770852327346802
87,-10204.362000000001,"""011010100001010110100011000010110010""",7.504399299621582
88,-11796.757000000001,"""011010100011110100110110010110110111""",7.694475412368774
89,-7473.991800000001,"""111010100101000000100011001000111001""",7.526981830596924
90,-8055.231400000001,"""000101011011010100100011110000011101""",7.691807746887207
91,-9579.583200000001,"""111010100100010000100011001101001110""",7.586902141571045
92,-6911.278200000001,"""111010100100001100010111100111100110""",7.731085777282715
93,-15620.087000000001,"""000110110000010001001100101100010010""",7.695352792739868
94,-16447.337900000002,"""100110110001111110111011001100010010""",7.500197887420654
95,-6129.1009,"""001100011011010010001110100101011001""",7.718709945678711
96,-13412.035100000001,"""111001001101101100110001011010111001""",7.711028337478638
97,-17740.658900000002,"""010011100101001110110010110100011010""",7.492231369018555
98,-21159.4503,"""000110100111110001001010100101011011""",7.727508783340454
99,-15206.7113,"""011001011000001110110010001111101110""",7.500449180603027
