iter,exp_value,best_result,iter_time
0,-1422.7158000000002,"""000011000111111111010011001110001101""",7.555936336517334
1,-6234.9197,"""110000111000110100110100100011101010""",7.562978982925415
2,-9288.020900000001,"""011011010010101010110100100011111010""",7.710577964782715
3,-6988.7006,"""101010010011101110100100000011101100""",7.703406572341919
4,1884.2092,"""110011001000110101001100111011001110""",7.551239490509033
5,-1522.8454000000002,"""100100010011001000100011010110000011""",7.705347299575806
6,-5016.0553,"""010000110110111000011001111111010011""",7.69592547416687
7,-4522.363600000001,"""010101101100001010011001111111101001""",7.549232244491577
8,-5807.2212,"""100001000110100111100110000000101100""",7.732793807983398
9,-4570.4338,"""001101101001101011100110001001110101""",7.519365549087524
10,-7731.8347,"""001011000011001110010101000100101110""",7.720660924911499
11,-10156.5467,"""101011000011101100111001000100010101""",7.531708478927612
12,-4281.3806,"""100001011001011110111000111010110011""",7.674718856811523
13,-4836.8485,"""111011001100111101101110000101111010""",7.731727361679077
14,-11886.6494,"""000100010011110101100101110111101000""",7.536275386810303
15,-4700.7051,"""111011001100110111100100111010001101""",7.712650299072266
16,626.8919000000001,"""111010000100011001011111101011000010""",7.727303504943848
17,-11224.343,"""110010001100011100011011000100110111""",7.501946449279785
18,-9558.9544,"""001100011100110101101100001111000000""",7.690285682678223
19,-2878.7082,"""001100001011000011110111100111101001""",7.528860807418823
20,-2189.165,"""011001110011100011110011100110001001""",7.701732397079468
21,-11327.2131,"""100110100001001001001100011001101001""",7.524056434631348
22,-11907.9408,"""101100001011101000110101101110001101""",7.69989538192749
23,-14672.0725,"""001111011010100101100110110011000101""",7.735937595367432
24,-13229.015500000001,"""001110110110011010011010010010011101""",7.517847299575806
25,-7415.9867,"""000100011100010110110010001101100011""",7.741480588912964
26,-11038.733600000001,"""101100110001101001001101101110011000""",7.720768451690674
27,-13687.019400000001,"""001101100010100101100111000101000100""",7.516249895095825
28,-1400.4106000000002,"""000100111011101000110001110010010110""",7.722452163696289
29,-2645.089,"""011001001111110001110010000111000010""",7.527641296386719
30,-5155.488,"""000101100011000101011011011001101001""",7.7282702922821045
31,-8596.3623,"""101101001111110000110101101100100100""",7.5327489376068115
32,-11116.1446,"""000000111101011000100100100110010111""",7.709522008895874
33,-7831.3777,"""001111001000001100110101101010010111""",7.758964538574219
34,-990.106,"""101111001000100100110101111110011000""",7.544540643692017
35,-1981.6596000000002,"""100111000110111011011000111110010100""",7.689908981323242
36,-10891.2528,"""000100111101011100101110001110001010""",7.733435153961182
37,-9989.2224,"""001101001110001101011000111110000100""",7.506127595901489
38,-6573.7581,"""000100111001100110100111000001110010""",7.6806323528289795
39,-5807.445500000001,"""011010110000110000010001100000100011""",7.5254833698272705
40,-7270.913500000001,"""100100000000101111000010110101110101""",7.694577217102051
41,-1158.8309000000002,"""100101011111010001110010110100110010""",7.543297290802002
42,-8924.419,"""100101011110001111101110100101101101""",7.765498161315918
43,-9169.9915,"""011010100001110010001101001110001100""",7.7310216426849365
44,-7583.8442000000005,"""011000100101101101110100001001110111""",7.534180402755737
45,-2162.7358,"""010011010111011011001101000101110000""",7.726954221725464
46,731.7534,"""010010100001111010101101111110110111""",7.74120569229126
47,57.017500000000005,"""010011010110000001110010110001001001""",7.510064363479614
