iter,exp_value,best_result,iter_time
0,-27640.0390625,"""001100110111101100101001000111100110""",3.2766923904418945
1,-53872.21875,"""010011001101001100101001000110011011""",3.2833220958709717
2,-71107.3515625,"""010011001100011001111100010011100111""",3.275038719177246
3,-83644.015625,"""001100110011100110010011110011000110""",3.269217014312744
4,-93784.578125,"""001100110011011001101100010011100110""",3.268552780151367
5,-103253.390625,"""010011001100100110010011101100110011""",3.26947283744812
6,-112455.203125,"""001100110011011001000110111001000110""",3.2694668769836426
7,-120489.4375,"""001100110011011001000110111001000110""",3.2699954509735107
8,-126823.625,"""001100110011011001000110111001000110""",3.2677001953125
9,-131895.53125,"""010011001100100110010011101100010011""",3.268333673477173
10,-136658.5625,"""010011001100100110010011101100011001""",3.271334648132324
11,-143166.1875,"""001100110011011001101100010011001100""",3.2892749309539795
12,-155881.21875,"""001100110011011001101100010011101100""",3.2733776569366455
13,-168332.875,"""001100110011011001000110111001001100""",3.268627643585205
14,-171332.375,"""011001100110001100110011101100011001""",3.2663655281066895
15,-190928.03125,"""010011001100100110010011101100011001""",3.267857789993286
16,-201284.34375,"""000110011001110011001100010011001100""",3.26942777633667
17,-199561.96875,"""010011000110001100111001000110011001""",3.268225908279419
18,-213968.703125,"""011001100110001100011001000110011001""",3.2693052291870117
19,-223023.59375,"""001100110001110011000110111001100100""",3.267207145690918
20,-230552.609375,"""000110011001110011100110111001000100""",3.267195463180542
21,-235592.46875,"""001100110001110011000110111001100100""",3.2797861099243164
22,-239868.390625,"""000110011001110011100110111001000100""",3.272310256958008
23,-243777.34375,"""010011001110001100111001000110110001""",3.2667994499206543
24,-246360.375,"""011001100110001100011001000110010001""",3.2671632766723633
25,-249695.40625,"""010011001110001100111001000110110001""",3.2669217586517334
26,-254162.875,"""011001100110001100010011101100010001""",3.2689647674560547
27,-256566.40625,"""001100110001110011000110111001000100""",3.271963119506836
28,-258215.8125,"""011001100110001100010011101100010001""",3.267338275909424
29,-258907.703125,"""001100110001110011000110111001000100""",3.267457962036133
30,-259837.96875,"""000110011001110011101100010011000100""",3.267812490463257
31,-261306.265625,"""010011001110001100111001000110010001""",3.2790379524230957
32,-262829.0625,"""011001100100100110111001000110010001""",3.2720589637756348
33,-264254.03125,"""001100110001110011000110111001000100""",3.267282009124756
34,-265516.5,"""000110011001110011101100010011000100""",3.2683770656585693
35,-266513.03125,"""001100110001110011000110111001000100""",3.2663815021514893
36,-267521.75,"""000110011001110011101100010011000100""",3.2656917572021484
37,-268472.9375,"""010011001110001100110011101100010001""",3.267646312713623
38,-269384.5,"""011001100110001100010011101100010001""",3.267451763153076
39,-270048.40625,"""010011001110001100110011101100010001""",3.267183542251587
40,-270428.21875,"""000110011001110011101100010011000100""",3.2678990364074707
41,-270507.71875,"""010011001110001100110011101100010001""",3.2792773246765137
