iter,exp_value,best_result,iter_time
0,-28.1845,"""101111111010111010110101001000010100""",9.890596151351929
1,2285.0398,"""000100001001011011011111100010110111""",9.523920774459839
2,-10210.2216,"""001110100011000111110001111010101110""",9.623352527618408
3,-2353.166,"""100110101110010110100011010000000001""",9.64428997039795
4,1492.268,"""111010011011000100101000011100010101""",9.664360523223877
5,1571.2308,"""111110110111111000101101011001110011""",9.44166612625122
6,-11585.199700000001,"""000010010111110000110001101111100111""",9.60275673866272
7,-8522.418,"""100010010010000110000111111110110011""",9.6578049659729
8,-10010.7131,"""000011101111010111011000001101000111""",9.659124374389648
9,-16518.5952,"""011101010000011101110111101010011101""",9.400476932525635
10,-11926.160300000001,"""000001101110110101011000101100100010""",9.60170316696167
11,-12367.536,"""101101101110011000100111100000000011""",9.519069910049438
12,-3657.7406,"""100111101010100100101000100111001110""",9.592090845108032
13,716.1850000000001,"""100111100100110101011010001001100000""",9.573732614517212
14,-9942.1514,"""000111101010011001001111100010001101""",9.67280387878418
15,-6030.553400000001,"""010010101000001010110000100001100101""",9.514935493469238
16,-5894.8156,"""101101000010100100110011101101000101""",9.61057186126709
17,-14197.7648,"""101000000100100100100101001011000100""",9.602458715438843
18,-7272.8905,"""010011111011010011111010001110100111""",9.615560054779053
19,-5324.1053,"""010111101110110000000110011000100111""",9.449793577194214
20,-16708.5775,"""000111111100011011110111010100100110""",9.645485877990723
21,-8499.2275,"""100110111100000100101100101001110101""",9.431339740753174
22,-2410.1912,"""101111111011011110110000011000010010""",9.638219118118286
23,-2154.3293000000003,"""111010000011101100100110000011101111""",9.650225162506104
24,-7122.080800000001,"""000111010111110000000111101100010110""",9.60807204246521
25,-5925.0859,"""000000000110101110101100001011010100""",9.365241289138794
26,-7920.851000000001,"""011000011101100100011001000101000001""",9.693812370300293
27,-6991.4926000000005,"""100101001000110011111001001100011110""",9.638742685317993
28,7904.3392,"""011000001100001100010001110011110001""",9.661915302276611
29,-2596.4605,"""000111111001000101111110101010010100""",9.403151035308838
30,3952.3949000000002,"""010010000101000111011010001100001110""",9.694112300872803
31,-11472.2539,"""100110100111110001100011100000101101""",9.413793087005615
32,-17997.662,"""000111001000010101111000001011010010""",9.585378170013428
33,6172.054300000001,"""010000011111010000001001101111101001""",9.609851837158203
34,-4550.944100000001,"""010000011100001110001101011001011000""",9.692908525466919
35,-6388.5881,"""000010110100110111001101011100000010""",9.453413248062134
36,-6147.0031,"""110000011101011110110110001101111110""",9.56926441192627
37,4788.9547,"""111010110111011011110001111110100111""",9.631461381912231
38,1873.4517,"""011111011000100100000000000110010100""",9.664292335510254
39,-4681.5975,"""101001110001010011000100100011011111""",9.445764064788818
40,-447.4126,"""111011011000000100011110011000111110""",9.605581283569336
41,-4388.8357000000005,"""011111011000111111011010100011100101""",9.499393224716187
42,-8047.181500000001,"""000011011000100101000100001001001110""",9.625787496566772
43,-1174.1868,"""100000100111110110011111101010100110""",9.60641622543335
44,-6140.8953,"""001001111011000011001111101100101001""",9.672590732574463
45,3198.7622,"""111110100000110110101100111011011110""",9.526329040527344
46,-10143.4078,"""010101110000110001110100000010011000""",9.665569543838501
47,-2320.5383,"""000000110111011101111101001101001111""",9.623459577560425
48,9372.3748,"""011111001011000011010010101001100101""",9.62116003036499
49,-4605.6712,"""010101100011100100101111000110010101""",9.509685754776001
50,-9286.7582,"""101100100010001110011010010011001000""",9.62695860862732
51,-4989.9437,"""001010011100000001111111110111101011""",9.488534688949585
52,-17808.1051,"""111001001011011001100010111011001100""",9.692666053771973
53,-18156.967800000002,"""001111011101001100100001101011101010""",9.793940305709839
54,-14239.2535,"""001001011101001100111010010001011011""",9.699673652648926
55,-12939.3745,"""000111100001111011001000001100101011""",9.458324909210205
56,469.1419,"""111000011110011000111001110001000011""",9.69525957107544
57,-12045.052800000001,"""101100110101001011010010111001010101""",9.65015697479248
58,-6257.5139,"""101001110111100001011011001100011010""",9.62273359298706
59,-13462.570800000001,"""011110110001111001101100101100011011""",9.448276042938232
60,-6673.8616,"""110100011111111100110100001111011011""",9.737025260925293
61,-16647.1999,"""000111100001111001000100100110100111""",9.51233696937561
62,-12982.4419,"""111000011110011001001110000001000001""",9.637635707855225
63,-9483.9825,"""000000011111100011101011110111100001""",9.640057563781738
64,-5001.6957,"""101101001010110100011110100011101001""",9.729472875595093
65,1482.3181,"""000111110001010110000101001000001111""",9.478333473205566
66,-4356.043900000001,"""101001100110101110001101100111010110""",9.590791702270508
67,-4522.6313,"""110101001001001100100100011111101101""",9.599419593811035
68,784.8173,"""101010110110101001101100110101000110""",9.68907642364502
69,-7195.300200000001,"""000110110100000010101011010110100111""",9.420490026473999
70,17287.577100000002,"""011111110101100011001000111111111010""",9.594396114349365
71,-3693.6226,"""100110011001010111100110001111101101""",9.465478420257568
72,-8487.7997,"""101001010110010110111110010000001000""",9.585326671600342
73,-3479.2521,"""111001001100110111001111001001011100""",9.631341934204102
74,-10217.6306,"""001001000101100010111100111101010101""",9.6160728931427
75,-6929.169400000001,"""010011100001010111001110001100001101""",9.495292663574219
76,-15771.4598,"""001101110110101000000110001101011011""",9.612505435943604
77,-19025.1714,"""010011101101010111001110001101011101""",9.576886415481567
78,-8036.929300000001,"""000101010010101000110110011000000011""",9.592682123184204
79,-7444.1171,"""001110011011101000011001011001010100""",9.449227333068848
80,-7399.7074,"""101101000110110011100101111000110010""",9.611912727355957
81,-7224.9709,"""111000011100101001001011010010011100""",9.458883047103882
82,-21184.971100000002,"""001100111010101101010111010011101100""",9.64543342590332
83,-9291.4661,"""111110000010111001000011010010000001""",9.619746685028076
84,-12652.548200000001,"""010011101101001010101000101100110001""",9.60074520111084
85,-14352.672,"""110101011011100011000111111001000100""",9.411494493484497
86,-18328.6438,"""000111101110110000011011010011000001""",9.690309047698975
87,-6428.169,"""010010011010101010011011110111010010""",9.605173349380493
88,-4628.3596,"""100111101110111101101001010101100110""",9.596235990524292
89,-6212.6558,"""010110111110100111011011010011011001""",9.429595947265625
90,5500.468800000001,"""111001010000010110101001000010110101""",9.708959341049194
91,8115.897800000001,"""111111100000001011010010101111010111""",9.440224170684814
92,-10255.317000000001,"""011000101100110111011011011000010100""",9.568645238876343
93,-6899.6723,"""010110011011100110011001001111101000""",9.606144666671753
94,-2885.5060000000003,"""010011010011001000100110110100000101""",9.667798280715942
95,-881.1342000000001,"""001000111000010001010110111010101000""",9.416230916976929
96,-2919.2542000000003,"""111101101111011101100100111000011101""",9.621901988983154
97,-6809.5851,"""101000010011000111100011001101111011""",9.663849353790283
98,-10444.1905,"""010110111011100110000001101111010001""",9.615177392959595
99,-4772.5088000000005,"""111010111001000011110010010000110001""",9.423152923583984
