iter,exp_value,best_result,iter_time
0,1508.6924000000001,"""011110000100111111111101101011110011""",9.521096467971802
1,671.2039,"""111001001101110110011100011011100111""",9.45279312133789
2,-268.05850000000004,"""101100011011110111000011111110100001""",9.598310232162476
3,-1114.3287,"""111000001011111001010110010000100101""",9.739569425582886
4,-206.06470000000002,"""111011101011111001101100111101101111""",9.710903882980347
5,-772.9468,"""001101101001011000000001110110101001""",9.424854755401611
6,-2700.9794,"""101101101000001101101010100110101010""",9.551106929779053
7,3229.4959000000003,"""111000010110100110010010001000101011""",9.654447793960571
8,-7432.727900000001,"""000111000010001101110001101100101110""",9.620580673217773
9,-5840.144200000001,"""010010111101100111110001101011110101""",9.393722534179688
10,210.27810000000002,"""000111110111001011101101110100011000""",9.610033988952637
11,2127.6502,"""000111000011011111001110011101011001""",9.498477220535278
12,-4853.037200000001,"""001101010110111001000101101011001110""",9.610564470291138
13,2307.9514,"""011000110011011110111011001110010010""",9.616590738296509
14,-553.4283,"""111001000101100000111100001000110011""",9.637784719467163
15,-6470.9825,"""110010011001010011001111000111100110""",9.512999773025513
16,-5645.399,"""001101011010010110100110011011111100""",9.658324718475342
17,-719.3904,"""001101101011100111000101010011111111""",9.637412071228027
18,-5177.5786,"""011011101111010110101101011110100010""",9.694972276687622
19,-4613.2307,"""101000011100010010000111011011110111""",9.49728536605835
20,-867.9309000000001,"""000010111001100011111001111111010010""",9.617275476455688
21,-3358.5887000000002,"""010010110000101000111011000010100011""",9.407546758651733
22,-4974.3264,"""010010110000101010001101101010011010""",9.67177414894104
23,-8673.5996,"""000101001100100110011000001011111001""",9.639412641525269
24,-6745.488600000001,"""110111101100110111001110100111010001""",9.650441884994507
25,-7443.6948,"""000111100101001101100111111111110111""",9.513317108154297
26,-9697.467400000001,"""010111100110011101100111100000001010""",9.77188777923584
27,889.6441000000001,"""011101001001110110110111001010100001""",9.650607109069824
28,-9051.0655,"""100111100101101101011000110111001100""",9.628614902496338
29,-3285.2817,"""011000110100100011001110100110010001""",9.515089511871338
30,-3509.6169,"""100000011011011010000100001111101001""",9.634357690811157
31,6070.231400000001,"""010100110000111001000100100010110001""",9.411238670349121
32,-2359.1539000000002,"""110110110111000110111011010000011111""",9.657324075698853
33,1221.6401,"""101101001000110000110110101000111011""",9.748502969741821
34,855.5174000000001,"""111110110111000101100110100000011011""",9.68802261352539
35,-6171.1641,"""010011101100000000111100111101101100""",9.423488140106201
36,1024.8511,"""101100011100000100111100000111000000""",9.609320402145386
37,-4897.0248,"""110011010110100110010110010111001000""",9.686375617980957
38,-3399.9364,"""111001111000110001101000011100100001""",9.668832540512085
39,5674.8685000000005,"""100110111100111000111110000010110111""",9.439486503601074
40,55.6177,"""011001101100000001010101000110111000""",9.69434142112732
41,-1676.1770000000001,"""011010010011111011110000100110001100""",9.4704110622406
42,-4443.1511,"""000101101001010000000011010110101000""",9.605401754379272
43,-2970.7615,"""101100101001010010111111110101001111""",9.611352682113647
44,-11199.2826,"""011001010011110011001111101000100110""",9.740084648132324
45,-678.3785,"""000100010011111110000010000011010000""",9.477326154708862
46,-4174.0537,"""001010010011101000001011100011010111""",9.603861331939697
47,-1351.373,"""111101101100000101000100100110001011""",9.59410548210144
48,-3454.6519000000003,"""111000110101010111110011100011110001""",9.711804389953613
49,-8771.452000000001,"""000011011100000001011001001100100110""",9.447142362594604
50,-7438.9871,"""100101111101011100011100000110111011""",9.603480339050293
51,-8321.1452,"""001000111101011100001110010100111000""",9.451771259307861
52,-11475.483600000001,"""001011011100110010101000110110010001""",9.696080207824707
53,-2643.8727000000003,"""001010011001011111111110010110001001""",9.631362438201904
54,-9123.004,"""001000111111101001001110100110110001""",9.629281759262085
55,-17077.122,"""101011011110100001000010000010100100""",9.393258571624756
56,1383.4108,"""010110110000011010001011001101110010""",9.645601272583008
57,-4708.332600000001,"""000010010110110000010101111110010100""",9.594753742218018
58,728.6874,"""000000011100011110110000101011100101""",9.59580945968628
