iter,exp_value,best_result,iter_time
0,482.7316,"""110001011111100100001010110011010001""",7.559408664703369
1,-5730.9595,"""101110100111011100001100111101101101""",7.550453424453735
2,-4194.773700000001,"""101110100111000101110011100111101110""",7.740019798278809
3,-7039.561000000001,"""100100001101110000111100101111001011""",7.719935178756714
4,-1571.9784,"""011011110010101001011001100101100010""",7.528232574462891
5,-3966.6651,"""010001010011011100111011010111100110""",7.721131801605225
6,-5712.2570000000005,"""010001010010010110010001010010000101""",7.735142946243286
7,-3572.3232000000003,"""111011111000000001011110011000110010""",7.54197096824646
8,-10459.4532,"""100110001000100110001100100001110100""",7.706813335418701
9,-6643.508400000001,"""101100100010100010011110001111110011""",7.5231499671936035
10,-4707.7947,"""111001011101010011100011010110110101""",7.715827465057373
11,-7055.3775000000005,"""011001011110111001101100110010011111""",7.525839328765869
12,-7540.379000000001,"""000101011101000110010011010110001110""",7.691990613937378
13,-7239.8121,"""101100010000011010011100101001110000""",7.7804834842681885
14,-11883.5143,"""101100010011010110100001111100110100""",7.508458137512207
15,-5836.9001,"""100110100111110000101100010110001010""",7.6733293533325195
16,-5167.7947,"""101101000010110100101011101010101100""",7.7351977825164795
17,-5760.3237,"""100111100111001101101111000010111110""",7.524123430252075
18,-3737.6627000000003,"""110011110011000010110111011001110011""",7.743164300918579
19,-5756.413500000001,"""110010100110011011111111010101100101""",7.531724214553833
20,-4613.9851,"""011010100110011011111111100110100101""",7.693019151687622
21,-4456.3777,"""111001011001101000110111011001010101""",7.559631824493408
22,-2132.6413000000002,"""010011111001100100010110110110110011""",7.723277568817139
23,2363.0456,"""011010100110001001000101000010010001""",7.751209259033203
24,-2208.6459,"""001111111010100100000000100011111100""",7.537542819976807
25,-4613.3059,"""001100001100001000111001000010010011""",7.7592151165008545
26,-11629.073900000001,"""001101010001100100010011011001010111""",7.729886054992676
27,-16855.5888,"""000110100110011001110011011000001001""",7.506317377090454
28,-8379.1722,"""000100001100011110101001110010010101""",7.712537527084351
29,-11253.180100000001,"""100110111110110100000011011000111100""",7.517597436904907
30,-10413.102200000001,"""000100001110010011110110010110110011""",7.697208404541016
31,-8906.994700000001,"""100101000000010010111001110010011100""",7.5704123973846436
32,-12125.5382,"""101101001011101101010110000011001001""",7.732342958450317
33,-11995.126900000001,"""011000010000011011100100010011000101""",7.7528135776519775
34,-12379.1272,"""100111101110110000101001110010011010""",7.510775566101074
35,-12674.7566,"""000110101110110000000011011000111001""",7.7064924240112305
36,-7785.229700000001,"""010010101011100100101110111100100111""",7.758862733840942
37,-11054.513700000001,"""110010101100111001001001011100011001""",7.500857591629028
38,-6559.101000000001,"""001101100010000100101111010110011110""",7.70111083984375
39,-6050.8593,"""000110111111101100010000001100011011""",7.502798080444336
40,-4142.9933,"""100111111011100011111100001001010000""",7.681567430496216
41,-9651.4006,"""000110111110110111100010101001111000""",7.5424675941467285
42,-7723.8606,"""100111110011010011111100010110110111""",7.721208333969116
43,-102.9238,"""000110001000000110110110100011000110""",7.70925235748291
44,-5750.7632,"""001100010100110001111001011101000111""",7.522654294967651
45,-6790.561000000001,"""001100101000101100011100000110000111""",7.72580099105835
46,-8819.1108,"""001100101000101100011100110110110111""",7.726922035217285
47,-7510.0841,"""001001110010101101111001000011000111""",7.51984167098999
48,-9625.521700000001,"""101001110100111000111001000011100001""",7.735843658447266
49,-8523.7369,"""010110001101010010110011001001001011""",7.512601375579834
50,-9902.8984,"""000011101100110001000000011001101111""",7.681411981582642
51,-9630.090600000001,"""100011101010001110110101000110111010""",7.573718786239624
52,-6159.0855,"""001001000101101001111101001100010110""",7.7110700607299805
53,-10765.469000000001,"""000011010111011011100000000010001010""",7.711507797241211
54,-10705.9459,"""100011101100011010000000010010010101""",7.5213916301727295
55,-6458.3548,"""110110110000100001101101110110010000""",7.717360019683838
56,-3885.0901000000003,"""010110110000100100000001111001111000""",7.704910039901733
57,-4763.6295,"""011100010011100001101101110111100100""",7.524963617324829
58,-4655.9028,"""110110111001011100101011011100111001""",7.723345041275024
59,-8386.8228,"""010110111010001111010101000010000101""",7.490566730499268
60,-11983.9377,"""001001001100010110110010000111111111""",7.683696031570435
61,-7727.589400000001,"""100011101100011100011000101001101100""",7.604314804077148
62,-8489.641800000001,"""010110110011100111001111010110010101""",7.7057764530181885
63,-11502.9595,"""010001010100001001010100100011000001""",7.73284387588501
64,-10518.0653,"""010011011000101101100101101000011100""",7.552762508392334
65,-12294.8309,"""010011011000101100000010011100111000""",7.735042095184326
66,-8812.0975,"""000110001011100010010000001001101001""",7.7111616134643555
67,-9638.7926,"""101100011010000111000101101001101110""",7.522848844528198
68,-10355.3945,"""000110001100101001100001001001111100""",7.741860389709473
69,-4411.0222,"""110000110011010111110001001001101100""",7.511552572250366
70,-1243.8951,"""111010011000100001001010000100101100""",7.676990985870361
71,-5856.912600000001,"""100100111101010110100101101000011110""",7.577922821044922
72,-6987.252600000001,"""101111101100001001101010101010101111""",7.7278382778167725
73,-4966.3433,"""001110010110110110101111000110000110""",7.753747224807739
74,-1295.0859,"""000100111101001001101010111100101001""",7.534194707870483
75,-2422.3369000000002,"""010001101001001001010000101110000101""",7.758996248245239
76,-4399.842500000001,"""110001101001011010000101110000010000""",7.7132604122161865
77,-3151.2164000000002,"""111011000011101001100001001001111101""",7.5458245277404785
78,-9950.8274,"""011011000011110100110101111011111100""",7.744392156600952
79,-6919.480500000001,"""000101010011111101110000101111100001""",7.532218933105469
80,-5921.542600000001,"""001110110100001101100100101010110100""",7.70085597038269
81,-4508.4012,"""111011000010011010101011011011111000""",7.542839765548706
82,-12841.255000000001,"""100100011011010110000111001100011000""",7.745645046234131
83,-5717.1819000000005,"""000100111110010110100000110011111100""",7.70215916633606
84,-6338.9124,"""111011000111101000101101100011101000""",7.511538505554199
85,-7192.6089,"""111011000111100111010101001100010110""",7.736511707305908
86,-5241.3801,"""110001011011011100111100100011101011""",7.727809906005859
87,-7865.2538,"""111000010111110000101101110010000110""",7.541501760482788
88,-13979.4004,"""001101000011011100101111011001100001""",7.750243425369263
89,-10725.3359,"""100110000100100011011100100011000001""",7.49276328086853
90,-9398.1294,"""010010010110001001110110100110010001""",7.672779560089111
91,-12253.775800000001,"""101000111001111100100101110011100111""",7.564403533935547
92,-9664.3989,"""101011111011011100100100100011101011""",7.715746164321899
93,-11944.635900000001,"""011000101110001001011111100011100100""",7.749901056289673
94,-15693.2368,"""100010010110001101011010110011001110""",7.51587438583374
95,-17677.7213,"""000010000001101100000101001100100000""",7.698781728744507
96,-16972.696500000002,"""000010010110011100000001000110110011""",7.721848249435425
97,-13946.403100000001,"""100010010110100010100101001001000011""",7.530255556106567
98,-15823.406,"""010010011011000010100101000001010011""",7.701176166534424
99,-13462.6198,"""101101011011110110100101001001011000""",7.468148946762085
