iter,exp_value,best_result,iter_time
0,-203.46600341796875,"""011101011001110001100001001111111010""",8.65686559677124
1,-775.5443725585938,"""111000100111010110011001011010110011""",8.662544012069702
2,-1507.310302734375,"""011001111001011011001110011011100110""",8.651090383529663
3,-2250.623046875,"""011001011110100100011001001110001011""",8.659384965896606
4,-5434.06982421875,"""100110110010001100110011100001101101""",8.65616226196289
5,-8786.2744140625,"""100110011001011100110001001110010000""",8.656444072723389
6,-14797.8583984375,"""000110011001011001100110110001001101""",8.658919095993042
7,-16703.734375,"""111001100111001001100110110001011010""",8.653295993804932
8,-24842.2734375,"""110011011110110000100110110001011010""",8.672539472579956
9,-28610.40234375,"""001100100001100100110011100100001101""",8.665238380432129
10,-35790.9921875,"""010011001100001101110011100100011010""",8.662842035293579
11,-38093.5,"""010011011110011001001101110011011000""",8.674241542816162
12,-42701.21484375,"""110011011110011011100111011001100101""",8.669638633728027
13,-52162.65234375,"""111011110100110001001100011011100101""",8.675213098526001
14,-52139.9375,"""110011001101011001001111011001100110""",8.67117190361023
15,-55645.9609375,"""111001100110100100011001001110110010""",8.671313762664795
16,-61976.22265625,"""101110110000011001001111011001100110""",8.67490839958191
17,-62461.38671875,"""010001001111011010100100011011100111""",8.670406103134155
18,-63730.93359375,"""001110110001001111110001001111110010""",8.674049377441406
19,-60915.7265625,"""011011110100100110011000100110011001""",8.671605110168457
20,-69857.65625,"""010001001111110011001100011011100100""",8.672973871231079
21,-72597.6171875,"""100100011011100101011010001100110011""",8.684200048446655
22,-82099.046875,"""000100011011100101011010001101110000""",8.67462420463562
23,-85480.890625,"""000100011011100101011010001100110001""",8.67699646949768
24,-88413.2109375,"""011011100100011010100101110010001101""",8.677616357803345
25,-90880.3046875,"""101110100001110011001100011010100111""",8.671305894851685
26,-90953.578125,"""101110100001110011001100011010100111""",8.67749834060669
27,-90965.890625,"""110001011110001100110011100101011010""",8.679565906524658
28,-91701.15625,"""010001011110001100110011100100011001""",8.672168731689453
29,-94359.984375,"""000100011011100101011010001101110000""",8.674251794815063
30,-96203.328125,"""010001011110001100110011100101011000""",8.680941581726074
31,-95712.2734375,"""010001011110001100110011100101011000""",8.687091827392578
32,-97828.5546875,"""110001011110001100110011100100011001""",8.677552700042725
33,-94052.59375,"""010001001100110011001100011011100110""",8.680594682693481
34,-94678.609375,"""010001001110110000001111011000100101""",8.674190759658813
35,-97593.640625,"""100100011011100101011010110000001101""",8.671656370162964
36,-95390.1171875,"""010001001100110011001100011011100100""",8.674038887023926
37,-100756.1640625,"""000100011011100101011010110001001100""",8.679988622665405
38,-100544.046875,"""010001011110001100110011011000100101""",8.677950859069824
39,-100194.40625,"""011011110100001111110000100110011001""",8.677346467971802
40,-101328.859375,"""010001001110110000001111011000100101""",8.675118207931519
41,-101719.015625,"""010001001100110011001100100111011010""",8.687780141830444
42,-102401.0546875,"""000100011001100110011001110010001101""",8.678736209869385
43,-108673.6171875,"""110001011110001100110011100101011010""",8.674836874008179
44,-105015.3359375,"""000100011001100110011001110011001100""",8.683844804763794
45,-96928.359375,"""000100011001100110011001001110110011""",8.679391622543335
46,-107600.90625,"""001110100001011010100101001111110000""",8.679106950759888
47,-103705.484375,"""000100011001100110011001001110110011""",8.679303169250488
48,-111195.640625,"""100100001011011001100110001101110010""",8.680278301239014
49,-106307.1484375,"""100100001001011010100101110011001100""",8.683784008026123
50,-110199.2578125,"""010001001110001100110011100100011011""",8.678293228149414
51,-126360.609375,"""110001011100001111110000100111011010""",8.686550617218018
52,-121991.125,"""000100011001011010100101001110110011""",8.683530807495117
53,-132066.171875,"""100100001001011010100101001111110010""",8.677123069763184
54,-136485.53125,"""100100001001100110011001110011001100""",8.676862239837646
55,-142535.4375,"""000100011011011001100110110000001101""",8.682795286178589
56,-142089.03125,"""000100011011100101011010001100110011""",8.68953561782837
57,-156260.46875,"""000100000001011010100101110010001101""",8.684291362762451
58,-156260.046875,"""110001010100001111110000100111011010""",8.685242652893066
59,-154023.453125,"""010001010110110000001111011000100101""",8.679783821105957
60,-153860.421875,"""100100011011100101011010110001001100""",8.676832914352417
61,-164411.84375,"""110001010100001100110011100101011010""",8.687928676605225
62,-169093.84375,"""000100010001100101011010110000001101""",8.683541297912598
63,-180583.5,"""000100000011100101011010001100110011""",8.680349349975586
