iter,exp_value,best_result,iter_time
0,7.165914535522461,"""110010100""",0.2779397964477539
1,-2.946700096130371,"""000111001""",0.2751884460449219
2,-2.9455409049987793,"""110110001""",0.2719581127166748
3,-7.383900165557861,"""011001101""",0.2703671455383301
4,-36.68276596069336,"""011000011""",0.27231454849243164
5,-50.5389518737793,"""000011100""",0.2715003490447998
6,-31.936656951904297,"""111011001""",0.27016758918762207
7,-45.676361083984375,"""000111001""",0.27153635025024414
8,-126.03105163574219,"""000011100""",0.2714059352874756
9,-207.38624572753906,"""010010101""",0.2730984687805176
10,-248.56106567382812,"""000000011""",0.27209949493408203
11,-450.2989196777344,"""000011100""",0.29177284240722656
12,-517.2030639648438,"""010001101""",0.27384042739868164
13,-519.8967895507812,"""110010100""",0.26706981658935547
14,-545.6103515625,"""010001101""",0.27312731742858887
15,-652.0181274414062,"""100011001""",0.27199602127075195
16,-759.7314453125,"""000010011""",0.2657773494720459
17,-809.754150390625,"""010000101""",0.26989126205444336
18,-862.5740356445312,"""100010000""",0.2820441722869873
19,-858.4591064453125,"""010001101""",0.27471137046813965
20,-970.4841918945312,"""010001101""",0.2836267948150635
21,-1031.7091064453125,"""010010001""",0.2799718379974365
22,-1083.562744140625,"""100011000""",0.26422548294067383
23,-1018.9586181640625,"""001010100""",0.27660346031188965
24,-1228.7696533203125,"""001010100""",0.286102294921875
25,-1329.827392578125,"""001011100""",0.27655696868896484
26,-1497.85009765625,"""001010100""",0.273479700088501
27,-1430.3115234375,"""001011100""",0.26592421531677246
28,-1490.8834228515625,"""001010100""",0.27571535110473633
29,-1500.908203125,"""001011100""",0.2762267589569092
30,-1719.3914794921875,"""001010100""",0.27618861198425293
31,-1749.950439453125,"""001010100""",0.2821309566497803
32,-1777.07568359375,"""001010100""",0.2785313129425049
33,-1798.291259765625,"""001011100""",0.26459813117980957
34,-1931.3544921875,"""001011100""",0.27606821060180664
35,-1963.886962890625,"""001011100""",0.28052663803100586
36,-1991.7984619140625,"""001011100""",0.2761518955230713
37,-2000.3388671875,"""001011100""",0.29256486892700195
38,-2146.06396484375,"""001011100""",0.27750635147094727
39,-2232.62109375,"""001011100""",0.28037381172180176
40,-2339.935546875,"""001011100""",0.2729768753051758
41,-2389.50048828125,"""001011100""",0.29237937927246094
42,-2145.9072265625,"""011101000""",0.2796289920806885
43,-2169.3798828125,"""011100000""",0.2759873867034912
44,-2354.883056640625,"""001010100""",0.2760334014892578
45,-2428.316650390625,"""001011100""",0.27882885932922363
46,-2423.498046875,"""001011100""",0.27710747718811035
47,-2315.632568359375,"""011100000""",0.27776455879211426
48,-2370.369384765625,"""011100000""",0.2785320281982422
49,-2451.176513671875,"""001011100""",0.27408504486083984
50,-2423.3759765625,"""001011100""",0.29320764541625977
51,-2514.982177734375,"""001011100""",0.2800769805908203
52,-2522.0810546875,"""001010100""",0.2755863666534424
53,-2504.668212890625,"""011101000""",0.2812671661376953
54,-2674.858154296875,"""011100000""",0.28583598136901855
55,-2544.17626953125,"""011101000""",0.2789912223815918
56,-2464.66357421875,"""001011100""",0.27845311164855957
57,-2524.907958984375,"""011101000""",0.27736687660217285
58,-2501.64306640625,"""011100000""",0.27482175827026367
59,-2404.622802734375,"""001011100""",0.2754480838775635
60,-2438.492431640625,"""001011100""",0.27500486373901367
61,-2442.18212890625,"""011101000""",0.28168201446533203
62,-2453.833251953125,"""011100000""",0.27466511726379395
63,-2399.95166015625,"""001010100""",0.27495670318603516
64,-2383.75146484375,"""011101000""",0.27739453315734863
65,-2329.9267578125,"""001010100""",0.2738771438598633
66,-2315.3388671875,"""011101000""",0.2782247066497803
67,-2275.9111328125,"""011100000""",0.2744896411895752
68,-2231.39990234375,"""001011100""",0.2736935615539551
69,-2073.0751953125,"""001010100""",0.28688740730285645
70,-2150.93212890625,"""011101000""",0.27492356300354004
71,-1960.42822265625,"""001010100""",0.28133225440979004
72,-2170.0791015625,"""011100000""",0.2753181457519531
73,-2179.300537109375,"""001010100""",0.27608704566955566
74,-2068.183349609375,"""001010100""",0.2780742645263672
75,-2013.31396484375,"""011101000""",0.2737734317779541
76,-2029.8681640625,"""011101000""",0.27803540229797363
77,-1903.648193359375,"""001011100""",0.2746868133544922
78,-2204.17626953125,"""001011100""",0.2722008228302002
79,-2187.288818359375,"""001010100""",0.2791571617126465
80,-2197.291015625,"""011100000""",0.2867724895477295
81,-1975.141845703125,"""011100000""",0.2881004810333252
82,-1867.869384765625,"""011100000""",0.2772197723388672
83,-2011.61962890625,"""001011100""",0.27727723121643066
84,-1946.39501953125,"""011101000""",0.2743265628814697
85,-1984.37353515625,"""001011100""",0.2755401134490967
86,-2140.5791015625,"""011101000""",0.2761390209197998
87,-2071.96484375,"""011100000""",0.27686166763305664
88,-2160.33251953125,"""001010100""",0.27701854705810547
89,-1991.82763671875,"""011101000""",0.2760298252105713
90,-2000.08447265625,"""001010100""",0.2785520553588867
91,-2013.0040283203125,"""001010100""",0.2802090644836426
92,-1966.795166015625,"""011101000""",0.27440452575683594
93,-2072.53466796875,"""001011100""",0.27570199966430664
94,-2000.17724609375,"""001010100""",0.2765328884124756
95,-1967.6297607421875,"""011101000""",0.2721443176269531
96,-2090.64453125,"""001010100""",0.27622294425964355
97,-2289.707763671875,"""001011100""",0.2718684673309326
98,-1932.31689453125,"""011100000""",0.26949119567871094
99,-2136.84033203125,"""001011100""",0.27082014083862305
