iter,exp_value,best_result,iter_time
0,-63.331687927246094,"""1001""",0.03218340873718262
1,-81.36519622802734,"""1001""",0.026649951934814453
2,-87.91653442382812,"""1001""",0.026552915573120117
3,-88.5233154296875,"""1001""",0.026895523071289062
4,-90.02214050292969,"""1001""",0.026407480239868164
5,-89.42420959472656,"""1001""",0.026867389678955078
6,-91.40660095214844,"""1001""",0.026499032974243164
7,-92.33181762695312,"""1001""",0.02649712562561035
8,-93.5070571899414,"""1001""",0.02646493911743164
9,-95.54493713378906,"""1001""",0.02677297592163086
10,-99.82394409179688,"""1001""",0.02643275260925293
11,-101.7742919921875,"""1001""",0.026171207427978516
12,-107.50811767578125,"""1001""",0.026310443878173828
13,-111.34896087646484,"""1001""",0.026422977447509766
14,-123.0124282836914,"""1001""",0.0263216495513916
15,-131.54933166503906,"""1001""",0.026355504989624023
16,-139.29736328125,"""1001""",0.026669025421142578
17,-145.64529418945312,"""1001""",0.026464462280273438
18,-150.03561401367188,"""1001""",0.026600360870361328
19,-152.66983032226562,"""1001""",0.026728153228759766
20,-154.2393798828125,"""1001""",0.026841402053833008
21,-155.0521240234375,"""1001""",0.026876449584960938
22,-155.47987365722656,"""1001""",0.02720785140991211
23,-155.70826721191406,"""1001""",0.026651620864868164
24,-155.83908081054688,"""1001""",0.026894569396972656
25,-155.87957763671875,"""1001""",0.02669382095336914
26,-155.7642364501953,"""1001""",0.0271914005279541
27,-155.97036743164062,"""1001""",0.02643299102783203
28,-155.98580932617188,"""1001""",0.02684187889099121
29,-155.99404907226562,"""1001""",0.026975631713867188
30,-155.99871826171875,"""1001""",0.02678394317626953
31,-156.00143432617188,"""1001""",0.026371002197265625
32,-156.001220703125,"""1001""",0.02654743194580078
33,-156.00198364257812,"""1001""",0.026444673538208008
34,-156.0006103515625,"""1001""",0.026363849639892578
35,-155.9998016357422,"""1001""",0.02645421028137207
36,-156.00070190429688,"""1001""",0.02675151824951172
37,-156.00143432617188,"""1001""",0.02653193473815918
38,-155.9980926513672,"""1001""",0.026592731475830078
39,-156.00146484375,"""1001""",0.02653813362121582
40,-156.00146484375,"""1001""",0.026449918746948242
41,-156.00399780273438,"""1001""",0.0265200138092041
42,-156.0013427734375,"""1001""",0.026681184768676758
43,-156.0045623779297,"""1001""",0.026680469512939453
44,-156.0001220703125,"""1001""",0.026553630828857422
45,-156.00289916992188,"""1001""",0.02645587921142578
46,-156.002685546875,"""1001""",0.027029037475585938
47,-156.0004119873047,"""1001""",0.02642369270324707
48,-156.00245666503906,"""1001""",0.026599645614624023
49,-156.00357055664062,"""1001""",0.026657819747924805
50,-156.0033416748047,"""1001""",0.026965856552124023
51,-156.00149536132812,"""1001""",0.02671217918395996
52,-156.0028533935547,"""1001""",0.02690720558166504
53,-156.00164794921875,"""1001""",0.026668548583984375
54,-155.99508666992188,"""1001""",0.026500940322875977
55,-155.99566650390625,"""1001""",0.02679610252380371
56,-155.96755981445312,"""1001""",0.026491641998291016
57,-155.88319396972656,"""1001""",0.026499509811401367
58,-155.76580810546875,"""1001""",0.026471376419067383
59,-155.79824829101562,"""1001""",0.027942657470703125
60,-155.89764404296875,"""1001""",0.02620673179626465
61,-155.946044921875,"""1001""",0.026508092880249023
62,-155.92503356933594,"""1001""",0.02696514129638672
63,-155.81947326660156,"""1001""",0.026974201202392578
64,-155.68588256835938,"""1001""",0.02686762809753418
65,-155.45632934570312,"""1001""",0.02672433853149414
66,-155.27786254882812,"""1001""",0.026706933975219727
67,-155.5211181640625,"""1001""",0.02678513526916504
68,-155.67544555664062,"""1001""",0.02657294273376465
69,-155.7252655029297,"""1001""",0.02756953239440918
70,-155.77474975585938,"""1001""",0.0278170108795166
71,-155.843017578125,"""1001""",0.027156591415405273
72,-155.9027862548828,"""1001""",0.026721715927124023
73,-155.93577575683594,"""1001""",0.026741981506347656
74,-155.92147827148438,"""1001""",0.026995420455932617
75,-155.8944854736328,"""1001""",0.02900385856628418
76,-155.79513549804688,"""1001""",0.026844263076782227
77,-155.73460388183594,"""1001""",0.02689051628112793
78,-155.7999267578125,"""1001""",0.026532411575317383
79,-155.85409545898438,"""1001""",0.02721714973449707
80,-155.8704376220703,"""1001""",0.026407718658447266
81,-155.85760498046875,"""1001""",0.026344776153564453
82,-155.77987670898438,"""1001""",0.026970863342285156
83,-155.63031005859375,"""1001""",0.027185440063476562
84,-155.707763671875,"""1001""",0.026695728302001953
85,-155.779296875,"""1001""",0.026456594467163086
86,-155.71783447265625,"""1001""",0.028690099716186523
87,-155.56973266601562,"""1001""",0.02649235725402832
88,-155.49740600585938,"""1001""",0.02625870704650879
89,-155.5105743408203,"""1001""",0.026518583297729492
90,-155.58029174804688,"""1001""",0.027053356170654297
91,-155.65740966796875,"""1001""",0.028490066528320312
92,-155.71279907226562,"""1001""",0.027228593826293945
93,-155.68934631347656,"""1001""",0.027646303176879883
94,-155.69000244140625,"""1001""",0.026497364044189453
95,-155.78738403320312,"""1001""",0.026724815368652344
96,-155.85035705566406,"""1001""",0.028664827346801758
97,-155.8592529296875,"""1001""",0.0265810489654541
98,-155.8161163330078,"""1001""",0.02631378173828125
99,-155.77520751953125,"""1001""",0.026572227478027344
