iter,exp_value,best_result,iter_time
0,-14.2416,"""0110""",0.18563127517700195
1,-65.354,"""0110""",0.19784879684448242
2,-39.756,"""0110""",0.18024682998657227
3,-68.02080000000001,"""0110""",0.17978334426879883
4,-63.072,"""0110""",0.18025660514831543
5,-51.2736,"""0110""",0.18230938911437988
6,-62.6118,"""0110""",0.18069219589233398
7,-85.35340000000001,"""0110""",0.1808762550354004
8,-71.674,"""0110""",0.1930685043334961
9,-72.4046,"""0110""",0.18146276473999023
10,-81.7322,"""0110""",0.18139410018920898
11,-85.0942,"""0110""",0.18434429168701172
12,-89.70320000000001,"""0110""",0.1820673942565918
13,-90.974,"""0110""",0.18129253387451172
14,-90.39800000000001,"""0110""",0.1839008331298828
15,-97.6888,"""0110""",0.18182873725891113
16,-102.84740000000001,"""0110""",0.1820840835571289
17,-99.52040000000001,"""0110""",0.18343663215637207
18,-118.63820000000001,"""0110""",0.18182802200317383
19,-109.8182,"""0110""",0.18172001838684082
20,-97.5904,"""0110""",0.18090438842773438
21,-115.685,"""0110""",0.18746376037597656
22,-104.3952,"""0110""",0.21662068367004395
23,-117.28840000000001,"""0110""",0.18034768104553223
24,-110.38820000000001,"""0110""",0.18049049377441406
25,-119.4868,"""0110""",0.2061781883239746
26,-118.4924,"""0110""",0.1868903636932373
27,-131.9864,"""0110""",0.1823279857635498
28,-126.5622,"""0110""",0.18243050575256348
29,-127.2838,"""0110""",0.2088475227355957
30,-136.64260000000002,"""0110""",0.17991185188293457
31,-141.7628,"""0110""",0.18213200569152832
32,-131.8072,"""0110""",0.18184542655944824
33,-144.28,"""0110""",0.18090438842773438
34,-149.842,"""0110""",0.18006515502929688
35,-142.639,"""0110""",0.18088531494140625
36,-141.199,"""0110""",0.18378353118896484
37,-141.257,"""0110""",0.18215203285217285
38,-133.9198,"""0110""",0.18165040016174316
39,-138.2204,"""0110""",0.18106365203857422
40,-134.2866,"""0110""",0.20594191551208496
41,-135.00820000000002,"""0110""",0.18461036682128906
42,-136.179,"""0110""",0.18120074272155762
43,-140.6594,"""0110""",0.18074536323547363
44,-132.63760000000002,"""0110""",0.180314302444458
45,-139.2594,"""0110""",0.18049263954162598
46,-147.1798,"""0110""",0.18248510360717773
47,-149.1772,"""0110""",0.19635772705078125
48,-143.66240000000002,"""0110""",0.1804666519165039
49,-150.7476,"""0110""",0.18020892143249512
50,-148.4002,"""0110""",0.1875455379486084
51,-148.67940000000002,"""0110""",0.18409967422485352
52,-151.145,"""0110""",0.18227100372314453
53,-153.318,"""0110""",0.20755457878112793
54,-151.8788,"""0110""",0.19362592697143555
55,-152.9386,"""0110""",0.1820847988128662
56,-152.948,"""0110""",0.18038392066955566
57,-152.25820000000002,"""0110""",0.18192553520202637
58,-154.537,"""0110""",0.18140363693237305
59,-153.49960000000002,"""0110""",0.20038461685180664
60,-153.45420000000001,"""0110""",0.18169450759887695
61,-154.3022,"""0110""",0.1829681396484375
62,-154.61360000000002,"""0110""",0.18322277069091797
63,-154.03820000000002,"""0110""",0.18137884140014648
64,-153.5492,"""0110""",0.1808488368988037
65,-151.0958,"""0110""",0.18511152267456055
66,-151.8434,"""0110""",0.19330525398254395
67,-152.02280000000002,"""0110""",0.18303942680358887
68,-149.15300000000002,"""0110""",0.18101167678833008
69,-150.5928,"""0110""",0.18004179000854492
70,-154.4726,"""0110""",0.18098163604736328
71,-152.5238,"""0110""",0.1961216926574707
72,-151.1,"""0110""",0.1824650764465332
73,-153.18720000000002,"""0110""",0.18045473098754883
74,-151.2444,"""0110""",0.17997336387634277
75,-150.3526,"""0110""",0.18138837814331055
76,-150.228,"""0110""",0.2051258087158203
77,-150.2972,"""1001""",0.1812429428100586
78,-151.9,"""1001""",0.18058300018310547
79,-150.6318,"""0110""",0.18130970001220703
80,-151.9824,"""1001""",0.18195748329162598
81,-151.62380000000002,"""0110""",0.18395018577575684
82,-151.9314,"""0110""",0.18143272399902344
83,-150.5326,"""0110""",0.1815636157989502
84,-152.19240000000002,"""1001""",0.18053913116455078
85,-152.996,"""0110""",0.18136024475097656
86,-152.31300000000002,"""0110""",0.18148326873779297
87,-151.4138,"""0110""",0.18320727348327637
88,-147.9376,"""0110""",0.18273115158081055
89,-151.92260000000002,"""1001""",0.19198870658874512
90,-150.53740000000002,"""0110""",0.1818995475769043
91,-148.7692,"""0110""",0.18227744102478027
92,-148.9266,"""0110""",0.19281291961669922
93,-152.2414,"""0110""",0.18169593811035156
94,-151.7792,"""1001""",0.18272113800048828
95,-151.4752,"""1001""",0.1813950538635254
96,-150.3192,"""0110""",0.18744206428527832
97,-149.5326,"""0110""",0.18061161041259766
98,-150.3504,"""0110""",0.1823408603668213
99,-150.7538,"""0110""",0.18199896812438965
