iter,exp_value,best_result,iter_time
0,-269.2277,"""0001011000100100""",1.1782283782958984
1,-2305.9504,"""0100001101110010""",1.1730656623840332
2,-3167.1163,"""0100001101110010""",1.1608023643493652
3,-4010.2687,"""0100001100011011""",1.1746454238891602
4,-4613.7686,"""1100001100011010""",1.1432271003723145
5,-5427.0585,"""0100001100011001""",1.1454179286956787
6,-5846.4096,"""0100001110001001""",1.1442883014678955
7,-6567.0738,"""1110100101110111""",1.1565792560577393
8,-7920.8181,"""1110100100100011""",1.1416585445404053
9,-8883.4162,"""1110100100100011""",1.1556825637817383
10,-10461.656200000001,"""0110100100101100""",1.1697916984558105
11,-12507.669600000001,"""0100001010001001""",1.1578733921051025
12,-14870.4621,"""0100001010001001""",1.1422233581542969
13,-17084.094100000002,"""0100001010001001""",1.1436090469360352
14,-19031.188000000002,"""0110100000101100""",1.1699943542480469
15,-20554.0481,"""0001001010001001""",1.1485233306884766
16,-21695.964,"""0100001010001001""",1.1519484519958496
17,-22971.4738,"""0001001110001001""",1.1466786861419678
18,-24654.7313,"""0110100000101100""",1.1408562660217285
19,-26463.575,"""1001001010000110""",1.1742591857910156
20,-27834.8609,"""1100001010000110""",1.1438262462615967
21,-29379.4203,"""1001001010000110""",1.158872127532959
22,-30404.071,"""0110100000101100""",1.1533284187316895
23,-31502.879200000003,"""0011100000101100""",1.152475118637085
24,-31889.133,"""0110100000101100""",1.1874949932098389
25,-32092.9424,"""0011100100101100""",1.1400535106658936
26,-32283.8524,"""0011100000101100""",1.1428914070129395
27,-32741.275800000003,"""1001001110000110""",1.1433744430541992
28,-33047.259900000005,"""1001001010000110""",1.1654963493347168
29,-33289.9456,"""1001001110000110""",1.1418066024780273
30,-33525.7315,"""0011100000101100""",1.1757006645202637
31,-33513.4884,"""0010100000101100""",1.161329746246338
32,-33558.303,"""0010100000101100""",1.155759572982788
33,-33925.8117,"""0010100000101100""",1.1745517253875732
34,-33739.191,"""0010100000101100""",1.1525051593780518
35,-34145.2928,"""0010100000101100""",1.1719846725463867
36,-34280.584,"""0010100000101100""",1.1493170261383057
37,-34433.8517,"""0010100100101100""",1.14888596534729
38,-34508.8529,"""1000001010000110""",1.1491115093231201
39,-34894.0541,"""1000001110000110""",1.1480193138122559
40,-34873.9205,"""0010100000101100""",1.1775565147399902
41,-35364.262,"""1000001110000110""",1.1681640148162842
42,-35530.3906,"""1000001110000110""",1.1548216342926025
43,-35589.0931,"""0010100100101100""",1.1821541786193848
44,-35471.8408,"""0010100100101100""",1.1506249904632568
45,-35481.985400000005,"""1000001110000110""",1.1536378860473633
46,-35761.201700000005,"""0010100100101100""",1.1554086208343506
47,-35337.6589,"""1000001110000110""",1.1507973670959473
48,-35827.3619,"""0010100100101100""",1.1554133892059326
49,-35038.0613,"""1000001110000110""",1.1476776599884033
50,-36761.621,"""1000001110000110""",1.1701371669769287
51,-35801.4246,"""1000001110000110""",1.1690094470977783
52,-36509.6403,"""1000001110000110""",1.1544828414916992
53,-36820.6299,"""1000001110000110""",1.1732838153839111
54,-36417.2059,"""1000001110000110""",1.1641430854797363
55,-35819.4139,"""1000001110000110""",1.1659140586853027
56,-36918.469300000004,"""1000001110000110""",1.1639723777770996
57,-35735.1998,"""1000001110000110""",1.1545076370239258
58,-36968.8421,"""0010100100101100""",1.1674795150756836
59,-36494.8089,"""1000001110000110""",1.1772499084472656
60,-37871.083600000005,"""1000001110000110""",1.1490349769592285
61,-36859.058000000005,"""1000001110000110""",1.166435956954956
62,-38175.6299,"""0010100100101100""",1.1808204650878906
63,-37499.608400000005,"""1000001110000110""",1.1609506607055664
64,-38063.4286,"""0010100100101100""",1.146594762802124
65,-37142.0078,"""1000001110000110""",1.174849510192871
66,-38238.5199,"""0010100100101100""",1.1475467681884766
67,-37915.3298,"""1000001110000110""",1.1484951972961426
68,-37971.651300000005,"""1000001110000110""",1.1911201477050781
69,-37401.325600000004,"""1000001110000110""",1.1590368747711182
70,-37298.0463,"""1000001110000110""",1.1730632781982422
71,-37136.7794,"""1000001110000110""",1.1685454845428467
72,-37089.127,"""1000001110000110""",1.1447570323944092
73,-38094.1363,"""1000001110000110""",1.1742606163024902
74,-38350.4989,"""1000001110000110""",1.1603541374206543
75,-38470.991500000004,"""1000001010000110""",1.142275094985962
76,-38072.4573,"""1000001110000110""",1.157304048538208
77,-38096.9178,"""1000001010000110""",1.1513071060180664
78,-38534.6837,"""0010100100101100""",1.176328182220459
79,-38084.253000000004,"""1000001010000110""",1.1445798873901367
80,-38623.412000000004,"""1000001110000110""",1.1487255096435547
81,-38120.071800000005,"""1000001010000110""",1.1599276065826416
82,-38721.088800000005,"""1000001110000110""",1.1448779106140137
83,-38401.3501,"""1000001010000110""",1.1667282581329346
84,-38632.9803,"""0010100100101100""",1.1422703266143799
85,-38447.057100000005,"""1000001010000110""",1.1500670909881592
86,-38650.8508,"""0010100000101100""",1.148810863494873
87,-38560.4832,"""1000001110000110""",1.1604762077331543
88,-38544.089100000005,"""0010100000101100""",1.1471436023712158
89,-38667.984000000004,"""0010100100101100""",1.1431469917297363
90,-38564.7548,"""0010100000101100""",1.1455731391906738
91,-38386.8859,"""1000001110000110""",1.155061960220337
92,-38183.8864,"""0010100000101100""",1.1509838104248047
93,-37490.4158,"""1000001110000110""",1.1506621837615967
94,-38248.1102,"""0010100000101100""",1.1497013568878174
95,-38096.9464,"""1000001010000110""",1.1805620193481445
96,-38747.4873,"""1000001010000110""",1.1589124202728271
97,-38210.3329,"""1000001010000110""",1.1497786045074463
98,-38665.7952,"""0010100000101100""",1.154301643371582
99,-38214.144700000004,"""0010100000101100""",1.145873785018921
