iter,exp_value,best_result,iter_time
0,-48.342491149902344,"""0000""",0.052736759185791016
1,-135.03012084960938,"""1001""",0.05242586135864258
2,-166.29080200195312,"""1001""",0.05336785316467285
3,-175.60743713378906,"""1001""",0.05312967300415039
4,-217.13836669921875,"""1001""",0.05303692817687988
5,-197.9278106689453,"""0110""",0.05340409278869629
6,-320.1019287109375,"""1001""",0.05310344696044922
7,-321.078125,"""0110""",0.05361199378967285
8,-332.13421630859375,"""0110""",0.05419516563415527
9,-257.1991882324219,"""0110""",0.05381488800048828
10,-382.75396728515625,"""0110""",0.054007530212402344
11,-360.0582275390625,"""0110""",0.05310869216918945
12,-290.68218994140625,"""1001""",0.05407428741455078
13,-357.99420166015625,"""1001""",0.05375099182128906
14,-358.5657653808594,"""1001""",0.05383419990539551
15,-346.2967224121094,"""1001""",0.05399513244628906
16,-349.96063232421875,"""1001""",0.05421042442321777
17,-352.8870849609375,"""1001""",0.05762004852294922
18,-273.96771240234375,"""1001""",0.05422520637512207
19,-356.1695556640625,"""0110""",0.053830623626708984
20,-351.5198669433594,"""0110""",0.054221153259277344
21,-266.8974914550781,"""0110""",0.053253173828125
22,-216.93531799316406,"""0110""",0.05375480651855469
23,-140.32485961914062,"""0110""",0.05611848831176758
24,-209.29444885253906,"""0110""",0.05741286277770996
25,-208.1973876953125,"""0110""",0.05417680740356445
26,-255.68226623535156,"""0110""",0.053854942321777344
27,-284.48895263671875,"""1001""",0.054068803787231445
28,-248.30120849609375,"""0110""",0.053563594818115234
29,-193.29989624023438,"""1001""",0.05407094955444336
30,-182.7770538330078,"""1001""",0.05829286575317383
31,-187.23284912109375,"""0110""",0.05275249481201172
32,-320.327880859375,"""0110""",0.05372357368469238
33,-158.67176818847656,"""1001""",0.05376887321472168
34,-212.56875610351562,"""1001""",0.054012298583984375
35,-322.327880859375,"""1001""",0.05609130859375
36,-325.4517822265625,"""1001""",0.05371284484863281
37,-295.0511779785156,"""1001""",0.05431699752807617
38,-379.6387634277344,"""1001""",0.05361771583557129
39,-303.1422119140625,"""1001""",0.054021596908569336
40,-323.1393127441406,"""0110""",0.05359840393066406
41,-396.201416015625,"""0110""",0.05260324478149414
42,-407.86065673828125,"""0110""",0.05412697792053223
43,-536.52978515625,"""0110""",0.0534517765045166
44,-483.312744140625,"""1001""",0.05339789390563965
45,-283.3282470703125,"""0110""",0.0533289909362793
46,-307.4308776855469,"""0110""",0.05376315116882324
47,-396.03399658203125,"""0110""",0.05336737632751465
48,-424.6349182128906,"""0110""",0.05380511283874512
49,-295.90435791015625,"""0110""",0.05332136154174805
50,-378.73309326171875,"""0110""",0.05466103553771973
51,-313.6033020019531,"""0110""",0.052900075912475586
52,-437.34759521484375,"""0110""",0.05465435981750488
53,-429.60455322265625,"""0110""",0.05349326133728027
54,-450.4017333984375,"""1001""",0.05412745475769043
55,-412.2374572753906,"""0110""",0.05382966995239258
56,-370.86737060546875,"""1001""",0.054117441177368164
57,-441.23992919921875,"""1001""",0.05406641960144043
58,-482.4437255859375,"""1001""",0.05401921272277832
59,-387.7596435546875,"""1001""",0.05356907844543457
60,-487.93023681640625,"""1001""",0.053313255310058594
61,-458.3848571777344,"""0110""",0.05277585983276367
62,-437.55712890625,"""1001""",0.053374290466308594
63,-438.31890869140625,"""0110""",0.05424380302429199
64,-484.3141784667969,"""1001""",0.05363631248474121
65,-443.98321533203125,"""1001""",0.0537714958190918
66,-379.15496826171875,"""0110""",0.05386209487915039
67,-443.939697265625,"""1001""",0.05368351936340332
68,-263.760009765625,"""1001""",0.06354165077209473
69,-478.2041015625,"""0110""",0.0533289909362793
70,-444.7175598144531,"""1001""",0.05334615707397461
71,-350.4259033203125,"""1001""",0.05256080627441406
72,-530.9876708984375,"""1001""",0.06404447555541992
73,-486.9527893066406,"""0110""",0.05407428741455078
74,-415.4725646972656,"""1001""",0.05365800857543945
75,-451.1175537109375,"""1001""",0.05439114570617676
76,-417.659423828125,"""1001""",0.053636789321899414
77,-447.699951171875,"""0110""",0.05435895919799805
78,-442.7932434082031,"""0110""",0.05358624458312988
79,-472.7827453613281,"""1001""",0.06466150283813477
80,-454.26873779296875,"""0110""",0.053693294525146484
81,-404.56634521484375,"""1001""",0.053017377853393555
82,-426.8861083984375,"""1001""",0.059331655502319336
83,-469.671875,"""1001""",0.054810285568237305
84,-430.1150207519531,"""1001""",0.056437015533447266
85,-411.9368896484375,"""0110""",0.05449390411376953
86,-427.030029296875,"""0110""",0.053877830505371094
87,-409.6929626464844,"""0110""",0.053368330001831055
88,-450.0487060546875,"""1001""",0.05319952964782715
89,-390.577392578125,"""1001""",0.05288434028625488
90,-418.0299072265625,"""1001""",0.05642414093017578
91,-388.6672668457031,"""1001""",0.05283665657043457
92,-407.41363525390625,"""1001""",0.05356287956237793
93,-397.7117919921875,"""1001""",0.05370497703552246
94,-424.03448486328125,"""1001""",0.05354452133178711
95,-439.0778503417969,"""0110""",0.059866905212402344
96,-430.8128356933594,"""1001""",0.05464363098144531
97,-462.4447326660156,"""1001""",0.05376768112182617
98,-457.1956787109375,"""1001""",0.05419731140136719
99,-470.5054016113281,"""1001""",0.053511619567871094
