iter,exp_value,best_result,iter_time
0,-381.06600000000003,"""011100010""",0.3821444511413574
1,-602.1924,"""001101000""",0.3812100887298584
2,-776.836,"""011001110""",0.3800690174102783
3,-896.1434,"""011001110""",0.3774068355560303
4,-1187.5194000000001,"""010100001""",0.37799572944641113
5,-1609.6209000000001,"""010100001""",0.37770938873291016
6,-2162.3414000000002,"""010100001""",0.3961472511291504
7,-2628.1396,"""010100001""",0.37929415702819824
8,-2891.5702,"""010100001""",0.3812904357910156
9,-3107.3154,"""010100001""",0.3782064914703369
10,-3260.175,"""010100001""",0.38256096839904785
11,-3296.498,"""010100001""",0.38442540168762207
12,-3376.9822000000004,"""010100001""",0.4055619239807129
13,-3391.7124000000003,"""010100001""",0.3773167133331299
14,-3423.7578000000003,"""010100001""",0.3933837413787842
15,-3443.3002,"""010100001""",0.379258394241333
16,-3515.4301,"""010100001""",0.3909287452697754
17,-3557.0817,"""010100001""",0.3810873031616211
18,-3636.6593000000003,"""010100001""",0.3785398006439209
19,-3690.9086,"""010100001""",0.3821413516998291
20,-3804.9865,"""010100001""",0.38672614097595215
21,-3885.8117,"""010100001""",0.38384222984313965
22,-3992.4438,"""010100001""",0.37862396240234375
23,-4075.9795000000004,"""010100001""",0.37772369384765625
24,-4138.8178,"""010100001""",0.3821425437927246
25,-4202.1432,"""010100001""",0.37784862518310547
26,-4243.0741,"""010100001""",0.379589319229126
27,-4235.6195,"""010100001""",0.37776708602905273
28,-4261.0869,"""010100001""",0.38538193702697754
29,-4268.8631000000005,"""010100001""",0.379225492477417
30,-4286.6093,"""010100001""",0.3800063133239746
31,-4283.3431,"""100001000""",0.382718563079834
32,-4300.9363,"""010100001""",0.43131470680236816
33,-4291.4734,"""100001000""",0.37758445739746094
34,-4302.9573,"""010100001""",0.37651920318603516
35,-4303.903600000001,"""100001000""",0.3791694641113281
36,-4307.766500000001,"""010100001""",0.3902120590209961
37,-4319.7997000000005,"""100001000""",0.3795511722564697
38,-4317.3357000000005,"""010100001""",0.37975120544433594
39,-4318.9968,"""010100001""",0.3769683837890625
40,-4320.7373,"""010100001""",0.3794369697570801
41,-4318.116300000001,"""010100001""",0.4227886199951172
42,-4312.9622,"""010100001""",0.38721227645874023
43,-4308.2036,"""010100001""",0.37889695167541504
44,-4304.5846,"""010100001""",0.39702486991882324
45,-4307.953,"""010100001""",0.37883663177490234
46,-4311.162,"""010100001""",0.37566113471984863
47,-4308.2652,"""010100001""",0.37631988525390625
48,-4309.564,"""010100001""",0.3792703151702881
49,-4304.461,"""010100001""",0.3772761821746826
50,-4274.020100000001,"""010100001""",0.37801194190979004
51,-4251.8154,"""100001000""",0.38800740242004395
52,-4237.0692,"""010100001""",0.39077329635620117
53,-4252.5595,"""100001000""",0.3778340816497803
54,-4262.7394,"""010100001""",0.3779163360595703
55,-4297.4397,"""100001000""",0.3775153160095215
56,-4290.34,"""010100001""",0.37753891944885254
57,-4306.3972,"""100001000""",0.37834835052490234
58,-4305.8569,"""010100001""",0.3872106075286865
59,-4313.4947,"""010100001""",0.37944865226745605
60,-4297.9583,"""010100001""",0.379225492477417
61,-4315.1714,"""010100001""",0.3822643756866455
62,-4302.1331,"""010100001""",0.37712812423706055
63,-4302.8213000000005,"""010100001""",0.3882744312286377
64,-4301.4076000000005,"""010100001""",0.3767416477203369
65,-4306.128900000001,"""010100001""",0.3776428699493408
66,-4313.722400000001,"""010100001""",0.3801438808441162
67,-4301.7869,"""010100001""",0.37880969047546387
68,-4309.7477,"""010100001""",0.38066649436950684
69,-4308.9181,"""010100001""",0.38090085983276367
70,-4305.3363,"""010100001""",0.3771860599517822
71,-4313.9651,"""010100001""",0.3795948028564453
72,-4304.6113000000005,"""010100001""",0.3866727352142334
73,-4310.0806,"""010100001""",0.3755016326904297
74,-4289.9113,"""010100001""",0.38541245460510254
75,-4299.3587,"""010100001""",0.3786783218383789
76,-4272.9956,"""100001000""",0.3773829936981201
77,-4270.9941,"""010100001""",0.37609100341796875
78,-4261.7408000000005,"""100001000""",0.37694692611694336
79,-4286.6462,"""010100001""",0.38228535652160645
80,-4269.8957,"""100001000""",0.37704014778137207
81,-4290.0557,"""010100001""",0.3822348117828369
82,-4290.2011,"""100001000""",0.37729930877685547
83,-4287.886100000001,"""010100001""",0.3754699230194092
84,-4299.0481,"""010100001""",0.3797438144683838
85,-4261.708500000001,"""010100001""",0.3747539520263672
86,-4304.1024,"""100001000""",0.3761732578277588
87,-4286.349,"""010100001""",0.37715816497802734
88,-4311.1062,"""010100001""",0.37716245651245117
89,-4299.2935,"""010100001""",0.38088321685791016
90,-4314.2649,"""010100001""",0.38251185417175293
91,-4308.033,"""010100001""",0.38427233695983887
92,-4322.759,"""010100001""",0.3793485164642334
93,-4310.1445,"""010100001""",0.3773033618927002
94,-4321.6841,"""010100001""",0.3808555603027344
95,-4299.3545,"""010100001""",0.38755106925964355
96,-4291.3728,"""010100001""",0.3789064884185791
97,-4268.7707,"""010100001""",0.38458943367004395
98,-4277.0476,"""100001000""",0.3789219856262207
99,-4253.7687000000005,"""010100001""",0.3961067199707031
