iter,exp_value,best_result,iter_time
0,-36.0608,"""0010""",0.03510594367980957
1,-63.8006,"""0010""",0.03368687629699707
2,-90.839,"""0010""",0.03038311004638672
3,-112.62880000000001,"""0010""",0.030224323272705078
4,-132.3726,"""0010""",0.02988600730895996
5,-149.8162,"""0010""",0.030003070831298828
6,-163.77360000000002,"""1001""",0.02991461753845215
7,-177.04860000000002,"""1001""",0.029805898666381836
8,-187.7782,"""1001""",0.029651165008544922
9,-197.81560000000002,"""1001""",0.029895544052124023
10,-206.77380000000002,"""1001""",0.029832839965820312
11,-215.19160000000002,"""1001""",0.03251767158508301
12,-223.0616,"""1001""",0.030628442764282227
13,-229.5446,"""1001""",0.029981136322021484
14,-234.96460000000002,"""1001""",0.02996993064880371
15,-240.59300000000002,"""1001""",0.02959132194519043
16,-245.2228,"""1001""",0.029850006103515625
17,-249.62560000000002,"""1001""",0.02954578399658203
18,-253.6586,"""1001""",0.029622554779052734
19,-257.8438,"""1001""",0.029615402221679688
20,-261.1104,"""1001""",0.02971935272216797
21,-264.1104,"""1001""",0.03284287452697754
22,-266.6268,"""1001""",0.030510425567626953
23,-268.764,"""1001""",0.03077077865600586
24,-270.65160000000003,"""1001""",0.030649662017822266
25,-272.3532,"""1001""",0.03198051452636719
26,-273.68420000000003,"""1001""",0.03187131881713867
27,-275.015,"""1001""",0.03200578689575195
28,-275.9348,"""1001""",0.03138232231140137
29,-277.3218,"""1001""",0.031239986419677734
30,-278.2656,"""1001""",0.03164410591125488
31,-278.78180000000003,"""1001""",0.03346109390258789
32,-279.2094,"""1001""",0.03171944618225098
33,-279.78200000000004,"""1001""",0.0317227840423584
34,-280.1048,"""1001""",0.03083968162536621
35,-280.5886,"""1001""",0.03067922592163086
36,-280.65340000000003,"""1001""",0.031123638153076172
37,-280.9918,"""1001""",0.030590295791625977
38,-281.0244,"""1001""",0.030976533889770508
39,-281.3306,"""1001""",0.03134322166442871
40,-281.3632,"""1001""",0.031263113021850586
41,-281.5726,"""1001""",0.03413891792297363
42,-281.4842,"""1001""",0.033355712890625
43,-281.8548,"""1001""",0.030755043029785156
44,-281.6778,"""1001""",0.030873537063598633
45,-281.8952,"""1001""",0.035303354263305664
46,-281.7262,"""1001""",0.035033464431762695
47,-281.9194,"""1001""",0.04157447814941406
48,-281.7746,"""1001""",0.03127408027648926
49,-282.0,"""1001""",0.03168129920959473
50,-281.7746,"""1001""",0.034853219985961914
51,-281.8872,"""1001""",0.03383493423461914
52,-281.7746,"""1001""",0.03911280632019043
53,-281.62940000000003,"""1001""",0.030933856964111328
54,-280.687,"""1001""",0.03113555908203125
55,-280.37260000000003,"""1001""",0.031213760375976562
56,-281.5088,"""1001""",0.03184247016906738
57,-281.7986,"""1001""",0.03205466270446777
58,-281.7746,"""1001""",0.030863285064697266
59,-282.0,"""1001""",0.031505584716796875
60,-281.7746,"""1001""",0.031244277954101562
61,-282.0,"""1001""",0.03379106521606445
62,-281.7746,"""1001""",0.03132748603820801
63,-282.0,"""1001""",0.03138422966003418
64,-281.7746,"""1001""",0.03287005424499512
65,-282.0,"""1001""",0.03159332275390625
66,-281.7746,"""1001""",0.03207755088806152
67,-282.0,"""1001""",0.032193660736083984
68,-281.7182,"""1001""",0.03179597854614258
69,-282.0,"""1001""",0.03233194351196289
70,-281.7746,"""1001""",0.031441688537597656
71,-281.9678,"""1001""",0.03400421142578125
72,-281.7182,"""1001""",0.03245282173156738
73,-282.0,"""1001""",0.03359794616699219
74,-281.7182,"""1001""",0.03153562545776367
75,-281.9758,"""1001""",0.03126120567321777
76,-281.6698,"""1001""",0.03274846076965332
77,-281.8148,"""1001""",0.03837466239929199
78,-281.6376,"""1001""",0.041252851486206055
79,-281.8308,"""1001""",0.03460288047790527
80,-281.7504,"""1001""",0.03248310089111328
81,-281.8148,"""1001""",0.03411722183227539
82,-281.7504,"""1001""",0.0324857234954834
83,-281.8308,"""1001""",0.03936409950256348
84,-281.7504,"""1001""",0.03217363357543945
85,-281.9758,"""1001""",0.03449583053588867
86,-281.7262,"""1001""",0.03437662124633789
87,-281.9356,"""1001""",0.032711029052734375
88,-281.7826,"""1001""",0.030859708786010742
89,-281.9356,"""1001""",0.035126686096191406
90,-281.8148,"""1001""",0.03414130210876465
91,-281.8712,"""1001""",0.03297924995422363
92,-281.5168,"""1001""",0.031159639358520508
93,-281.5328,"""1001""",0.03167390823364258
94,-280.5822,"""1001""",0.03146171569824219
95,-280.7916,"""1001""",0.030426025390625
96,-281.1462,"""1001""",0.03107619285583496
97,-281.6698,"""1001""",0.03044295310974121
98,-281.8148,"""1001""",0.030143022537231445
99,-281.9356,"""1001""",0.030057191848754883
100,-267.18260000000004,"""1001""",0.03543400764465332
101,-281.9114,"""1001""",0.033251047134399414
102,-281.84700000000004,"""1001""",0.03081965446472168
103,-281.9114,"""1001""",0.03125333786010742
104,-281.9114,"""1001""",0.032117366790771484
105,-281.9114,"""1001""",0.03072047233581543
106,-281.9114,"""1001""",0.03092169761657715
107,-281.9114,"""1001""",0.03050088882446289
108,-281.9114,"""1001""",0.030345678329467773
109,-281.9114,"""1001""",0.03923177719116211
110,-281.9114,"""1001""",0.03214454650878906
111,-281.9114,"""1001""",0.03451180458068848
112,-281.9114,"""1001""",0.030890941619873047
113,-281.9114,"""1001""",0.030835628509521484
114,-281.9114,"""1001""",0.030326366424560547
115,-281.9114,"""1001""",0.030269384384155273
116,-281.9114,"""1001""",0.030501842498779297
117,-281.9114,"""1001""",0.03073859214782715
118,-281.9114,"""1001""",0.030343294143676758
119,-281.9114,"""1001""",0.029948711395263672
120,-281.9114,"""1001""",0.030905485153198242
121,-281.9114,"""1001""",0.035991668701171875
122,-281.9114,"""1001""",0.0402829647064209
123,-281.9114,"""1001""",0.03560614585876465
124,-281.9114,"""1001""",0.03163552284240723
125,-281.9114,"""1001""",0.03132009506225586
126,-281.9114,"""1001""",0.0315546989440918
127,-281.9114,"""1001""",0.033585309982299805
128,-281.9356,"""1001""",0.04278087615966797
129,-281.855,"""1001""",0.031151771545410156
130,-281.9356,"""1001""",0.030769824981689453
131,-281.8066,"""1001""",0.033104896545410156
132,-281.9356,"""1001""",0.030579090118408203
133,-281.726,"""1001""",0.029970645904541016
134,-281.9436,"""1001""",0.03026127815246582
135,-281.4844,"""1001""",0.03182339668273926
136,-281.5732,"""1001""",0.04049277305603027
137,-281.00960000000003,"""1001""",0.03129386901855469
138,-281.4604,"""1001""",0.03171396255493164
139,-281.5972,"""1001""",0.031427621841430664
140,-281.718,"""1001""",0.030570507049560547
141,-281.54900000000004,"""1001""",0.03268074989318848
142,-281.3878,"""1001""",0.03908872604370117
143,-281.3636,"""1001""",0.03450751304626465
144,-281.7826,"""1001""",0.03543257713317871
145,-281.57280000000003,"""1001""",0.03551149368286133
146,-281.8954,"""1001""",0.03328895568847656
147,-281.339,"""1001""",0.04033946990966797
148,-281.9114,"""1001""",0.039302825927734375
149,-281.5486,"""1001""",0.030781269073486328
150,-281.9356,"""1001""",0.031232118606567383
151,-281.718,"""1001""",0.03312849998474121
152,-281.9356,"""1001""",0.03248262405395508
153,-281.79060000000004,"""1001""",0.03235363960266113
154,-281.8712,"""1001""",0.03930974006652832
155,-281.65360000000004,"""1001""",0.031220674514770508
156,-281.855,"""1001""",0.03091740608215332
157,-281.8148,"""1001""",0.035100698471069336
158,-281.855,"""1001""",0.03381466865539551
159,-281.7584,"""1001""",0.03491806983947754
160,-281.8872,"""1001""",0.042281150817871094
161,-281.7746,"""1001""",0.04462480545043945
162,-281.855,"""1001""",0.03889322280883789
163,-281.6618,"""1001""",0.031052350997924805
164,-281.6132,"""1001""",0.03514409065246582
165,-281.855,"""1001""",0.03249382972717285
166,-281.10560000000004,"""1001""",0.03182649612426758
167,-280.848,"""1001""",0.03220629692077637
168,-280.7514,"""1001""",0.032640695571899414
169,-281.68600000000004,"""1001""",0.03257322311401367
170,-281.6938,"""1001""",0.030553579330444336
171,-281.6538,"""1001""",0.03467154502868652
172,-281.7986,"""1001""",0.03043222427368164
173,-281.68600000000004,"""1001""",0.030481338500976562
174,-281.8872,"""1001""",0.030089616775512695
175,-281.7504,"""1001""",0.030366897583007812
176,-281.6132,"""1001""",0.030765056610107422
177,-281.7262,"""1001""",0.03040933609008789
178,-281.6696,"""1001""",0.03770160675048828
179,-281.7504,"""1001""",0.03458452224731445
180,-281.8066,"""1001""",0.035089731216430664
181,-281.7182,"""1001""",0.038558244705200195
182,-281.7744,"""1001""",0.0370941162109375
183,-281.7504,"""1001""",0.03374528884887695
184,-281.7422,"""1001""",0.04526662826538086
185,-281.7182,"""1001""",0.03058028221130371
186,-281.71000000000004,"""1001""",0.03799271583557129
187,-281.6538,"""1001""",0.03271031379699707
188,-281.855,"""1001""",0.03077411651611328
189,-281.855,"""1001""",0.03667402267456055
190,-281.855,"""1001""",0.03254079818725586
191,-281.855,"""1001""",0.04205203056335449
192,-281.8308,"""1001""",0.030156850814819336
193,-281.82280000000003,"""1001""",0.03881096839904785
194,-281.9194,"""1001""",0.030791282653808594
195,-281.855,"""1001""",0.030588388442993164
196,-281.9194,"""1001""",0.0305783748626709
197,-281.79060000000004,"""1001""",0.030021190643310547
198,-281.9194,"""1001""",0.029952049255371094
199,-281.82280000000003,"""1001""",0.02994227409362793
