iter,exp_value,best_result,iter_time
0,-1954.1173000000001,"""100000011""",0.12134122848510742
1,-2412.5833000000002,"""000011100""",0.12096548080444336
2,-2651.1165,"""000011100""",0.11804056167602539
3,-2770.7546,"""000011100""",0.11794877052307129
4,-2829.0966000000003,"""000011100""",0.11802864074707031
5,-2856.8508,"""000011100""",0.11723065376281738
6,-2869.2333000000003,"""000011100""",0.11742782592773438
7,-2874.5934,"""000011100""",0.1169288158416748
8,-2877.0871,"""000011100""",0.11730575561523438
9,-2878.4016,"""000011100""",0.11708331108093262
10,-2880.0751,"""000011100""",0.11723875999450684
11,-2880.4294,"""000011100""",0.12512493133544922
12,-2880.8343,"""000011100""",0.117095947265625
13,-2879.9466,"""000011100""",0.118621826171875
14,-2880.9693,"""000011100""",0.11798977851867676
15,-2880.9631,"""000011100""",0.1181650161743164
16,-2881.5119,"""000011100""",0.11780238151550293
17,-2881.4603,"""000011100""",0.11846566200256348
18,-2881.9673000000003,"""000011100""",0.12302803993225098
19,-2882.3056,"""000011100""",0.12019729614257812
20,-2882.1943,"""000011100""",0.11852765083312988
21,-2882.1757000000002,"""000011100""",0.12122011184692383
22,-2882.3533,"""000011100""",0.11868786811828613
23,-2882.203,"""000011100""",0.11735916137695312
24,-2881.4214,"""000011100""",0.11908555030822754
25,-2882.3075000000003,"""000011100""",0.11766982078552246
26,-2882.1065000000003,"""000011100""",0.1435861587524414
27,-2882.8291,"""000011100""",0.11719107627868652
28,-2882.9751,"""000011100""",0.11845016479492188
29,-2882.9311000000002,"""000011100""",0.11891055107116699
30,-2883.6654000000003,"""000011100""",0.11702656745910645
31,-2883.7455,"""000011100""",0.12149715423583984
32,-2883.8439000000003,"""000011100""",0.11720919609069824
33,-2883.5101,"""000011100""",0.12439560890197754
34,-2883.7042,"""000011100""",0.11774253845214844
35,-2883.6948,"""000011100""",0.11675047874450684
36,-2883.4956,"""000011100""",0.11721587181091309
37,-2883.1622,"""000011100""",0.11537051200866699
38,-2883.1656000000003,"""000011100""",0.11675381660461426
39,-2883.9009,"""000011100""",0.11635160446166992
40,-2883.3428000000004,"""000011100""",0.11752438545227051
41,-2884.2371000000003,"""000011100""",0.12105011940002441
42,-2883.3782,"""000011100""",0.11665225028991699
43,-2884.3179,"""000011100""",0.11825251579284668
44,-2883.0080000000003,"""000011100""",0.11784529685974121
45,-2884.2164000000002,"""000011100""",0.1244821548461914
46,-2880.2596000000003,"""000011100""",0.12702631950378418
47,-2884.0772,"""000011100""",0.11739516258239746
48,-2881.6115,"""100000011""",0.1168222427368164
49,-2884.5224000000003,"""100000011""",0.11756634712219238
50,-2882.0942,"""100000011""",0.11721181869506836
51,-2884.7290000000003,"""100000011""",0.12080144882202148
52,-2881.8518,"""100000011""",0.11673927307128906
53,-2883.8818,"""100000011""",0.1174764633178711
54,-2882.8702000000003,"""100000011""",0.1175687313079834
55,-2884.0444,"""100000011""",0.11728811264038086
56,-2882.7329,"""100000011""",0.13234829902648926
57,-2884.3618,"""100000011""",0.1178135871887207
58,-2883.3635,"""100000011""",0.12051820755004883
59,-2884.8211,"""100000011""",0.11799120903015137
60,-2883.2145,"""100000011""",0.11796736717224121
61,-2883.8508,"""100000011""",0.12225675582885742
62,-2882.6918,"""100000011""",0.11715817451477051
63,-2883.8882000000003,"""100000011""",0.11763262748718262
64,-2880.7098,"""100000011""",0.11757349967956543
65,-2883.6318,"""100000011""",0.11738419532775879
66,-2882.0071000000003,"""100000011""",0.11771392822265625
67,-2883.3708,"""100000011""",0.12021255493164062
68,-2882.1957,"""100000011""",0.11832165718078613
69,-2883.6902,"""100000011""",0.11896395683288574
70,-2882.5304,"""100000011""",0.11980032920837402
71,-2883.7625000000003,"""100000011""",0.1255638599395752
72,-2882.9625,"""100000011""",0.11714553833007812
73,-2883.2657,"""100000011""",0.11992406845092773
74,-2882.7054000000003,"""100000011""",0.11804008483886719
75,-2882.4518000000003,"""100000011""",0.11777472496032715
76,-2881.3237,"""100000011""",0.11821913719177246
77,-2882.3262,"""100000011""",0.11690258979797363
78,-2878.7333000000003,"""100000011""",0.11744308471679688
79,-2880.5046,"""100000011""",0.12954974174499512
80,-2875.3544,"""100000011""",0.11710262298583984
81,-2880.8037,"""100000011""",0.12006568908691406
82,-2876.3475000000003,"""100000011""",0.11722517013549805
83,-2882.521,"""100000011""",0.11841011047363281
84,-2881.2690000000002,"""100000011""",0.11875152587890625
85,-2882.2674,"""100000011""",0.11849164962768555
86,-2880.3193,"""100000011""",0.1180732250213623
87,-2884.6615,"""100000011""",0.11686182022094727
88,-2882.106,"""100000011""",0.11804842948913574
89,-2883.6698,"""100000011""",0.11819171905517578
90,-2882.7540000000004,"""100000011""",0.11914539337158203
91,-2880.5754,"""100000011""",0.12048816680908203
92,-2881.6388,"""100000011""",0.1167140007019043
93,-2877.3837000000003,"""100000011""",0.11696577072143555
94,-2881.6673,"""100000011""",0.13236665725708008
95,-2877.4264000000003,"""100000011""",0.12038350105285645
96,-2881.5764,"""100000011""",0.11755752563476562
97,-2879.7001,"""100000011""",0.11747860908508301
98,-2883.7896,"""100000011""",0.11726856231689453
99,-2881.7125,"""100000011""",0.11756610870361328
