iter,exp_value,best_result,iter_time
0,-55698.7890625,"""0110011011100100100000100001100100000110101100100""",9.586313724517822
1,-86438.09375,"""0001100100011011001010001011001110000110011001000""",10.935083389282227
2,-108289.1484375,"""1100110001001110011111100001110001111001101100010""",10.123305320739746
3,-124839.453125,"""1011001110110001100000011110001110010011000110111""",10.118905305862427
4,-139170.59375,"""0100110001001110011101110100100111011000111001101""",10.11353874206543
5,-153129.09375,"""1100110011100100110010001011100111001101101100010""",10.11246919631958
6,-166165.6875,"""0011001100011011001101110100011000110010010011100""",10.114100217819214
7,-177356.140625,"""1011001100011011001101110100011000101101100110011""",10.121004104614258
8,-186435.609375,"""0011001100011011001100110100011000110010010011100""",10.114469528198242
9,-193211.328125,"""0011001100011001100110011110110010000110011001100""",10.124061346054077
10,-198708.3125,"""1011001100011001100110011110110010001101101100011""",10.12276577949524
11,-205049.734375,"""1011001100011001100110011110110010000111000110011""",10.914475917816162
12,-209876.15625,"""1100110011100110011001100001001101100111000110110""",10.120984077453613
13,-213821.796875,"""0100110011100110011001100001001101111000110011001""",10.120827436447144
14,-217217.5,"""1100110011100110011001100001001101100111000110110""",10.1170175075531
15,-220122.09375,"""1011001100011001100110011110110010000111001100011""",10.119393587112427
16,-222705.3125,"""0011001100011001100110011110110010011000110011100""",10.122080564498901
17,-225594.703125,"""0011001100011001100110011110110010001100110011100""",10.11790418624878
18,-228097.171875,"""1011001100011001100110011110110010011001101100011""",10.127111911773682
19,-229990.03125,"""1100110011100110011001100001001101110001100110110""",10.118903398513794
20,-231383.65625,"""1100110011100110011001100001001101100101100110110""",10.1231210231781
21,-232594.984375,"""0100110011100110011001100001001101110000110011001""",10.934317827224731
22,-233789.34375,"""1100110011100110011001100001001101100101100110110""",10.108555555343628
23,-235098.34375,"""1100110011100110011001100001001101100101100110110""",10.115968942642212
24,-236824.96875,"""1011001100011001100110011110110010011011001100011""",10.119104862213135
25,-238821.59375,"""1100110011100100110011001011100111001110011000110""",10.117541313171387
26,-240779.21875,"""1100110011100100110011001011100111001110011000110""",10.12004041671753
27,-242801.25,"""1100110011100100110011001011100111001110011000110""",10.116866827011108
28,-244565.765625,"""1011001100011011001100110100011000110000111000011""",10.121294260025024
29,-246905.453125,"""1100110011100100110011001011100111001111000110110""",10.121591806411743
30,-250114.515625,"""0100110011100100110011001011100111001111001101001""",10.119462728500366
31,-254921.59375,"""1100110011100100111001100001001101110000110010110""",10.901718854904175
32,-260886.6875,"""1100110011100100110011001011100110011001100110110""",10.12295937538147
33,-266020.0625,"""1100110011100100110011001011100111011000110010110""",10.119303703308105
34,-271310.625,"""1100110011100100110011001011100110011001100110110""",10.125204086303711
35,-274147.375,"""1100110011100100110011001110110010001111000110110""",10.121737241744995
36,-275337.875,"""1100110011100100110011001110110011001110010010110""",10.120706558227539
37,-277648.9375,"""1011001100011011001100110001001101110000111000011""",10.123435974121094
38,-279581.3125,"""1011001100011011001100110001001100110011001100011""",10.118202924728394
39,-281621.8125,"""1100110011100100110011001110110010001100110010110""",10.121800184249878
40,-283699.78125,"""0100110011100100110011001110110011001101101101001""",10.124317407608032
41,-286010.3125,"""1011001100011011001100110001001100100111001100011""",10.9340238571167
42,-288388.84375,"""1011001100011011001100110001001100110010011000011""",10.122063398361206
43,-290501.875,"""0011001100011011001100110001001100100111000111100""",10.123173952102661
44,-292310.8125,"""1100110011100100110011001110110011001100110010110""",10.121715068817139
45,-293956.09375,"""0011001100011011001100110001001100100111001101100""",10.115890979766846
46,-295083.625,"""1011001100011011001100110001001101100110011000011""",10.118364334106445
47,-295683.28125,"""1100110011100100110011001110110011011000110010110""",10.111361742019653
48,-295873.4375,"""1100110011100100110011001110110010011001100110110""",10.116716384887695
49,-295553.59375,"""1100110001001110011001100100011001110000110010110""",10.119311332702637
50,-295381.8125,"""0011001100011001100110011011100111001100110011100""",10.120296478271484
51,-295793.90625,"""1100110001001110011001100100011001110000110010110""",10.934930324554443
52,-296051.96875,"""1011001100011001100110011011100111001100111000011""",10.124013423919678
53,-296071.8125,"""0100110001001110011001100100011001110000111001001""",10.118751049041748
54,-295954.5,"""1011001100011001100110011011100111001100111000011""",10.126415014266968
55,-295721.8125,"""0100110001001110011001100100011001110000111001001""",10.122693538665771
56,-295417.875,"""1100110011100110011001100100011000110011000110110""",10.118800163269043
57,-295302.53125,"""1011001110110001100110011011100110001111001100011""",10.117896556854248
58,-295584.6875,"""1100110011100110011001100100011000110011000110110""",10.123452425003052
59,-295926.96875,"""0100110001001110011001100100011001110000111001001""",10.120042324066162
60,-296072.3125,"""1011001100011001100110011011100111001100111000011""",10.12232780456543
61,-295992.15625,"""1100110001001110011001100100011001110000110010110""",10.949013948440552
62,-295784.1875,"""0011001100011011001100110001001101100110010011100""",10.122053623199463
63,-295601.25,"""1100110001001110011001100100011001110010010010110""",10.119254112243652
64,-295539.53125,"""0011001100011011001100110001001101100110010011100""",10.118467092514038
65,-295667.625,"""0011001110110001100110011011100110001101100011100""",10.113702058792114
66,-295842.5,"""0100110011100100110011001110110010011001101001001""",10.12226676940918
