iter,exp_value,best_result,iter_time
0,-4447.97509765625,"""1100101001000011110001100110010101110001110001010""",19.804229259490967
1,-12753.224609375,"""1100011010000110000011001100111100101100101011110""",20.389324188232422
2,-16456.1796875,"""1110110001001100111100110000100010001100101100110""",20.348745107650757
3,-17479.26953125,"""1001101110110110110001011011101001010011010001111""",20.87180781364441
4,-25226.037109375,"""0110111011011001101000011111011010010001100100011""",20.87485432624817
5,-31013.330078125,"""0110010101110011010111100000100110000110000001110""",20.887115955352783
6,-31887.0078125,"""0011100011001000111101001011011000000110010110110""",20.890361547470093
7,-35439.734375,"""1110010110011001011011001101110011010011101100110""",20.87619161605835
8,-50950.875,"""0100101001100110001110011110010110101100111100011""",20.887537240982056
9,-61503.3515625,"""0100111011010011000010110011000011111001000110110""",20.893195152282715
10,-65737.859375,"""1100111011010011000010110011000011111001101001001""",20.883594036102295
11,-74150.6171875,"""0100111011010011000010110011000011111001101001001""",21.419611930847168
12,-80456.6171875,"""0011000100101100111101001100111000000110010110011""",20.3590567111969
13,-85272.46875,"""1011010110011001011010110011000111111001101001001""",20.892995595932007
14,-86943.2890625,"""1100001001101100001111100110010110101100010011011""",20.891258478164673
15,-91467.890625,"""1001111100110011110000011001000111111001000110001""",20.895504474639893
16,-91163.375,"""0011000100101100111100110011000111110011101100011""",20.881585836410522
17,-94113.421875,"""1011000100101100111100001110011010001100010011100""",20.890697479248047
18,-97655.8203125,"""1001101110000111110000011001100101110011101100011""",20.869219064712524
19,-105375.671875,"""1001101110000110010111001100111100001100111100011""",20.878406524658203
20,-112532.515625,"""0001101110000111110000110011000111110011000011100""",20.904632806777954
21,-110262.6953125,"""0001101110000111110000110011000011110011000011100""",21.44679546356201
22,-117502.9140625,"""0011000100101101011010011001101101011001000110011""",20.358215808868408
23,-119978.71875,"""0001101110000111110000110011000111110011001001100""",20.895143270492554
24,-117154.734375,"""0100111011010010100101100110010110100110010110110""",20.8924720287323
25,-123962.6796875,"""1110010001111000001111001100111100000110010110110""",20.893709897994995
26,-125667.328125,"""1001101110000111110000110011000011111001000110011""",20.879180431365967
27,-129910.1640625,"""0011000100101101011010011001101001010011101100011""",20.88376498222351
28,-127231.5859375,"""1110100001100110010111001100111100001100010011100""",20.88726043701172
29,-132995.640625,"""1110100001100110010111001100111100001100111100110""",20.872983932495117
30,-129596.515625,"""0110010001101101101001100110010110100110111001001""",20.881487131118774
31,-133205.4375,"""1110010001101101011010011001101001011001000110110""",20.906009435653687
32,-134894.6875,"""0001101011001100111101100110010110101100010011100""",20.362385988235474
33,-130869.078125,"""1110100100111010010110011001011010001100010011100""",20.89801287651062
34,-136452.15625,"""0110100100111010010110011001011010001100111100011""",20.861027479171753
35,-146209.6875,"""1110100100111010010110011001011010001100010011100""",20.887672662734985
36,-138927.0,"""0110100100111010010111001100001111010011101100011""",20.853638172149658
37,-141475.6875,"""0100111110011011110000110011110000100110010110110""",20.894593715667725
38,-130411.9296875,"""0100111110011011110000110011110000100110111001100""",20.85851526260376
39,-138242.375,"""1100111110011001101000110001010110100110111001001""",20.888038396835327
40,-134092.421875,"""0011000001100100001111001110101001011001000110011""",20.857175588607788
41,-135916.3125,"""1100111110011011110000110011100101111001101001001""",20.93269109725952
42,-141151.890625,"""0110010100110001011010011001001111010011000011001""",20.363500595092773
43,-147983.4375,"""1110010100110001011010011001001111010011101100110""",20.90466070175171
44,-152128.96875,"""1011000001100100001111001100011010001100010011100""",20.886600255966187
45,-155085.75,"""1110010100110001011010011001001111010011101100110""",20.89699649810791
46,-151109.09375,"""0110010100110001011010011001001111011001101001001""",20.89302921295166
47,-146396.6875,"""1110010100110001011010011001001111010011101100110""",20.88934564590454
48,-150265.484375,"""0100111110011011110000110011000111110011000011110""",20.888737440109253
49,-146161.8125,"""0110010100110001011010110001101001011001100011001""",20.890758991241455
50,-149332.34375,"""0001101011001110100101001110010110100110111001100""",20.88514018058777
51,-153368.59375,"""1011000001100100001111001100110000101100010011100""",20.90161895751953
52,-150645.171875,"""1100111110011011110000011011000011110011001001001""",20.372666120529175
53,-153223.859375,"""0011000001100100001111001100010110100110111001011""",20.89317035675049
54,-154013.671875,"""0001101011001110100101100110111100000110111001100""",20.86654281616211
55,-164359.953125,"""0011000001100100001111100100011010000110011100011""",20.894243478775024
56,-166529.265625,"""0011000001100100001111001100010110100110011100011""",20.86108899116516
57,-174242.296875,"""1001101011001110100101100110111100001100110110011""",20.890947341918945
58,-166816.09375,"""1100111110011011110000110011101001010011101100001""",20.861292600631714
59,-166159.1875,"""1110010100110001011010011001000011110011101100110""",20.892151832580566
60,-171064.9375,"""0011000001100100001111001100010110100110011100011""",20.848430395126343
61,-175168.8125,"""1110010100110001011010011001000011110011101100110""",20.931342840194702
62,-174970.84375,"""1110010100110001011010011001000011110011101100110""",20.37125563621521
63,-173889.78125,"""1100111110011011110000110011101001011001100011001""",20.889714241027832
64,-177743.6875,"""0110010100110001011010011001000011110011001001001""",20.89275860786438
65,-175154.3125,"""1100111110011011110000110011101101011001100011001""",20.89950442314148
66,-176055.90625,"""1011000001100100001111001100010010100110111001100""",20.901033639907837
67,-180416.578125,"""0011000001100100001111001100010010100110011100011""",20.911768674850464
68,-172859.5,"""1011110100110001011010011011101101011001000110011""",20.899729251861572
69,-169555.375,"""0110100100111010010111001100110000101100010011100""",20.894977807998657
70,-172414.65625,"""1110100100111010010111100100111000001100010011100""",20.907197952270508
71,-167632.65625,"""0011110001101111000011001110111000001100010011001""",20.919501781463623
72,-171457.625,"""0110100100111010010111001110111100001100110110011""",20.37638807296753
73,-171520.40625,"""1100001011001110100101100100010110100110011100110""",20.90447998046875
74,-169958.1875,"""0011000001100100001111001110111100001100110110011""",20.90873670578003
75,-163698.8125,"""0001011011000101101000110001000111110011101100110""",20.90110182762146
76,-165097.75,"""1100001011001110100101100100010110100110111001100""",20.88842797279358
77,-165607.71875,"""0100001110010000111101100100010110100110111001011""",20.912095308303833
78,-168088.5625,"""1100001110010000111101001100011010000110111001110""",20.92108988761902
79,-160275.984375,"""1001011011000101101000110001000111110011001001110""",20.894625186920166
80,-157617.21875,"""1011110100110001011010110011100001111001100011001""",20.909841060638428
81,-158913.828125,"""0011110100110001011010011011101101011001100011001""",20.909241437911987
82,-167908.46875,"""0100001110010000111101001100011110000110111001011""",20.361494541168213
83,-175825.953125,"""1110100100111010010111100110110100101100010011011""",20.88908052444458
84,-172251.84375,"""0011110100110001011010011011101101011001000011001""",20.902162790298462
85,-182918.59375,"""1110100100111010010111001110111000001100110011100""",20.908610343933105
86,-192314.40625,"""1110100100111010010111001110111000001100110011100""",20.9256112575531
87,-184500.28125,"""0110100100111010010110110011101101011001100011001""",20.886671781539917
88,-197003.3125,"""0011110100110001011011100110111000001100010011110""",20.8861026763916
89,-201304.3125,"""1110100001100100001110110011101001011001100011011""",20.897619247436523
90,-188165.0625,"""1110100001100100001110110011101101011001100011001""",20.901097059249878
91,-197316.578125,"""0110100100111010010111001110111000001100010011011""",21.4215247631073
92,-188024.0625,"""0011110001101111000011100110111000001100010011100""",20.367455005645752
93,-178543.1875,"""0110100100111010010111100110111100001100110011011""",20.913983583450317
94,-188454.421875,"""0011110100110001011011100110111100001100010011100""",20.8960919380188
95,-178941.84375,"""0011110100110001011011100110111100001100010011100""",20.886106252670288
96,-195213.5625,"""0011110001101111000011001110110100101100010011100""",20.889926195144653
97,-192544.796875,"""0110100100111010010110110011101101011001100011011""",20.899012327194214
98,-188326.671875,"""0001011110011011110000011001001011010011001001100""",20.877031326293945
99,-184964.625,"""0110100100111010010111001110111000001100010011001""",20.907076358795166
