graph_id,N,depth,seed,method,exp_value
N4_S0,4,1,0,sv,16.21583365080711
N4_S0,4,1,0,tr_expectation,16.215770721435547
N4_S0,4,1,0,tr_sampling,13.610799789428711
N4_S0,4,1,0,tr_correct_sampling,16.2274
N4_S0,4,2,0,sv,16.072219901831257
N4_S0,4,2,0,tr_expectation,16.072172164916992
N4_S0,4,2,0,tr_sampling,15.628299713134766
N4_S0,4,2,0,tr_correct_sampling,16.067600000000002
N4_S0,4,3,0,sv,22.057029759162265
N4_S0,4,3,0,tr_expectation,21.997106552124023
N4_S0,4,3,0,tr_sampling,17.09109878540039
N4_S0,4,3,0,tr_correct_sampling,21.9876
N4_S0,4,4,0,sv,21.07162999727373
N4_S0,4,4,0,tr_expectation,14.172538757324219
N4_S0,4,4,0,tr_sampling,17.224699020385742
N4_S0,4,4,0,tr_correct_sampling,19.713
N4_S0,4,5,0,sv,18.021804310755204
N4_S0,4,5,0,tr_expectation,6.592676162719727
N4_S0,4,5,0,tr_sampling,16.419099807739258
N4_S0,4,5,0,tr_correct_sampling,13.8643
N4_S0,4,6,0,sv,19.34883839536347
N4_S0,4,6,0,tr_expectation,3.740133762359619
N4_S0,4,6,0,tr_sampling,16.934499740600586
N4_S0,4,6,0,tr_correct_sampling,16.6416
N4_S0,4,7,0,sv,17.346168357250665
N4_S0,4,7,0,tr_expectation,2.2440993785858154
N4_S0,4,7,0,tr_sampling,17.643798828125
N4_S0,4,7,0,tr_correct_sampling,17.4506
N4_S0,4,8,0,sv,20.369600545654734
N4_S0,4,8,0,tr_expectation,2.076319456100464
N4_S0,4,8,0,tr_sampling,17.29199981689453
N4_S0,4,8,0,tr_correct_sampling,17.415
N4_S0,4,9,0,sv,17.547305258592477
N4_S0,4,9,0,tr_expectation,0.9645066857337952
N4_S0,4,9,0,tr_sampling,16.884899139404297
N4_S0,4,9,0,tr_correct_sampling,15.060300000000002
N4_S1,4,1,1,sv,21.829065644783704
N4_S1,4,1,1,tr_expectation,21.829025268554688
N4_S1,4,1,1,tr_sampling,21.9385986328125
N4_S1,4,1,1,tr_correct_sampling,21.7864
N4_S1,4,2,1,sv,15.839301076052799
N4_S1,4,2,1,tr_expectation,15.839345932006836
N4_S1,4,2,1,tr_sampling,18.219900131225586
N4_S1,4,2,1,tr_correct_sampling,15.9047
N4_S1,4,3,1,sv,17.342849093626732
N4_S1,4,3,1,tr_expectation,17.257322311401367
N4_S1,4,3,1,tr_sampling,17.82159996032715
N4_S1,4,3,1,tr_correct_sampling,17.209400000000002
N4_S1,4,4,1,sv,17.396924506076328
N4_S1,4,4,1,tr_expectation,16.545330047607422
N4_S1,4,4,1,tr_sampling,17.93389892578125
N4_S1,4,4,1,tr_correct_sampling,17.1274
N4_S1,4,5,1,sv,16.132787984014794
N4_S1,4,5,1,tr_expectation,12.456987380981445
N4_S1,4,5,1,tr_sampling,17.935699462890625
N4_S1,4,5,1,tr_correct_sampling,15.936800000000002
N4_S1,4,6,1,sv,18.32848545374284
N4_S1,4,6,1,tr_expectation,7.3290557861328125
N4_S1,4,6,1,tr_sampling,17.970600128173828
N4_S1,4,6,1,tr_correct_sampling,18.4301
N4_S1,4,7,1,sv,18.65862625463646
N4_S1,4,7,1,tr_expectation,3.900942087173462
N4_S1,4,7,1,tr_sampling,18.280698776245117
N4_S1,4,7,1,tr_correct_sampling,18.537100000000002
N4_S1,4,8,1,sv,16.67160733929046
N4_S1,4,8,1,tr_expectation,2.6232595443725586
N4_S1,4,8,1,tr_sampling,18.359100341796875
N4_S1,4,8,1,tr_correct_sampling,18.895300000000002
N4_S1,4,9,1,sv,15.827121200713838
N4_S1,4,9,1,tr_expectation,1.2064459323883057
N4_S1,4,9,1,tr_sampling,18.774398803710938
N4_S1,4,9,1,tr_correct_sampling,17.327
N4_S2,4,1,2,sv,31.266578003620115
N4_S2,4,1,2,tr_expectation,31.266551971435547
N4_S2,4,1,2,tr_sampling,25.829500198364258
N4_S2,4,1,2,tr_correct_sampling,31.282600000000002
N4_S2,4,2,2,sv,27.506888529353464
N4_S2,4,2,2,tr_expectation,27.506935119628906
N4_S2,4,2,2,tr_sampling,21.25749969482422
N4_S2,4,2,2,tr_correct_sampling,27.4601
N4_S2,4,3,2,sv,19.21498594230971
N4_S2,4,3,2,tr_expectation,19.2066593170166
N4_S2,4,3,2,tr_sampling,18.231300354003906
N4_S2,4,3,2,tr_correct_sampling,19.3271
N4_S2,4,4,2,sv,18.70371130598855
N4_S2,4,4,2,tr_expectation,13.079988479614258
N4_S2,4,4,2,tr_sampling,18.234298706054688
N4_S2,4,4,2,tr_correct_sampling,17.5276
N4_S2,4,5,2,sv,18.70669325655146
N4_S2,4,5,2,tr_expectation,11.727204322814941
N4_S2,4,5,2,tr_sampling,18.47760009765625
N4_S2,4,5,2,tr_correct_sampling,17.9018
N4_S2,4,6,2,sv,18.352720794214825
N4_S2,4,6,2,tr_expectation,5.009457588195801
N4_S2,4,6,2,tr_sampling,18.9419002532959
N4_S2,4,6,2,tr_correct_sampling,18.0567
N4_S2,4,7,2,sv,15.806478046095723
N4_S2,4,7,2,tr_expectation,5.297179222106934
N4_S2,4,7,2,tr_sampling,18.478300094604492
N4_S2,4,7,2,tr_correct_sampling,21.057100000000002
N4_S2,4,8,2,sv,20.18847713772958
N4_S2,4,8,2,tr_expectation,2.137664556503296
N4_S2,4,8,2,tr_sampling,18.349899291992188
N4_S2,4,8,2,tr_correct_sampling,16.2129
N4_S2,4,9,2,sv,24.50175623906011
N4_S2,4,9,2,tr_expectation,1.2954342365264893
N4_S2,4,9,2,tr_sampling,17.784700393676758
N4_S2,4,9,2,tr_correct_sampling,17.2667
N4_S3,4,1,3,sv,9.179614622710337
N4_S3,4,1,3,tr_expectation,9.179617881774902
N4_S3,4,1,3,tr_sampling,7.568399906158447
N4_S3,4,1,3,tr_correct_sampling,9.1753
N4_S3,4,2,3,sv,12.074343555722285
N4_S3,4,2,3,tr_expectation,12.07447338104248
N4_S3,4,2,3,tr_sampling,11.392600059509277
N4_S3,4,2,3,tr_correct_sampling,12.0128
