iter,exp_value,best_result,iter_time
0,26.52361488342285,null,13.001573324203491
1,26.933671951293945,"{""step"": 0, ""energy"": 26.52361488342285}",12.234481811523438
2,26.476045608520508,"{""step"": 0, ""energy"": 26.52361488342285}",12.104286193847656
3,26.62861442565918,"{""step"": 2, ""energy"": 26.476045608520508}",11.986416816711426
4,27.459877014160156,"{""step"": 2, ""energy"": 26.476045608520508}",11.922294616699219
5,27.588844299316406,"{""step"": 2, ""energy"": 26.476045608520508}",13.055380821228027
6,27.652254104614258,"{""step"": 2, ""energy"": 26.476045608520508}",11.996135950088501
7,26.35798454284668,"{""step"": 2, ""energy"": 26.476045608520508}",12.044793605804443
8,26.886837005615234,"{""step"": 7, ""energy"": 26.35798454284668}",11.880306243896484
9,26.89722442626953,"{""step"": 7, ""energy"": 26.35798454284668}",12.040372848510742
