iter,exp_value,best_result,iter_time
0,27.054568234395585,null,2.4084513187408447
1,26.906372669118483,"{""step"": 0, ""energy"": 27.054568234395585}",2.427877902984619
2,26.753595756936733,"{""step"": 1, ""energy"": 26.906372669118483}",2.3658459186553955
3,26.593128829609288,"{""step"": 2, ""energy"": 26.753595756936733}",3.0479719638824463
4,26.42224939274532,"{""step"": 3, ""energy"": 26.593128829609288}",2.369720458984375
5,26.238705424934373,"{""step"": 4, ""energy"": 26.42224939274532}",2.408647060394287
6,26.04082301056069,"{""step"": 5, ""energy"": 26.238705424934373}",2.391796350479126
7,25.827614142750203,"{""step"": 6, ""energy"": 26.04082301056069}",2.3986804485321045
8,25.5988407712507,"{""step"": 7, ""energy"": 25.827614142750203}",3.041029691696167
9,25.35497637629359,"{""step"": 8, ""energy"": 25.5988407712507}",2.4268431663513184
