iter,exp_value,best_result,iter_time
0,27.054568234395592,null,1.7461798191070557
1,26.90637273308957,"{""step"": 0, ""energy"": 27.054568234395592}",1.2451763153076172
2,26.75359582471844,"{""step"": 1, ""energy"": 26.90637273308957}",1.0332915782928467
3,26.593129097167292,"{""step"": 2, ""energy"": 26.75359582471844}",0.8583450317382812
4,26.42224958266845,"{""step"": 3, ""energy"": 26.593129097167292}",0.8183891773223877
5,26.238705640160894,"{""step"": 4, ""energy"": 26.42224958266845}",0.8497250080108643
6,26.040823131349903,"{""step"": 5, ""energy"": 26.238705640160894}",0.857072114944458
7,25.82761434039167,"{""step"": 6, ""energy"": 26.040823131349903}",0.8542323112487793
8,25.598840830853796,"{""step"": 7, ""energy"": 25.82761434039167}",0.8670578002929688
9,25.354976215306856,"{""step"": 8, ""energy"": 25.598840830853796}",0.8493545055389404
