iter,exp_value,best_result,iter_time
0,75.4866943359375,null,59.03920888900757
1,75.53890228271484,"{""step"": 0, ""energy"": 75.4866943359375}",60.327735900878906
2,75.49584197998047,"{""step"": 0, ""energy"": 75.4866943359375}",59.59308385848999
3,75.52191162109375,"{""step"": 0, ""energy"": 75.4866943359375}",60.363630533218384
4,75.51113891601562,"{""step"": 0, ""energy"": 75.4866943359375}",59.14112186431885
5,75.44495391845703,"{""step"": 0, ""energy"": 75.4866943359375}",60.05326867103577
6,75.49796295166016,"{""step"": 5, ""energy"": 75.44495391845703}",58.82412528991699
7,75.4974136352539,"{""step"": 5, ""energy"": 75.44495391845703}",59.94192290306091
8,75.56724548339844,"{""step"": 5, ""energy"": 75.44495391845703}",63.02788281440735
9,75.49176788330078,"{""step"": 5, ""energy"": 75.44495391845703}",61.514522552490234
10,75.48579406738281,null,54.22087550163269
11,75.52388000488281,"{""step"": 0, ""energy"": 75.48579406738281}",53.323314905166626
12,75.55525970458984,"{""step"": 0, ""energy"": 75.48579406738281}",53.54900550842285
13,75.51828002929688,"{""step"": 0, ""energy"": 75.48579406738281}",53.5690131187439
14,75.47322845458984,"{""step"": 0, ""energy"": 75.48579406738281}",53.28576946258545
15,75.49935150146484,"{""step"": 4, ""energy"": 75.47322845458984}",54.10283064842224
16,75.51570892333984,"{""step"": 4, ""energy"": 75.47322845458984}",53.93214273452759
17,75.52228546142578,"{""step"": 4, ""energy"": 75.47322845458984}",54.4445915222168
18,75.498779296875,"{""step"": 4, ""energy"": 75.47322845458984}",54.172019720077515
19,75.45885467529297,"{""step"": 4, ""energy"": 75.47322845458984}",53.583675146102905
