iter,exp_value,best_result,iter_time
0,27.50688934326172,null,2.3889389038085938
1,24.87578773498535,"{""step"": 0, ""energy"": 27.50688934326172}",2.4181089401245117
2,22.666170120239258,"{""step"": 1, ""energy"": 24.87578773498535}",2.387279748916626
3,20.90186309814453,"{""step"": 2, ""energy"": 22.666170120239258}",2.3974766731262207
4,19.49398422241211,"{""step"": 3, ""energy"": 20.90186309814453}",2.3612592220306396
5,18.38399887084961,"{""step"": 4, ""energy"": 19.49398422241211}",2.3529860973358154
6,17.542490005493164,"{""step"": 5, ""energy"": 18.38399887084961}",2.405689001083374
7,16.937496185302734,"{""step"": 6, ""energy"": 17.542490005493164}",2.350924015045166
8,16.524219512939453,"{""step"": 7, ""energy"": 16.937496185302734}",2.346172571182251
9,16.25220489501953,"{""step"": 8, ""energy"": 16.524219512939453}",2.346951961517334
