iter,exp_value,best_result,iter_time
0,19.21498680114746,null,0.10863971710205078
1,17.741439819335938,"{""step"": 0, ""energy"": 19.21498680114746}",0.4073679447174072
2,16.81572914123535,"{""step"": 1, ""energy"": 17.741439819335938}",0.10610747337341309
3,16.240747451782227,"{""step"": 2, ""energy"": 16.81572914123535}",0.10650396347045898
4,15.845111846923828,"{""step"": 3, ""energy"": 16.240747451782227}",0.10570549964904785
5,15.530139923095703,"{""step"": 4, ""energy"": 15.845111846923828}",0.1054985523223877
6,15.24094009399414,"{""step"": 5, ""energy"": 15.530139923095703}",0.10549497604370117
7,14.945358276367188,"{""step"": 6, ""energy"": 15.24094009399414}",0.10670590400695801
8,14.624506950378418,"{""step"": 7, ""energy"": 14.945358276367188}",0.10612177848815918
9,14.269862174987793,"{""step"": 8, ""energy"": 14.624506950378418}",0.1055598258972168
