iter,exp_value,best_result,iter_time
0,113.88868713378906,null,24.462942600250244
1,113.33451080322266,"{""step"": 0, ""energy"": 113.88868713378906}",24.37363362312317
2,112.78068542480469,"{""step"": 1, ""energy"": 113.33451080322266}",24.08161473274231
3,112.19927978515625,"{""step"": 2, ""energy"": 112.78068542480469}",24.347570419311523
4,111.57186889648438,"{""step"": 3, ""energy"": 112.19927978515625}",24.36061120033264
5,110.89482116699219,"{""step"": 4, ""energy"": 111.57186889648438}",24.375383377075195
6,110.18172454833984,"{""step"": 5, ""energy"": 110.89482116699219}",24.372137546539307
7,109.4591293334961,"{""step"": 6, ""energy"": 110.18172454833984}",24.371461153030396
8,108.75529479980469,"{""step"": 7, ""energy"": 109.4591293334961}",24.05129885673523
9,108.08870697021484,"{""step"": 8, ""energy"": 108.75529479980469}",24.329596757888794
